,Australia,Brazil,Chile,CHN,Egypt,France,Germany,Hong Kong,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South Africa,Spain,United Kingdom,United States
Australia,0.0,0.11872520985148964,0.22944497177399206,0.002069550080484906,0.24955114972876957,0.0441765506513702,0.03809799103916702,0.028089262003682006,0.21757956891171812,0.021445549784312404,0.10271238980916397,0.11531531531531546,0.17563733946712667,0.2977244721925573,0.10382882882882898,0.09908445030396253,0.0960907335907333,0.12133952133952117,0.1979789313122645
Brazil,0.11872520985148964,0.0,0.34817018162548186,0.1207947599319847,0.3682763595802594,0.16290176050286037,0.1568232008906574,0.14681447185517307,0.33630477876320786,0.14017075963580203,0.016012820042327083,0.23404052516680515,0.2943625493186164,0.41644968204404703,0.2225540386803185,0.019640759547528103,0.21481594344222332,0.0026143114880352748,0.07925372146077546
Chile,0.2294449717739921,0.34817018162548186,0.0,0.22737542169349703,0.020106177954777284,0.18526842112262137,0.19134698073482462,0.20135570977030864,0.011865402862273857,0.20799942198968022,0.3321573615831561,0.11412965645867698,0.05380763230686586,0.0682795004185652,0.12561614294516332,0.3285294220779547,0.13335423818325856,0.3507844931135135,0.4274239030862568
CHN,0.002069550080484906,0.1207947599319847,0.22737542169349698,0.0,0.24748159964827446,0.04210700057087486,0.036028440958672435,0.026019711923187756,0.21551001883122298,0.019375999703817592,0.10478193988965924,0.11324576523482033,0.1735677893866315,0.2956549221120621,0.10175927874833354,0.10115400038445735,0.09402118351023837,0.12340907142001638,0.20004848139275977
Egypt,0.24955114972876957,0.3682763595802594,0.020106177954777284,0.24748159964827446,0.0,0.2053745990773987,0.21145315868960207,0.221461887725086,0.031971580817051634,0.22810559994445764,0.35226353953793366,0.1342358344134544,0.07391381026164287,0.048173322463787534,0.14572232089994072,0.34863560003273214,0.15346041613803607,0.37089067106829093,0.44753008104103426
France,0.0441765506513702,0.16290176050286037,0.18526842112262135,0.04210700057087486,0.2053745990773987,0.0,0.0060785596122024145,0.01608728864768608,0.17340301826034718,0.022731000867060203,0.1468889404605347,0.07113876466394459,0.13146078881575596,0.2535479215411865,0.05965227817745775,0.14326100095533328,0.051914182939362424,0.16551607199089202,0.2421554819636353
Germany,0.03809799103916702,0.1568232008906574,0.1913469807348246,0.036028440958672435,0.21145315868960207,0.0060785596122024145,0.0,0.010008729035482224,0.17948157787255065,0.016652441254856366,0.14081038084833158,0.07721732427614798,0.13753934842795937,0.25962648115338977,0.06573083778966148,0.13718244134312998,0.057992742551565966,0.159437512378689,0.23607692235143227
Hong Kong,0.028089262003682006,0.14681447185517307,0.2013557097703086,0.026019711923187756,0.221461887725086,0.01608728864768608,0.010008729035482224,0.0,0.1894903069080345,0.006643712219368982,0.13080165181284767,0.08722605331163182,0.14754807746344323,0.26963521018887376,0.07573956682514524,0.12717371230764607,0.0680014715870501,0.1494287833432049,0.2260681933159479
India,0.2175795689117181,0.33630477876320786,0.011865402862273857,0.21551001883122292,0.031971580817051634,0.17340301826034715,0.17948157787255062,0.18949030690803448,0.0,0.19613401912740622,0.3202919587208821,0.10226425359640288,0.04194222944459134,0.0801449032808392,0.1137507400828892,0.31666401921568066,0.12148883532098452,0.3389190902512395,0.4155585002239827
Israel,0.021445549784312404,0.14017075963580203,0.2079994219896802,0.019375999703817592,0.22810559994445764,0.022731000867060203,0.016652441254856366,0.006643712219368982,0.19613401912740624,0.0,0.12415793959347625,0.09386976553100365,0.15419178968281486,0.27627892240824536,0.08238327904451698,0.12053000008827461,0.07464518380642142,0.14278507112383362,0.2194244810965765
Japan,0.10271238980916397,0.016012820042327083,0.33215736158315606,0.10478193988965924,0.35226353953793366,0.1468889404605347,0.14081038084833158,0.13080165181284767,0.3202919587208821,0.12415793959347625,0.0,0.2180277051244794,0.27834972927629065,0.4004368620017213,0.20654121863799296,0.0036279395052100424,0.19880312339989764,0.01862713153035821,0.09526654150310114
Mexico,0.11531531531531533,0.2340405251668051,0.11412965645867691,0.1132457652348202,0.1342358344134544,0.07113876466394478,0.07721732427614816,0.08722605331163197,0.10226425359640295,0.0938697655310038,0.21802770512447933,0.0,0.06032202415181141,0.18240915687724202,0.011486486486487138,0.21439976561927784,0.019224581724582364,0.23665483665483678,0.31329424662758
Portugal,0.17563733946712667,0.2943625493186164,0.05380763230686573,0.1735677893866315,0.07391381026164287,0.13146078881575596,0.13753934842795937,0.14754807746344323,0.04194222944459151,0.15419178968281486,0.27834972927629065,0.06032202415181141,0.0,0.12208713272543058,0.0718085106382978,0.2747217897710893,0.07954660587639331,0.2969768608066481,0.3736162707793913
Qatar,0.29772447219255727,0.41644968204404703,0.0682795004185652,0.29565492211206207,0.048173322463787534,0.25354792154118644,0.25962648115338977,0.2696352101888737,0.0801449032808392,0.27627892240824536,0.4004368620017213,0.18240915687724196,0.12208713272543052,0.0,0.1938956433637285,0.39680892249651983,0.20163373860182374,0.4190639935320787,0.49570340350482195
Russia,0.10382882882882898,0.2225540386803185,0.12561614294516327,0.10175927874833354,0.14572232089994072,0.05965227817745775,0.06573083778966148,0.07573956682514524,0.11375074008288927,0.08238327904451698,0.20654121863799296,0.011486486486487138,0.0718085106382978,0.19389564336372844,0.0,0.20291327913279134,0.007738095238095147,0.22516835016835013,0.3018077601410934
South Africa,0.09908445030396253,0.019640759547528103,0.3285294220779547,0.10115400038445735,0.34863560003273214,0.14326100095533328,0.13718244134312998,0.12717371230764607,0.31666401921568066,0.12053000008827461,0.0036279395052100424,0.21439976561927793,0.2747217897710893,0.39680892249651983,0.20291327913279134,0.0,0.19517518389469607,0.022255071035560358,0.09889448100830177
Spain,0.09609073359073343,0.21481594344222338,0.1333542381832585,0.09402118351023851,0.15346041613803607,0.05191418293936269,0.05799274255156621,0.06800147158705029,0.12148883532098458,0.0746451838064216,0.1988031233998977,0.019224581724582364,0.07954660587639331,0.2016337386018237,0.007738095238095147,0.19517518389469612,0.0,0.2174302549302551,0.2940696649029982
United Kingdom,0.12133952133952117,0.0026143114880352748,0.3507844931135135,0.12340907142001638,0.37089067106829093,0.16551607199089202,0.159437512378689,0.1494287833432049,0.3389190902512395,0.14278507112383362,0.01862713153035821,0.23665483665483683,0.2969768608066481,0.4190639935320787,0.22516835016835013,0.022255071035560358,0.21743025493025503,0.0,0.07663940997274234
United States,0.1979789313122645,0.07925372146077546,0.4274239030862568,0.20004848139275977,0.44753008104103426,0.2421554819636353,0.23607692235143216,0.22606819331594805,0.4155585002239827,0.21942448109657664,0.09526654150310085,0.31329424662758004,0.3736162707793913,0.49570340350482195,0.3018077601410934,0.09889448100830177,0.2940696649029982,0.0766394099727427,0.0
