,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
大夫-病人,1.085237647307871,0.6016733225640023,0.5692702074538855,0.7910068950335797,1.0120150456203993,-0.6320685364293577,-0.34321736093556343,-0.8641915477712275,-0.9572172479452993,-1.413986059183973,1.6437421116144812,0.999335550133882,-0.7692673875829407,1.0718707433643708,-0.6537515948698939,0.7457140851217222,0.24671224876531503,-0.631127576477592,0.33383608794136455,1.0265128289414882,0.13856884647087442,-0.4012105198616119,0.11099860660907848,1.5166140480468078,-0.6746927757364414,-0.17028575158141263,-1.1658477883164005,0.8775707045685818,0.30018023484013817,1.5265445330919765,-0.5790477405475218,0.3137597972497312,1.5242700697331883,1.0881865304893878,0.23120401511207722
君臣之间,-0.11864138507377885,-1.5659710437233323,1.208796770741605,-0.540092295005158,-0.6248466441318016,1.774496422987538,0.29518719787656267,1.2351081743441634,-0.2547945476819461,0.6623618400293262,1.6559152219504525,2.3909463413761487,1.321095622816872,0.7075217907066491,-0.3964634789151131,-0.09993803434693366,0.002482447453163625,0.958613232756943,1.3408547862509637,1.0209626859104854,0.4660913440030057,-0.2794813821603024,0.7297256215966684,1.4099283232835411,-0.7230700758604893,0.924674886366466,2.2394164009188673,-0.19247777662608226,1.3410875062021312,-0.2743051946033779,-0.13625284921636885,0.09860998556440828,1.278116264119562,1.192605003681973,-0.8573481749276978
音乐曲艺人-听众,1.1190307429536717,0.1819978155572437,-0.23830713158827158,0.1711087162790774,0.26923747211940074,-1.2579695036970586,1.3555879904797545,-0.9945549138126543,-0.7991721403860448,-0.9840814280693253,1.6802614426223952,-0.9377051116685392,-0.9018650412277049,-0.21202556600093506,-0.5191701188320085,0.6966117039912842,-0.5096122972336058,-0.9070670433654517,-0.6986123754770623,1.7979827102508343,-0.6866177057529377,-0.4012105198616119,-0.1718480288138196,-0.7189368208561758,-0.11566619652522096,-0.17904543668499562,-1.1188491608614592,0.4519832404570674,0.5094078270737047,1.1490738478108544,-1.0519354885710832,-0.6221418835814235,1.1485616295860746,-0.11737220546137181,0.034773544728959965
主人-家丁,-0.5072619850004868,-1.4844806540132822,0.6953082892697134,0.43060097715305523,0.9753346716203499,1.0418526551005396,-0.07270695465923879,0.5518243247477194,-0.9879482410818209,-0.18830051515497695,1.7654732149741945,-0.15779137152177472,0.8219044561542304,0.555709727099265,-0.5904191355579478,0.3747183165806346,-0.26538249592145424,1.1974862040927021,0.26263274563664574,0.5381002422132691,0.002455600743235257,-0.02343043734030649,0.17287130810783752,-0.09337052565338866,-0.4758083196709111,0.3947139375996927,0.2013850103727911,1.0234864065496718,0.10141402221824963,1.4125169302466376,-0.33400590748076725,-0.2187359866714432,0.7922863846189838,0.18164433140830447,-0.619994689881431
继祖父母-继孙,0.31644472136590507,-1.4029902643032321,-0.3270005965697803,-0.751530433495066,-0.5377307558816843,-0.4719543355004111,-0.9491606709945303,0.8530086531882572,1.3783382304303495,1.5907729050960655,-0.6569757418841023,-0.7898783243204597,0.6347077686557393,1.1195831062124062,1.2541387419024808,0.17830879205888228,1.5308883008259828,1.8399721269957787,1.1882761955979937,-1.027040092529434,1.3848557526645695,1.6513945951708142,-1.254620305042102,0.6340321431870614,0.2229749043431145,0.9553337842290064,-1.2213916207631488,0.8836505254844599,-0.03981460253940779,-0.8208512910000028,-0.7639038602294594,-0.3639621095590362,-1.0473894257565388,0.732214462787392,-0.4563026312288334
施恩者-受恩者,1.28377208422695,-0.6043844451447403,-1.1065694729861977,0.07500047151093751,0.4022038278695795,-1.1706344850085422,0.8848998835589503,-0.9406114520024086,0.4476281525814067,0.5663193160569048,0.23977671953245325,0.2907864659482598,-0.2739761519098508,1.18030793165536,0.8068532480118618,0.4019974172086558,1.1015165533578455,-0.5199280898212904,0.6440792222690692,0.7656561064843707,0.5171338111508705,0.38793009696067066,-0.5475037164848566,0.37701653353010245,-0.4059299972695085,0.46917126098014833,-0.4266875565250561,-0.5207881060835359,-0.11827494962699546,0.5710718609741355,-0.4113875389755319,-0.2402509678399754,-1.1477942675199915,1.5723085425641021,-0.12891851392363787
夫妻之间,1.0556686886177953,-0.9344205234704436,-0.3456729049869399,0.5459308708748231,-0.2901382313813514,0.08601939500955466,0.019266583474711742,1.886925004551298,2.076370788817057,1.9932368150757362,-0.6407449281028073,0.5405627618122562,1.4926925863571554,1.4882695464017677,1.7607984163980495,0.5711278411023868,1.5663410139196823,-0.882356046330718,1.9511691488628413,0.9321603974144459,2.022886592012878,2.38596697785113,-1.0822606365812735,1.8366712223366055,3.9856538028801753,1.5904109542387759,-1.2854806582017047,1.0721249738767018,-0.42688564817150587,-1.0567704693007043,-0.6048416177124434,0.5611820806878528,-1.0441505598932015,0.5518552818183805,-0.7263945280056197
公公-儿媳,-0.07640001551652786,-1.2563075628251417,0.20982827042356117,-0.24215673622392436,-0.6019214103817707,-0.1614298246079083,-1.630846894810868,-0.12246894788035045,0.7593282258232698,1.4810100205561558,-0.7421875142359018,-0.6522464878239719,1.3054958988586645,0.33449786298564793,0.5653982468850677,-1.4147906846175529,-0.31265278004638675,2.062371100308382,-0.3476816169752324,-1.9095128344588301,-0.45692660358754666,-0.2878764951052203,-0.6137958966620982,-0.035178312146152864,0.6153685609048366,0.34215582697819447,-1.1188491608614592,0.11151326916785673,0.2007971285291939,-1.0882263597407977,-0.44148039566794034,-0.6006269024128913,-1.154271999246666,-0.36892579997078245,-0.15347232272152744
养父母-子女,0.4389446930819328,-1.2277859264266242,-0.09826481845957401,-0.03552400997242347,0.01705990086906155,-0.7388113370486554,-0.635368599713994,1.410424425227462,1.3080959604040143,1.5267445557811186,-0.40134042482870413,-0.42286009366315874,1.2820963129213534,1.1499455189338827,1.3926784966473627,0.15648551155646545,1.4639220649823281,1.9058681190884017,1.5442929071215896,-0.7439827979483067,1.4018699083805244,1.4457143280203257,-1.5286279831080347,1.0656243933657283,1.190520906824073,0.9027756736075084,-1.1530299808286892,0.8714908836527028,-0.31181047244304433,-0.12488971501293364,-0.5274599862176788,0.06633751381160995,-1.0052841695331551,1.0881865304893878,-0.24350295498045627
小偷-失主,-2.1884684933790712,0.8135483358101325,-0.8965060032931511,0.7333419481726959,1.282532803870763,1.7114211317124983,-1.9229981335892987,-1.7767351100612157,-1.3172088818302676,-1.6197914676963046,-1.4888049481754773,-0.08132924013483712,-1.642851929242564,-2.007745404099708,-1.4256159427342363,-2.0040192581828093,-1.210788178420105,-0.9194225418828186,-1.1665200534795022,1.1375156895615384,-1.3501697786751783,-1.223931588463566,1.6578161440780532,-2.1688928074114733,-0.6961937980137961,-1.9222227722980179,-1.0547601234229036,0.4033446731300374,-1.9490163816707027,1.8411034374929116,1.931556303504841,-2.112054329502285,-0.2279563623322302,-2.2532046116733473,-0.4726718370940931
发小之间,1.2879962211826752,1.648824830338147,-1.974831814384124,-0.19410261383985425,-1.0971064593824364,-1.3453045223855749,1.7288923511410828,1.5362925027847014,1.8656439787380505,1.759990685428427,-1.4198239896049731,-1.2639435389194735,1.040300591569136,1.5099569840599654,1.776631531226036,0.9530352498946829,1.688455914575758,-1.2571395013575126,1.5290350480562922,-0.39432378699514975,1.5847720823270397,1.9955942259124482,-1.6612123434625183,1.3856815676555267,0.33048001572988767,1.2181243373364974,-0.8924012285785621,1.3639563778388832,-0.30134909283136607,-1.0803623871307744,-1.064832427153544,1.2550402233730196,-1.1510331333833286,0.9363051149365361,0.10843497112262883
双胞胎之间,0.6839446365139878,1.7058681031351821,-1.409994484765043,0.06538964703412355,-0.8540989816321097,-1.238561721766277,-1.993330839221143,1.9768307742350408,1.8305228437248828,2.313378561650474,-1.2291119276747553,-1.5494021627640409,1.672089411876542,1.158620493997162,1.582675874583201,-0.21996607711022664,1.5742193946071708,-1.2571395013575126,1.686699591731028,0.8933093961974281,1.567757926611085,2.163496484810806,-1.5949201632852765,0.9928841264816837,1.3141517849188622,1.2969615032687447,-0.8496752036195248,1.5645904680628822,-0.32227185205472264,-1.2337098530262305,-0.7553059011744857,-0.06275237319958407,-1.1639885968366774,0.6135571068867264,0.8204954262614291
掌柜-客人,0.9627376755918433,0.25533916629628883,-0.04224789320809481,1.2427156454438373,2.1353514993719096,-0.8261463557371718,0.7550548885463143,-1.2417957804429467,-1.4006215774865407,-1.624364921218801,1.4530300496842634,0.08688744891642569,-1.2918581401828937,-0.3985375298614353,-1.176244384193449,1.3949566800686253,-1.147761132920195,-0.9070670433654517,-0.7392999996511875,1.3484211247396325,-1.0183937422140579,-0.9259050789189804,1.0788644371968081,-0.3697835398127598,-0.6585670090284255,-0.5776111088980231,-0.42241495402915236,0.7924532117462789,1.3306261265904533,2.006246862303403,-0.8326875326692503,0.727923184743978,1.4271040938330724,0.05349438703558624,-0.6691023074772104
表兄弟姐妹之间,0.4389446930819328,1.4736204924615388,-0.6537659938700751,-0.4391786379986113,-1.0191606646323317,-1.1997461579047142,-1.1493383716390104,1.1317165392078594,1.54077347986625,0.9459159584240941,-1.1925925966668411,-1.0039722922038852,1.4146939665661173,0.690171840580091,1.432261283717329,0.31470429519898807,0.983340843045514,-0.7793935586859942,0.4355551483766775,-1.004839520405424,0.9722624765526638,1.256824286759673,-1.4446578882168617,0.8328555393367845,1.303401273780185,0.8764966182967592,-1.2000286082836302,-0.23503652303723369,-0.05027598215108641,-1.1511381406209849,-0.5231610066901918,0.4213347030923926,-1.0279562305765155,0.5898256357065932,-0.22713374911519643
犯罪同伙之间,0.2826516257201045,1.4532478950340262,-1.4846837184336819,1.3003805923047216,1.8923440216215828,0.5906217252098716,1.6369188130071326,0.2056871114653101,0.17104921435271142,-0.18830051515497695,-0.032089411304240256,-0.9173152099653559,-0.8940651792486012,-0.16865069068453944,-1.0297880720345736,0.9803143505227039,-0.7302069564832909,-0.9853185339754418,0.22703107448428614,1.592627418103742,-0.7504207896877685,-0.4599763104760371,1.622460314650191,0.6097853875590463,-0.4059299972695085,1.6648682776192316,-0.05069853688552837,-0.18031813479432476,-2.3256260476911224,1.5108165878719297,0.4054185712469834,1.9327621301817868,-0.02066894707865012,-2.4572952638224916,0.05114275059421968
文选(诗集)的编者-作者,1.0134273190605443,1.1109882582518158,-0.2009625147539523,-1.2176554206205448,-0.6798672051318755,-1.2822292311105352,0.165342202863927,-0.2528323139217773,0.41689715944488526,0.8452999809291764,-0.19845525256251506,0.5252703355348686,0.1433164639722015,0.9590960675417428,0.1537372613574183,-0.43274306200879137,0.1758068225779162,0.6456072703169827,0.19142940333192654,-0.48312607549118963,-0.23148904035114454,-0.2459009303806308,-0.06578054053023287,0.3867152357813084,-0.7391958425685053,0.2983574014602795,0.21420281786050238,-2.046823155969107,1.069091636298495,-0.5927960853093248,-0.9702548775488319,-0.4769157606938305,0.36151722479513787,0.9410514091725628,-0.8819019837255875
司法人员-监察人员,-0.10596897420660349,-0.017653639232379156,1.787638331673556,-1.0734930534683347,-1.3126036566327262,-0.054687023988610584,-0.3269867365589838,-0.5270449114571925,0.45640843633469885,-0.6547927744495949,-1.3508430310344688,2.217632176899089,-0.22327704904567608,0.3648602757071248,-0.9545807766016376,0.19467625243569475,-0.9508016157329763,-0.8041045557207279,-0.6426668922376402,0.3715959512831939,-1.184281760444618,-0.8629417318320962,1.2954188924424652,0.5224970672981922,-0.6854432868751188,-0.122107483511706,2.171054760984408,-0.10736028380377939,1.095245085327691,-0.9112869760152718,0.6289655066763034,-0.14343355258158008,1.6505858384033385,1.135649472849654,-0.5135948517572425
