"","Valence Evaluation","Equality","Formality and Regulation","Concreteness","Goods Exchange","Coercion","Activeness","Activity Intensity","Communal Sharing","Uniqueness","Service Exchange","Importance for society","Endurance","Trust","Socioemotional","Expected Reciprocity","Love Expression","Generation Gap","Importance for individuals","Synchronicity","Attachment","Intimacy","Strategic","Information Exchange","Mating","Affiliation Coalition","Spatial Distance","Visibility","Money Exchange","Conflict","Negotiation","Occupational","Morality"
"暧昧对象之间",74.5,68.375,7.875,21.5,28.875,16.625,77.125,58.75,66.5,63.5,52,13.75,32.375,60,84.375,54,80.625,10.875,55.25,74.75,78.125,80.625,25.875,65.5,65.625,63.125,64.625,11.75,20.25,16.75,53.125,4.875,32
"暗恋对象-暗恋者",74.625,39.375,26.75,19.875,16.125,13.375,28.5,48.125,66.125,58,37.125,12.375,41.5,56.375,80.875,14.25,67,10.875,49.75,37.125,53.5,28.25,27.875,35.375,43.25,37.25,66.5,19.5,8.25,12.375,26.25,7,58.875
"报案人-受害者",65.5555555555556,62.5555555555556,53.8888888888889,47.4444444444444,23.6666666666667,22.8888888888889,44.4444444444444,21.3333333333333,50,48,21.2222222222222,49.8888888888889,17.5555555555556,42.7777777777778,12,20.3333333333333,26.3333333333333,18.8888888888889,18.1111111111111,34.7777777777778,14.7777777777778,11.5555555555556,33.4444444444444,28.8888888888889,11.1111111111111,42.3333333333333,65.6666666666667,86.6666666666667,12.4444444444444,23.1111111111111,41.8888888888889,16.1111111111111,61.1111111111111
"报案人-罪犯",10.5,57,57.125,70,22.25,71.375,14.5,14,9.5,63.5,21.75,75.25,8.75,5.375,10.125,10.25,15.125,17.5,14,85.5,6.625,7.5,59,12.25,5,5.125,44.375,59.75,25.375,93.125,33.375,17.125,32
"编辑-作者",88.7777777777778,74,44.2222222222222,21.4444444444444,21.1111111111111,2.88888888888889,58.3333333333333,41.5555555555556,52.1111111111111,63.6666666666667,38.1111111111111,58.4444444444444,53.7777777777778,76.8888888888889,46.5555555555556,35.1111111111111,40.4444444444444,53,49.5555555555556,48.7777777777778,32.6666666666667,28.3333333333333,49,61.3333333333333,1.11111111111111,59.3333333333333,27.7777777777778,90.5555555555556,22,10.6666666666667,36.3333333333333,55.2222222222222,82.1111111111111
"表兄弟姐妹之间",73.6666666666667,83.8888888888889,33.4444444444444,39.4444444444444,12.8888888888889,4.77777777777778,31.3333333333333,75.7777777777778,80.5555555555556,66.1111111111111,10.8888888888889,25.1111111111111,90,70,82.4444444444444,50.3333333333333,63.2222222222222,14.5555555555556,54.8888888888889,38.3333333333333,64.1111111111111,68.1111111111111,14.3333333333333,71.5555555555556,43.3333333333333,74,60.8888888888889,66.7777777777778,6.22222222222222,22.2222222222222,54.8888888888889,7.55555555555556,73.8888888888889
"厨师-顾客",81.5555555555556,45,60.2222222222222,92.7777777777778,74.2222222222222,17,57.7777777777778,19.7777777777778,19.7777777777778,3.11111111111111,94.4444444444444,47,5.77777777777778,43.2222222222222,8.33333333333333,55.5555555555556,7.22222222222222,23.1111111111111,26.5555555555556,76.4444444444444,19.4444444444444,6.55555555555556,59.4444444444444,37.8888888888889,1.66666666666667,33.8888888888889,81,81.1111111111111,87.3333333333333,18.2222222222222,52.7777777777778,93.1111111111111,69.5555555555556
"敌人之间",1.88888888888889,74.6666666666667,41.3333333333333,59.8888888888889,54.1111111111111,82,36.2222222222222,40.1111111111111,12.5555555555556,24.6666666666667,1.55555555555556,57.5555555555556,46.1111111111111,2.22222222222222,29.7777777777778,14.1111111111111,1.77777777777778,16,27.4444444444444,69.1111111111111,8.44444444444444,3,96.5555555555556,1.44444444444444,1.22222222222222,1.22222222222222,32.3333333333333,73.3333333333333,32.5555555555556,99.5555555555556,19.5555555555556,22.7777777777778,24.1111111111111
"恩人-受助者",95.8888888888889,27.2222222222222,22.6666666666667,51.3333333333333,47.3333333333333,5.44444444444444,73.1111111111111,24.5555555555556,52.8888888888889,56.8888888888889,50.1111111111111,53.3333333333333,41.8888888888889,82.5555555555556,64.8888888888889,52.1111111111111,66.5555555555556,21.5555555555556,59.4444444444444,73.7777777777778,52.2222222222222,45.1111111111111,36.8888888888889,61.1111111111111,8,63.6666666666667,55.6666666666667,65.3333333333333,54.8888888888889,25.1111111111111,41.2222222222222,3.44444444444444,96.8888888888889
"青梅竹马之间",89.625,85.875,28.625,21.25,12.5,11.625,80.625,79.5,85,74.125,55.625,19.375,70.75,71.75,78.625,39.375,77.75,6.75,73.625,69.25,71.625,69.5,20.75,66.875,52.625,54,84.125,41.125,9,13.125,67.75,11.25,69.875
"情敌之间",12.625,62.875,18.875,17.125,15.25,50.625,49.125,29.375,22.125,57.875,7.25,12.75,38,13.875,49.875,8.875,9.375,15,14.875,31.125,6.5,7,41.875,29.75,11.25,18.625,48.375,20.375,10.5,66.625,25.5,7.5,31.125
"人 - 上帝",66.2,10.7,75,24,43.7,31.3,22.5,37.1,37.4,33.7,33.6,76.8,86.2,66.4,64.1,41.2,38.2,89.8,59,7.4,51,21.3,29.5,28.1,10.5,35.2,12,72.2,26.2,26.5,18.8,12.2,84.6
"认识但不熟的人之间",63.625,70.625,30,46,16.5,14.375,45.75,31.375,36.375,18.875,24,11.25,33.125,34.875,32.125,43.25,27.625,24.375,19.75,28.375,16.75,17.5,41.25,26.25,7.5,34.5,31.25,61.5,28.125,24.625,58.75,15.5,44.75
"商家-客户",88.2222222222222,64.5555555555556,45.5555555555556,82.2222222222222,76.2222222222222,14,65.4444444444444,27.6666666666667,4.77777777777778,4.22222222222222,96,49.5555555555556,14.2222222222222,48.8888888888889,10.2222222222222,61.4444444444444,1.88888888888889,10.2222222222222,26.7777777777778,79.3333333333333,10.5555555555556,17.5555555555556,74.6666666666667,49,2.33333333333333,33.1111111111111,81.6666666666667,97,95,10.2222222222222,67.8888888888889,92.6666666666667,60.6666666666667
"上级-下级",61,6.77777777777778,82.6666666666667,62.2222222222222,35,38.3333333333333,62.5555555555556,57.1111111111111,13.1111111111111,31.4444444444444,75.2222222222222,82.7777777777778,50.5555555555556,51.5555555555556,16.7777777777778,62.6666666666667,16.4444444444444,63.2222222222222,41.6666666666667,34.5555555555556,17.5555555555556,8.77777777777778,76.3333333333333,62.6666666666667,3.11111111111111,55.4444444444444,56.5555555555556,86.3333333333333,40.4444444444444,41.4444444444444,17.8888888888889,96.1111111111111,64.2222222222222
"生意伙伴之间",56.7,84.6,60.3,80.1,79.6,27.4,84.6,55.4,30.6,47.8,53.9,56.6,34.8,59.2,29.4,85,20,14.6,65.9,72,51.5,44.2,84.9,70.5,8.3,81.1,69.5,58.1,78.2,35.3,87.5,73.1,71.4
"生意竞争对手之间",9.2,71.5,56.4,81,56.8,67.9,41.7,39.8,8.8,20.4,32,56.1,26.8,10.2,13.3,48.2,6.3,24.1,41.9,57.1,9.4,7,92.3,20.6,3.1,10.6,46.2,38.6,82,94.3,63.7,77.6,38.7
"师父-徒弟",75.2,12.8,71.4,59.2,32.6,46.7,74.3,72.9,30.4,64.1,54,59.4,67.2,73.7,36.4,46.4,41.4,79.7,70.1,57.1,62.9,55.2,44.4,78.1,7.5,67.5,86,76.6,47.7,21.4,53.5,83.5,76.1
"收银员-顾客",87.4444444444444,50.6666666666667,48,78.3333333333333,89.3333333333333,13.3333333333333,70.4444444444444,17.1111111111111,6.11111111111111,3.66666666666667,83.3333333333333,48.8888888888889,12.8888888888889,42.1111111111111,9.22222222222222,72.3333333333333,3.11111111111111,11.1111111111111,29.2222222222222,85.4444444444444,12.1111111111111,10.3333333333333,77.7777777777778,44,2.77777777777778,37.1111111111111,79.6666666666667,96.1111111111111,95.4444444444444,14.2222222222222,61.2222222222222,91.7777777777778,61.3333333333333
"首领-反贼",11,40.875,62.875,45.375,15.5,73.125,47,35.25,14.125,33.75,16,72.75,41.25,11.625,19.5,9.375,7.25,31,19.25,42.875,15.25,14,81.375,35.5,5.25,17.375,31.875,75.875,21.25,75.625,26.375,73.625,49
"叔叔婶婶-侄子侄女",89.25,13.625,48.625,22.375,13.25,19.25,56.625,79.25,54,72.625,41.125,37.5,90.375,80.25,82.625,44.5,82.625,82,77.25,49.25,72.625,82.75,14.5,70.125,22.75,83,72.375,64.5,5,6.25,37.375,4.25,88.5
"双胞胎之间",80.1111111111111,90.2222222222222,15.4444444444444,51.1111111111111,16.8888888888889,3.88888888888889,14,96.6666666666667,87.8888888888889,99.3333333333333,9.88888888888889,13.2222222222222,97.3333333333333,82,86.6666666666667,39.4444444444444,79.8888888888889,1.66666666666667,82.2222222222222,76.3333333333333,79.6666666666667,92.1111111111111,10.5555555555556,75.2222222222222,43.5555555555556,84.6666666666667,93.7777777777778,61,3.88888888888889,16.2222222222222,44.8888888888889,2.88888888888889,74.4444444444444
"谈判中对立的双方",13.1111111111111,67.6666666666667,94.5555555555556,56.1111111111111,57.5555555555556,42.2222222222222,61.1111111111111,21.1111111111111,2.22222222222222,45.7777777777778,34.7777777777778,69.1111111111111,10.8888888888889,18.4444444444444,3.33333333333333,45.5555555555556,1.55555555555556,21,16.4444444444444,83.2222222222222,4.22222222222222,2.44444444444444,93.4444444444444,44.5555555555556,1.88888888888889,11.3333333333333,65,76.5555555555556,36.4444444444444,85.4444444444444,94.7777777777778,75.5555555555556,54
"堂兄弟姐妹之间",71.7,71.7,30.2,22.8,13.7,12.8,50.9,56.8,65.8,66,15.2,33.8,86,66,80.3,42.3,68.8,7.2,53.9,42.1,66.4,56.5,19.1,63.1,28.4,61,64.8,73.8,24.2,24.2,52.3,6.2,66.2
"同父异母(或同母异父)的子女之间",31.8888888888889,54,47.1111111111111,45.3333333333333,23.7777777777778,19.7777777777778,24.7777777777778,71.4444444444444,64.8888888888889,77,6.77777777777778,26.3333333333333,80.3333333333333,55.1111111111111,72.1111111111111,43.2222222222222,55.1111111111111,17.6666666666667,46.8888888888889,44.6666666666667,60.6666666666667,59.5555555555556,38.8888888888889,62,31.8888888888889,64.6666666666667,66.5555555555556,66.4444444444444,15.5555555555556,42.1111111111111,48,9.77777777777778,56.6666666666667
"继子女之间",63.75,71.625,44.25,45.75,32.75,23.125,34.375,42.25,59.375,70.875,30.875,24.25,80.375,50.75,53.625,51.125,58,4.875,42.5,48.5,47.5,52.625,54.25,55.125,15,57.75,76,59.625,19.25,52,60.5,10.25,65.125
"同事之间",53.5555555555556,73.5555555555556,57.2222222222222,41.8888888888889,45,16,54.7777777777778,76.8888888888889,49.3333333333333,36,22.1111111111111,77.8888888888889,70.7777777777778,66.6666666666667,26,88.4444444444444,33.1111111111111,10.2222222222222,53,69.7777777777778,35.5555555555556,24.5555555555556,81.2222222222222,64.6666666666667,1.22222222222222,67.1111111111111,72.8888888888889,84.4444444444444,33.3333333333333,43,76.5555555555556,84.6666666666667,74.8888888888889
"同学之间",69.5,82.1,28.8,20.3,14.4,11.5,64.2,67.5,55,43,15.3,46,65.1,63.4,68.6,47.5,64,8.9,55.1,81,61,57.7,24.1,69.1,6.7,65.8,81.2,85,14.3,23,55.9,19.2,71.4
"搭讪的人-被搭讪的人",63.75,71.625,31.125,36.375,35,19.5,42.5,18.5,31.75,31.125,20.125,8.25,9,19.5,56,34.5,29.25,15.375,13.125,50.125,12.125,16.5,63.875,23.875,27.125,23.5,56.375,60.5,25,20.25,66.75,9.625,39.125
"施害者-受害者",3,38.6666666666667,58.7777777777778,59.3333333333333,15.6666666666667,86.2222222222222,22.1111111111111,3.88888888888889,15.5555555555556,37.8888888888889,4.66666666666667,51,31.5555555555556,12.5555555555556,12.3333333333333,2,2.22222222222222,18.4444444444444,23.3333333333333,67.6666666666667,2.77777777777778,2.11111111111111,52.8888888888889,12.3333333333333,7.44444444444444,3.22222222222222,79.3333333333333,60.1111111111111,37.3333333333333,96.3333333333333,2.77777777777778,9.66666666666667,15.6666666666667
"受害者-旁观者",53.25,55,43,65.5,23.75,51.125,13.75,14.125,15,53.75,15.125,60.625,7.75,31.125,23,16.5,4.375,23.5,18.25,81.75,11.75,7.5,34.625,31.5,4.875,37.625,42.625,65.875,14.5,42.75,31.5,8.875,55
"房东-租户",57.375,30,61.25,97.625,94,40,58.375,22,3.875,32.25,68.125,54.625,36,52.875,12.25,74.375,10.75,31.25,25.375,76.625,14.625,13,87.875,34,5.625,34.5,78.875,73.125,95.25,32.5,74.375,61,63.25
"夫妻之间",89.8888888888889,18.2222222222222,40.7777777777778,62.2222222222222,30.5555555555556,34.2222222222222,55.3333333333333,94.4444444444444,94.1111111111111,91.5555555555556,26,58.7777777777778,92.2222222222222,90.4444444444444,91.6666666666667,55.5555555555556,79.6666666666667,11.7777777777778,88,77.1111111111111,91.5555555555556,98,23.4444444444444,94.5555555555556,98.7777777777778,92.1111111111111,84.7777777777778,58.7777777777778,8.88888888888889,20.1111111111111,57.7777777777778,7,73
"服务员-顾客",60.3,20,81,90.7,89.2,23.5,49.7,17,7.9,5.3,94.1,50.5,8,39.2,7.2,52.4,6.6,48.1,33.7,52.1,12.8,9,63.8,42.6,2.5,27.2,75.8,89.7,91.8,31.9,56.3,92.1,55.1
"子女-父母",91,19.625,25.375,42.875,25.125,27.375,86.875,93.5,79.375,86,70.375,69.5,93.25,89.75,83.875,44.375,94.125,90.125,93.25,69.5,88.875,80,19.375,84,49.625,71.125,90.75,55.25,10.5,18.125,18,12.375,86.25
"义父义母-义子义女",77.125,14.875,34,34.125,24.125,27.25,63.125,75.375,69.75,79,40.75,32.25,82.5,80.75,78.5,47,73.5,83.25,70.5,43,73.25,69,26.875,65.875,38.875,75.625,70.875,65.125,13.625,11.25,39.375,7.5,83
"公公婆婆-媳妇",50.875,11.625,55.875,57.125,23.375,55.125,63.25,83.125,51.875,77.5,62.25,44,88.75,45.875,48.125,39,48.875,91.5,56,57.75,55.5,45.75,47.75,57,39.25,57.375,90.5,48.25,25.125,58.375,22.5,16.625,55.5
"雇主-保镖",48.7777777777778,3.22222222222222,65.5555555555556,59.5555555555556,61.2222222222222,56.1111111111111,53.4444444444444,61.4444444444444,16.5555555555556,38.5555555555556,91.8888888888889,43.5555555555556,73.1111111111111,66.5555555555556,25.6666666666667,51.5555555555556,28,67.8888888888889,51.1111111111111,69.2222222222222,38.7777777777778,34.2222222222222,55,50.3333333333333,6.55555555555556,61.7777777777778,83.8888888888889,70,78.6666666666667,27.1111111111111,41.6666666666667,70,64.3333333333333
"雇主-雇员",71.625,12.375,58.5,90.875,84.875,45.875,82.625,60.75,7.625,34.25,90,60.125,48,63.5,11.875,71.875,14.5,42.625,29.875,79.75,15.75,22.875,80.5,45.875,4.625,74.875,76.75,81.875,94.5,30,43.25,96.875,60.875
