,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
暧昧对象之间,0.4615883665977367,0.8969228263142097,-1.7160206923346266,-1.2943852958631292,-0.4007275382559793,-0.7019240213266154,1.0694180206229864,0.4632899839686462,1.05495356946879,0.8343036683643845,0.27830789744196655,-1.5391345465555415,-0.573017596927278,0.31093607477046714,1.512421727865808,0.48144576252626414,1.580451991300832,-0.9168878596729183,0.4700912725598952,0.8393057358260541,1.5026772540691615,1.709629317578915,-1.0211606616088629,0.5788311751341707,2.418669506142102,0.45900911286746693,-1.1543966774971308,-0.04853341266393018,-2.684069492252766,-0.7020702238339418,-0.7298882747713819,0.3475827030816798,-1.1269892523315082,-1.198894788908649,-0.5664446689499524
暗恋对象-暗恋者,0.4662760499470139,-0.16914459960468609,-0.9238855984556769,-1.3659209281479745,-0.928728399606916,-0.8436218517844285,-1.3155287199787724,0.03494510327344735,1.039993291254198,0.6067161472355571,-0.2622574963925393,-1.6024033723178497,-0.2536898080004716,0.17111327958588396,1.3888123765210239,-1.4548237225960527,1.1017930424474371,-0.9168878596729183,0.21730426532386873,-1.1182172307356273,0.5646221983897571,-0.24858781517079145,-0.9417742771716995,-0.7342955289522244,1.3207034514623424,-0.5526385623109334,-0.6665386881997327,0.058703730350836404,-2.3132446702499476,-1.1252175003863776,-0.8973544036464317,-0.9544267835522394,-1.065783717223868,-0.05817849599672165,-0.16773462650027035
报案人-受害者,0.12615858027168458,0.6829945449636268,0.2150636093732176,-0.15226084194782089,-0.6164141646248259,-0.42882264723912067,-0.5334896288017318,-1.0451559096167993,0.3967013280267473,0.1929206542740527,-0.8401728800904938,0.12374913661138828,-1.0916214794004935,-0.353356132236748,-1.0436430731566941,-1.158497365334147,-0.3268648599406769,-0.613492701910357,-1.2368593773116574,-1.2403366036957322,-0.9104468908568187,-0.8727662807144527,-0.7207052482876543,-1.017020365655012,-0.25638745513540034,-0.3538929642887677,-0.5299384511964613,0.011042777899829307,0.9005704537744796,-0.9773118551099474,-0.4863978397721032,-0.19677165076164882,-0.8033599849976464,0.03673381571326344,0.33661653830787447
报案人-罪犯,-1.9385055082321525,0.4787670687339532,0.3508748506342886,0.8406781907922546,-0.6750809269971523,1.6851394302319298,-2.002197190280564,-1.3407978664887794,-1.2190087191491756,0.8343036683643845,-0.8209931555660201,1.2907074784495183,-1.399770365518599,-1.7960488043903209,-1.1098623685199713,-1.6496684506586758,-0.7206240563980565,-0.6660741850581146,-1.4258112817103035,1.3985980119865344,-1.2210155979542865,-1.024396989482131,0.2936763306316557,-1.7422973557405361,-0.5562664520684197,-1.8086455793198652,-0.02744472222014131,-1.2066945572234093,-0.38734801404176117,-0.5213510744730057,2.1935918607330582,-0.6092428731423166,-0.7741573440639358,-1.198894788908649,-0.28019130513992424
文选(诗集)的编者-作者,0.9970259758262795,1.1037031459967541,-0.19062147181865058,-1.2968309585053461,-0.7222444026298067,-1.3008092962102786,0.14772909173576018,-0.22990081642436833,0.4809221535311168,0.8412002599137426,-0.22642169530733827,0.5174218302435286,0.17596889125568818,0.9623710132549619,0.17675401472355648,-0.43865434221390026,0.1688716253142152,0.67790852419857,0.20836735092663553,-0.5119559649751065,-0.22899459998537344,-0.24547211567556534,-0.10325559155416121,0.3972092243615021,-0.7470985410257956,0.31076444549027793,0.22027872345642632,-2.1559418602059726,1.086647425388797,-0.6403612460033782,-0.962745939683356,-0.46592089864462927,0.3231418899246713,0.9280842213374668,-0.9537954509309824
表兄弟姐妹之间,0.4303371442692227,1.4672280536855729,-0.6429370221130325,-0.5044362624270594,-1.0627416901240927,-1.218455001585225,-1.1765601009891242,1.1497616489782063,1.6156869603268262,0.9423502693043331,-1.2156916970959768,-1.0163678852063682,1.4435592619118698,0.696654130452076,1.444240379306582,0.30283809513552645,0.9690761881272298,-0.7775469293313606,0.4534941458221761,-1.0553510446555732,0.9688376876954904,1.2417551100457713,-1.47928625513166,0.842788410257116,1.3247927105114292,0.8841943676525917,-1.2151078939430293,-0.2622133494859467,-0.05108034391017335,-1.1967215540630622,-0.5204227040514784,0.43303758928452607,-1.0497822701369033,0.5790898826274609,-0.22680278093726006
厨子-食客,0.7261820489791568,0.037635720077858356,0.48085728325754523,1.8433998741011968,1.4771840219954462,-0.6855742716584061,0.12048034291426042,-1.1078678398623707,-0.8089862791936945,-1.6645613363531448,1.8207615328838433,-0.009179305394269303,-1.5037827655647733,-0.33621310753978767,-1.1731385840893251,0.5572187123283954,-0.9982560053252548,-0.45364499314117385,-0.848741952060384,0.9274629163061298,-0.7326767280207895,-1.0597082504280286,0.31131774939546975,-0.6247169519860477,-0.7198368140318848,-0.6840495861397972,-0.6166687604048876,0.8880043029983646,0.6347462086111688,1.6634405930043272,-0.6735345933086667,0.3307608750889936,1.4144405812556666,0.39516043384786353,-0.29950204793663243
敌人之间,-2.261434805626799,1.1282104431443152,-0.3118606914851858,0.39556758990877233,0.6443460620432063,2.1483823374978575,-0.936771111359927,-0.28813332308097017,-1.0971101559191676,-0.7726021626361242,-1.55486998342351,0.4765207711648648,-0.09232477615313521,-1.9176571358343837,-0.41578605045302824,-1.4615891645426717,-1.1895244130220242,-0.7228621868576928,-0.8078874862444609,0.5459302007858022,-1.1517063975628585,-1.1926447622243492,1.784376216173946,-2.2133036147443237,-0.7416461956270135,-1.9612344127740415,-0.6773799768507861,-1.8953953201404656,0.26259226538253344,-0.2681483638507727,2.4397404882541633,-1.278751627251231,-0.6113426199540695,-1.5337407084817625,-0.23589018931218186
施恩者-受恩者,1.2637030730296006,-0.615892203857097,-1.0952525724074142,0.0189355430073647,0.36366586559521347,-1.189388779952853,0.8725458103876516,-0.9152526255366863,0.5119508787169365,0.5607388702398343,0.20966467282806142,0.28224074054121123,-0.2400807089290096,1.1809445781412071,0.8242315693867117,0.3894357520522482,1.086179294880354,-0.5125362542666622,0.662873283128784,0.7887237470260103,0.5159470347560825,0.38182204936332287,-0.5839842528680952,0.3875227203202934,-0.4090531263013011,0.4801869224927793,-0.4301985956067708,-0.56088865151226,-0.12019464765263407,0.5193757341773714,-0.40984189514350905,-0.2290695605076064,-1.1681929785804426,1.5553308030730173,-0.117753880438202
青梅竹马之间,1.028798051860269,1.5402393764376814,-0.8451966818451851,-1.3053907777531053,-1.0788462915596333,-0.9199206835694048,1.2410851381984345,1.2998223392086814,1.7929939613886559,1.273961379635983,0.4100423211495352,-1.2803075320733714,0.7699088578744971,0.7641547901963576,1.309349222085091,-0.2309552744527015,1.4794505617262623,-1.0730548646217584,1.3146296830984383,0.5531561991858083,1.2550688129761207,1.2936834349662087,-1.2245882717290941,0.6387664188891514,1.780745094484588,0.10224447379489097,-0.9738892214570936,1.0667328746896423,-1.2785237959517604,-1.0987707956018502,-0.8686459244107089,1.0561180981336267,-0.9433726470085878,0.4087193355207184,-0.6277846754806726
