"","Valence Evaluation","Equality","Formality and Regulation","Concreteness","Goods Exchange","Coercion","Activeness","Activity Intensity","Communal Sharing","Uniqueness","Service Exchange","Importance for society","Endurance","Trust","Socioemotional","Expected Reciprocity","Love Expression","Generation Gap","Importance for individuals","Synchronicity","Attachment","Intimacy","Strategic","Information Exchange","Mating","Affiliation Coalition","Spatial Distance","Visibility","Money Exchange","Conflict","Negotiation","Occupational","Morality"
"暧昧对象之间",0.461588366597737,0.89692282631421,-1.71602069233463,-1.29438529586313,-0.400727538255979,-0.701924021326615,1.06941802062299,0.463289983968646,1.05495356946879,0.834303668364385,0.278307897441967,-1.53913454655554,-0.573017596927278,0.310936074770467,1.51242172786581,0.481445762526264,1.58045199130083,-0.916887859672918,0.470091272559895,0.839305735826054,1.50267725406916,1.70962931757892,-1.02116066160886,0.578831175134171,2.4186695061421,0.459009112867467,-0.0485334126639302,-2.68406949225277,-0.702070223833942,-0.729888274771382,0.34758270308168,-1.12698925233151,-1.19889478890865
"暗恋对象-暗恋者",0.466276049947014,-0.169144599604686,-0.923885598455677,-1.36592092814797,-0.928728399606916,-0.843621851784429,-1.31552871997877,0.0349451032734474,1.0399932912542,0.606716147235557,-0.262257496392539,-1.60240337231785,-0.253689808000472,0.171113279585884,1.38881237652102,-1.45482372259605,1.10179304244744,-0.916887859672918,0.217304265323869,-1.11821723073563,0.564622198389757,-0.248587815170791,-0.941774277171699,-0.734295528952224,1.32070345146234,-0.552638562310933,0.0587037303508364,-2.31324467024995,-1.12521750038638,-0.897354403646432,-0.954426783552239,-1.06578371722387,-0.0581784959967217
"报案人-受害者",0.126158580271685,0.682994544963627,0.215063609373218,-0.152260841947821,-0.616414164624826,-0.428822647239121,-0.533489628801732,-1.0451559096168,0.396701328026747,0.192920654274053,-0.840172880090494,0.123749136611388,-1.09162147940049,-0.353356132236748,-1.04364307315669,-1.15849736533415,-0.326864859940677,-0.613492701910357,-1.23685937731166,-1.24033660369573,-0.910446890856819,-0.872766280714453,-0.720705248287654,-1.01702036565501,-0.2563874551354,-0.353892964288768,0.0110427778998293,0.90057045377448,-0.977311855109947,-0.486397839772103,-0.196771650761649,-0.803359984997646,0.0367338157132634
"报案人-罪犯",-1.93850550823215,0.478767068733953,0.350874850634289,0.840678190792255,-0.675080926997152,1.68513943023193,-2.00219719028056,-1.34079786648878,-1.21900871914918,0.834303668364385,-0.82099315556602,1.29070747844952,-1.3997703655186,-1.79604880439032,-1.10986236851997,-1.64966845065868,-0.720624056398056,-0.666074185058115,-1.4258112817103,1.39859801198653,-1.22101559795429,-1.02439698948213,0.293676330631656,-1.74229735574054,-0.55626645206842,-1.80864557931987,-1.20669455722341,-0.387348014041761,-0.521351074473006,2.19359186073306,-0.609242873142317,-0.774157344063936,-1.19889478890865
"编辑-作者",0.997025975826279,1.10370314599675,-0.190621471818651,-1.29683095850535,-0.722244402629807,-1.30080929621028,0.14772909173576,-0.229900816424368,0.480922153531117,0.841200259913743,-0.226421695307338,0.517421830243529,0.175968891255688,0.962371013254962,0.176754014723556,-0.4386543422139,0.168871625314215,0.67790852419857,0.208367350926636,-0.511955964975107,-0.228994599985373,-0.245472115675565,-0.103255591554161,0.397209224361502,-0.747098541025796,0.310764445490278,-2.15594186020597,1.0866474253888,-0.640361246003378,-0.962745939683356,-0.465920898644629,0.323141889924671,0.928084221337467
"表兄弟姐妹之间",0.430337144269223,1.46722805368557,-0.642937022113032,-0.504436262427059,-1.06274169012409,-1.21845500158522,-1.17656010098912,1.14976164897821,1.61568696032683,0.942350269304333,-1.21569169709598,-1.01636788520637,1.44355926191187,0.696654130452076,1.44424037930658,0.302838095135526,0.96907618812723,-0.777546929331361,0.453494145822176,-1.05535104465557,0.96883768769549,1.24175511004577,-1.47928625513166,0.842788410257116,1.32479271051143,0.884194367652592,-0.262213349485947,-0.0510803439101733,-1.19672155406306,-0.520422704051478,0.433037589284526,-1.0497822701369,0.579089882627461
"厨师-顾客",0.726182048979157,0.0376357200778584,0.480857283257545,1.8433998741012,1.47718402199545,-0.685574271658406,0.12048034291426,-1.10786783986237,-0.808986279193694,-1.66456133635314,1.82076153288384,-0.0091793053942693,-1.50378276556477,-0.336213107539788,-1.17313858408933,0.557218712328395,-0.998256005325255,-0.453644993141174,-0.848741952060384,0.92746291630613,-0.73267672802079,-1.05970825042803,0.31131774939547,-0.624716951986048,-0.719836814031885,-0.684049586139797,0.888004302998365,0.634746208611169,1.66344059300433,-0.673534593308667,0.330760875088994,1.41444058125567,0.395160433847864
"敌人之间",-2.2614348056268,1.12821044314432,-0.311860691485186,0.395567589908772,0.644346062043206,2.14838233749786,-0.936771111359927,-0.28813332308097,-1.09711015591917,-0.772602162636124,-1.55486998342351,0.476520771164865,-0.0923247761531352,-1.91765713583438,-0.415786050453028,-1.46158916454267,-1.18952441302202,-0.722862186857693,-0.807887486244461,0.545930200785802,-1.15170639756286,-1.19264476222435,1.78437621617395,-2.21330361474432,-0.741646195627014,-1.96123441277404,-1.89539532014047,0.262592265382533,-0.268148363850773,2.43974048825416,-1.27875162725123,-0.611342619954069,-1.53374070848176
"恩人-受助者",1.2637030730296,-0.615892203857097,-1.09525257240741,0.0189355430073647,0.363665865595213,-1.18938877995285,0.872545810387652,-0.915252625536686,0.511950878716936,0.560738870239834,0.209664672828061,0.282240740541211,-0.24008070892901,1.18094457814121,0.824231569386712,0.389435752052248,1.08617929488035,-0.512536254266662,0.662873283128784,0.78872374702601,0.515947034756083,0.381822049363323,-0.583984252868095,0.387522720320293,-0.409053126301301,0.480186922492779,-0.56088865151226,-0.120194647652634,0.519375734177371,-0.409841895143509,-0.229069560507606,-1.16819297858044,1.55533080307302
"青梅竹马之间",1.02879805186027,1.54023937643768,-0.845196681845185,-1.30539077775311,-1.07884629155963,-0.919920683569405,1.24108513819843,1.29982233920868,1.79299396138866,1.27396137963598,0.410042321149535,-1.28030753207337,0.769908857874497,0.764154790196358,1.30934922208509,-0.230955274452702,1.47945056172626,-1.07305486462176,1.31462968309844,0.553156199185808,1.25506881297612,1.29368343496621,-1.22458827172909,0.638766418889151,1.78074509448459,0.102244473794891,1.06673287468964,-1.27852379595176,-1.09877079560185,-0.868645924410709,1.05611809813363,-0.943372647008588,0.408719335520718
"情敌之间",-1.85881489129444,0.694737624846833,-1.25437904821974,-1.48698122893771,-0.964963752836882,0.780453281924353,-0.303918919980597,-0.720957627365139,-0.715346019257916,0.601543703573538,-1.34793085039629,-1.58514823801904,-0.37617169964363,-1.46818845706095,0.293986693181506,-1.7166463259302,-0.922626915547196,-0.760720854724078,-1.38559516692275,-1.4303803616159,-1.22577729874454,-1.04309118645349,-0.386069586111556,-0.979485162495327,-0.249572023386923,-1.28082940096592,-0.977921985458574,-2.27137735163673,-1.0458773860328,1.17922559440419,-0.990761932016442,-1.0513824148456,-1.23603438914299
"人 - 上帝",0.150326192205736,-1.22326471816415,1.10104252232098,-1.18433047696337,0.213202875040306,-0.0621038176440281,-1.60981520725097,-0.409525702342041,-0.10596401998354,-0.398806900660899,-0.390357867032313,1.36202870021794,1.31057892241358,0.557795630406697,0.796370414004236,-0.14205736727413,0.0900222001004451,2.07110750168156,0.642446050220822,-2.66472540830496,0.469388182584742,-0.508437153072662,-0.877272839816504,-1.0514074550013,-0.286375354828702,-0.632788426431348,-3.05832255994505,0.208364119369218,-0.492259699210026,-0.356678044706985,-1.31535592496332,-0.916010172489878,1.03372575089293
"认识但不熟的人之间",0.0537599152106267,0.979634954187227,-0.787491476330825,-0.215848070645461,-0.913198962508359,-0.800022519335871,-0.469455069071208,-0.64032800276369,-0.146855447103424,-1.01225871897633,-0.739226961540633,-1.65416877521428,-0.546771477289458,-0.658180540129575,-0.332889302924185,-0.0421994441420354,-0.281487406073841,-0.405795843476714,-1.16153395596355,-1.57345512993602,-0.835317833943973,-0.650513050054979,-0.410877831248169,-1.13204760114437,-0.433588680595821,-0.660156672716367,-1.95735455832678,-0.303613376815318,-0.424379823596406,-0.428449242796292,0.620096316563198,-0.820961576793308,-0.657717756922525
"商家-客户",0.976191827607271,0.756516436406309,-0.134664908895634,1.37872397207998,1.56000768652108,-0.81637226900408,0.496513076650956,-0.789828765045543,-1.40739740777737,-1.61858405935742,1.87729124727177,0.10841123945689,-1.20827090001303,-0.117639542653543,-1.10642877542706,0.844073450865035,-1.18562097613025,-0.941601156752364,-0.838528335606403,1.07776368302626,-1.07128656199418,-0.648435917058162,0.915536342056102,-0.140391749925598,-0.687122741639192,-0.714458748678708,0.926133064959171,1.39500354977824,1.93378468635727,-0.979758371823043,1.0628468293307,1.4016394235861,0.0178692568640731
"上级-下级",-0.044681435124193,-1.3674493163823,1.42279275912832,0.498285420881884,-0.147080065646216,0.244544820577496,0.354819582779158,0.397218486031348,-1.07494678078644,-0.492140772962216,1.12221577651881,1.63708832252195,0.0632077846635739,-0.0147813944717802,-0.874906498305084,0.90360933999528,-0.674270743308278,1.06490824016607,-0.154216033189686,-1.25189820113574,-0.804631317740135,-0.976622930555328,0.981691662420405,0.455328248608756,-0.648956323847717,0.158718632795725,-0.510050302231185,0.884620999064681,0.0100317901790692,0.21536498599001,-1.35949640161613,1.50084839552528,0.16878572765759
"生意伙伴之间",-0.205937742339326,1.49336917064297,0.484121416094721,1.28529965914729,1.69988765327549,-0.232141214193404,1.43604993601626,0.328235362761219,-0.377243731608139,0.184644744414822,0.347354905730071,0.432552132655301,-0.488155143431661,0.280078630315939,-0.429128012185481,1.99149240501159,-0.549360762771612,-0.775864321870632,0.959578841116929,0.696230967505931,0.488434985745745,0.347757068215515,1.32173000909292,0.796777516061373,-0.394331793724589,1.16178657997208,0.230283159174463,-0.466297814855264,1.34137849918386,-0.019831888341171,2.01294367435762,0.838068457183196,0.473448353072
"生意竞争对手之间",-1.98725741506463,1.0118007816934,0.320448469544898,1.32491939395121,0.755697877683229,1.53363174997319,-0.66809844797994,-0.300675709130085,-1.24693457181641,-0.9491549062997,-0.448502716117033,0.409545286923553,-0.768113752901738,-1.60993984252394,-0.997731028371489,0.198920906835461,-1.03065453152695,-0.41620697713997,-0.143491735913005,-0.0789741408467346,-1.11530584041072,-1.04309118645349,1.61545963151043,-1.37832696639211,-0.649501558387595,-1.59458679587632,-1.1023170713557,-1.39934091537849,1.4753751367588,2.23856847820236,0.859908296426934,0.967680178587611,-0.914511564257117
"师父-徒弟",0.487839393353689,-1.14606673214933,0.949959802428832,0.365241373145283,-0.24646846307698,0.609325902063764,0.930858132865661,1.0337445780239,-0.385222546655922,0.859131397942075,0.350988958797867,0.561390468753092,0.645677224922151,0.839369811054271,-0.181909309495913,0.11124077920728,0.202441182583444,1.68873495623106,1.15261619209717,-0.0789741408467346,0.922702097816616,0.759029401585382,-0.285844275759637,1.12805595427072,-0.433588680595821,0.630060652148839,1.17397001770441,0.41889692153856,0.265879171279755,-0.5518957035099,0.365750277313781,1.13761554665118,0.672941062902179
"收银员-顾客",0.947024020100657,0.245947745832125,-0.0320778768701043,1.20752758712479,2.10296282063359,-0.845438490636452,0.741751816044453,-1.21537400599764,-1.35420530745882,-1.64157269785528,1.4169778586844,0.0777354451478914,-1.25493066825804,-0.379070669282188,-1.14174573295414,1.37448409947995,-1.14268317032077,-0.9079490075378,-0.726178554612614,1.39570761262653,-1.01202984104884,-0.918463206644438,1.0390262734028,-0.3583380908528,-0.665313360044063,-0.558068769907167,0.811746779076753,1.35247167055211,1.94945680771107,-0.826646482565855,0.739867731871124,1.37603710824695,0.0461660951378579
"首领-反贼",-1.91975477483504,-0.114003181022674,0.592187528239796,-0.243361775370402,-0.954610794771178,1.76143826201691,-0.408145384222833,-0.484108105098382,-1.03449862116921,-0.396737923196091,-1.02995120696423,1.17567324979078,-0.262438514546411,-1.55497501958932,-0.778765891703585,-1.69229073492237,-0.997280146102312,-0.154982168861911,-1.18451459298501,-0.81906089697537,-0.892458243426982,-0.781372428854482,1.18181150652242,-0.728846870429044,-0.54399867492116,-1.32970126933202,-1.92160884398852,0.384206857544748,-0.666807950787905,1.52372734523286,-0.948370925474872,0.853189824680378,-0.477325412927151
"叔叔婶婶-侄子侄女",1.01473500181244,-1.11573895192922,-0.00584823799994043,-1.25586610924821,-1.04778741736252,-0.587475773649151,0.0639391891096486,1.2897436361335,0.556277628982394,1.21189205569176,-0.116895373680739,-0.44630937429749,1.45668232173078,1.09201513752572,1.45061705219342,0.0186895333775343,1.65071385535271,1.77580989232375,1.481239301504,-0.487387570415086,1.29316241929813,1.78907965470718,-1.47267072309523,0.780431540491833,0.314745725387032,1.23607181988856,0.394713445130438,-0.16006828442713,-1.239819887786,-1.1318069840715,-0.41545541466657,-1.14499088030434,1.19926225479457
"双胞胎之间",0.672013263609732,1.7000473765874,-1.39835062157375,0.00915289243849731,-0.897094361072818,-1.25720996376172,-2.02672106421991,1.99189328370445,1.90824351207885,2.31707085147644,-1.25203222777393,-1.5634195503835,1.70018798725944,1.15951579727001,1.5933564221987,-0.227572553479392,1.55459172189285,-1.26550309294255,1.70976896966182,0.921682117586125,1.56140489714892,2.13907656467094,-1.62923831462408,1.00261572693706,1.33569740130899,1.30123431104337,1.61880557391381,-0.327537558880016,-1.27900019117048,-0.750090537937261,-0.0514310569048392,-1.18419442566741,0.602670581188948
"谈判中对立的双方",-1.84058501160281,0.870883823094927,1.92173877852522,0.229262530238021,0.786986817615137,0.414097780099665,0.283972835843259,-1.05411475679474,-1.50934893338792,0.100966100282607,-0.347556797567172,1.0082345391875,-1.32492032062556,-1.29193673439533,-1.34972337172473,0.0701068921718377,-1.19733128680557,-0.533568847525765,-1.31346150071651,1.28009163822643,-1.31254606870022,-1.21341609219252,1.66088628482725,-0.334121830749778,-0.70893212323432,-1.5659152997682,-0.0270859840609769,0.416770327577254,-0.131017302005076,1.89959576781908,2.36552918908433,0.908794853307581,-0.265099125873769
"堂兄弟姐妹之间",0.356584259573929,1.01915297083767,-0.779097991892372,-1.23715679003525,-1.02915209284425,-0.868691467942349,-0.216859167495906,0.384676099982233,1.02702771680155,0.937752541604761,-1.05902363150659,-0.616560032712429,1.30357995717683,0.542366908179432,1.36850512594295,-0.0884750670569085,1.16502872009412,-1.05601846408189,0.408043552601961,-0.859381968047405,1.05602971994364,0.807634313710912,-1.29008203888975,0.474216931489114,0.591997488915105,0.375926936645086,-0.0385246126492188,0.284921501976252,-0.562784245302098,-0.444717381029869,0.307614039771057,-1.0888258010291,0.252733014536483
