,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
大夫-病人,"[85, 91, 92, 74, 100, 100, 74, 100, 100]","[92, 31, 3, 17, 84, 28, 87, 100, 99]","[100, 89, 2, 71, 34, 73, 2, 100, 92]","[100, 71, 88, 7, 100, 51, 5, 100, 89]","[52, 63, 93, 96, 99, 29, 28, 0, 99]","[3, 16, 3, 12, 0, 88, 0, 34, 4]","[55, 24, 4, 89, 0, 73, 80, 100, 6]","[85, 33, 6, 25, 16, 4, 58, 0, 11]","[79, 20, 5, 31, 0, 12, 5, 0, 4]","[3, 2, 19, 0, 17, 0, 17, 14, 7]","[80, 97, 84, 100, 81, 100, 98, 88, 69]","[67, 97, 100, 100, 82, 0, 20, 70, 83]","[4, 2, 48, 4, 25, 0, 7, 66, 94]","[87, 89, 67, 58, 83, 100, 76, 73, 85]","[31, 3, 61, 0, 9, 0, 2, 50, 59]","[8, 3, 54, 29, 84, 100, 96, 72, 86]","[68, 86, 85, 19, 73, 0, 2, 1, 48]","[26, 3, 15, 0, 51, 0, 2, 0, 70]","[81, 70, 83, 34, 15, 49, 30, 54, 58]","[80, 76, 100, 70, 2, 100, 100, 87, 96]","[73, 34, 55, 3, 4, 10, 74, 61, 67]","[1, 15, 43, 25, 1, 28, 35, 53, 17]","[26, 67, 100, 64, 2, 33, 100, 72, 17]","[93, 77, 87, 91, 98, 81, 100, 73, 85]","[7, 7, 0, 2, 1, 0, 0, 5, 0]","[52, 53, 53, 2, 2, 24, 60, 87, 94]","[1, 13, 0, 4, 1, 0, 0, 3, 26]","[82, 91, 90, 96, 97, 68, 99, 34, 74]","[4, 85, 84, 8, 97, 100, 100, 90, 100]","[76, 78, 87, 89, 100, 68, 67, 83, 89]","[4, 25, 48, 4, 1, 11, 50, 4, 40]","[62, 71, 88, 4, 8, 68, 100, 73, 0]","[80, 86, 100, 93, 100, 100, 100, 97, 100]","[90, 84, 65, 95, 98, 94, 85, 82, 77]","[31, 16, 0, 3, 0, 5, 54, 53, 0]"
君臣之间,"[53, 84, 4, 39, 81, 52, 88, 50, 80]","[3, 0, 2, 0, 0, 0, 2, 0, 2]","[100, 100, 3, 92, 100, 18, 89, 100, 98]","[47, 50, 31, 13, 50, 100, 4, 0, 39]","[76, 16, 2, 1, 51, 0, 2, 0, 54]","[100, 85, 93, 78, 70, 35, 73, 100, 22]","[5, 39, 1, 25, 100, 100, 79, 100, 100]","[57, 96, 10, 84, 80, 100, 88, 100, 90]","[44, 79, 4, 20, 0, 93, 70, 0, 6]","[6, 2, 75, 65, 98, 100, 18, 69, 100]","[71, 94, 100, 100, 90, 100, 79, 92, 74]","[100, 97, 100, 100, 99, 100, 96, 100, 100]","[81, 65, 88, 94, 84, 100, 84, 100, 90]","[53, 53, 52, 51, 73, 100, 97, 63, 92]","[18, 2, 58, 0, 12, 0, 57, 48, 85]","[64, 2, 40, 75, 19, 0, 74, 3, 100]","[55, 4, 46, 76, 63, 0, 3, 0, 73]","[100, 3, 100, 100, 36, 100, 99, 13, 2]","[64, 69, 92, 81, 12, 91, 100, 79, 84]","[94, 78, 94, 77, 10, 93, 93, 75, 96]","[66, 22, 80, 59, 9, 0, 75, 59, 88]","[59, 18, 0, 8, 11, 0, 86, 54, 11]","[86, 63, 100, 96, 30, 100, 55, 73, 18]","[97, 99, 85, 88, 74, 89, 70, 70, 91]","[4, 3, 0, 2, 1, 0, 0, 3, 0]","[68, 78, 76, 91, 91, 82, 58, 69, 64]","[100, 79, 100, 97, 95, 100, 93, 81, 100]","[19, 79, 50, 94, 91, 87, 53, 3, 79]","[93, 81, 100, 93, 100, 100, 100, 100, 100]","[55, 75, 25, 28, 0, 78, 0, 18, 0]","[70, 13, 29, 6, 30, 19, 76, 7, 40]","[2, 11, 100, 2, 78, 43, 100, 98, 0]","[86, 92, 100, 88, 100, 94, 89, 31, 100]","[76, 96, 100, 99, 100, 96, 100, 48, 77]","[0, 5, 0, 5, 0, 3, 8, 8, 0]"
音乐曲艺人-听众,"[86, 84, 95, 77, 100, 100, 91, 100, 91]","[87, 83, 3, 32, 4, 83, 2, 100, 44]","[45, 72, 2, 26, 1, 100, 23, 100, 21]","[14, 76, 2, 79, 89, 84, 100, 0, 38]","[0, 19, 3, 75, 2, 72, 28, 100, 98]","[3, 4, 2, 2, 0, 17, 1, 0, 2]","[73, 78, 93, 92, 76, 44, 89, 100, 100]","[78, 23, 5, 5, 18, 34, 36, 0, 10]","[69, 20, 66, 26, 0, 0, 6, 0, 5]","[9, 5, 52, 0, 10, 0, 1, 8, 88]","[87, 97, 48, 100, 86, 100, 98, 100, 90]","[27, 3, 34, 65, 10, 0, 1, 25, 74]","[10, 2, 49, 2, 17, 0, 2, 57, 77]","[55, 27, 53, 51, 11, 100, 7, 39, 79]","[4, 2, 47, 0, 17, 48, 2, 50, 79]","[56, 3, 52, 3, 73, 100, 89, 64, 83]","[45, 5, 47, 0, 23, 0, 2, 1, 67]","[8, 4, 26, 0, 48, 0, 1, 13, 0]","[80, 31, 0, 49, 4, 19, 0, 41, 47]","[97, 86, 100, 75, 97, 100, 100, 100, 95]","[56, 24, 15, 6, 1, 0, 0, 22, 63]","[3, 18, 0, 22, 1, 0, 40, 54, 80]","[21, 78, 100, 32, 31, 18, 100, 30, 7]","[56, 21, 12, 82, 28, 0, 37, 79, 9]","[57, 9, 0, 3, 1, 0, 0, 4, 52]","[90, 52, 0, 19, 2, 35, 54, 81, 92]","[12, 24, 0, 3, 3, 0, 0, 3, 14]","[93, 76, 100, 82, 89, 41, 89, 8, 83]","[59, 83, 19, 93, 99, 100, 100, 55, 100]","[93, 91, 91, 7, 49, 34, 83, 93, 100]","[9, 16, 8, 2, 0, 25, 13, 1, 3]","[19, 89, 21, 3, 9, 49, 75, 35, 0]","[93, 80, 100, 54, 94, 27, 100, 92, 100]","[62, 77, 49, 62, 50, 95, 60, 30, 31]","[22, 41, 0, 4, 0, 4, 47, 20, 0]"
主人-家丁,"[67, 90, 4, 54, 76, 15, 55, 53, 25]","[2, 0, 3, 6, 0, 13, 2, 0, 3]","[89, 87, 14, 57, 94, 2, 49, 100, 98]","[66, 64, 87, 87, 50, 0, 100, 0, 82]","[100, 84, 95, 87, 51, 19, 39, 0, 76]","[60, 9, 93, 73, 73, 15, 60, 100, 22]","[39, 27, 2, 78, 91, 37, 80, 27, 100]","[76, 32, 18, 32, 71, 94, 48, 100, 82]","[50, 22, 6, 10, 0, 53, 3, 0, 5]","[3, 5, 59, 56, 33, 100, 2, 2, 87]","[89, 95, 88, 100, 87, 100, 90, 100, 78]","[76, 3, 62, 89, 28, 99, 2, 27, 6]","[22, 86, 92, 91, 71, 100, 66, 46, 84]","[39, 63, 87, 66, 72, 60, 72, 50, 90]","[26, 3, 51, 7, 11, 0, 6, 47, 80]","[33, 2, 66, 29, 78, 0, 89, 67, 100]","[65, 5, 48, 56, 10, 0, 1, 0, 67]","[92, 96, 84, 89, 52, 100, 98, 0, 0]","[74, 24, 82, 48, 2, 39, 100, 75, 16]","[69, 71, 100, 55, 1, 66, 92, 73, 96]","[14, 22, 57, 23, 14, 1, 60, 63, 95]","[7, 15, 38, 21, 1, 0, 81, 63, 82]","[74, 67, 94, 91, 11, 62, 0, 72, 24]","[59, 34, 72, 75, 1, 0, 60, 68, 84]","[2, 10, 0, 2, 1, 0, 0, 4, 40]","[71, 50, 78, 86, 2, 53, 42, 83, 91]","[69, 32, 100, 80, 77, 0, 0, 2, 8]","[90, 73, 100, 93, 100, 88, 100, 29, 82]","[34, 86, 66, 7, 49, 100, 100, 88, 100]","[86, 91, 86, 97, 49, 65, 34, 100, 100]","[60, 30, 72, 7, 1, 3, 69, 2, 0]","[11, 74, 100, 3, 8, 64, 23, 92, 0]","[98, 66, 100, 4, 95, 75, 0, 92, 100]","[26, 76, 62, 76, 79, 78, 90, 44, 48]","[26, 10, 0, 4, 0, 4, 9, 5, 0]"
继祖父母-继孙,"[86, 81, 92, 67, 100, 4, 57, 90, 57]","[3, 0, 3, 25, 0, 13, 2, 0, 3]","[79, 41, 2, 56, 60, 10, 25, 0, 98]","[39, 32, 35, 12, 8, 51, 44, 0, 69]","[61, 17, 1, 37, 50, 51, 1, 0, 3]","[26, 14, 29, 33, 0, 13, 1, 76, 1]","[3, 22, 11, 28, 100, 51, 3, 100, 1]","[66, 89, 31, 95, 80, 48, 44, 100, 67]","[69, 71, 56, 96, 86, 36, 79, 100, 95]","[87, 99, 87, 100, 73, 100, 84, 92, 14]","[33, 50, 2, 90, 11, 0, 1, 23, 20]","[48, 54, 80, 0, 8, 0, 2, 70, 6]","[82, 95, 75, 100, 90, 0, 82, 80, 6]","[95, 61, 86, 96, 93, 100, 97, 50, 51]","[91, 95, 84, 97, 85, 100, 84, 55, 6]","[6, 97, 81, 63, 17, 100, 2, 14, 48]","[92, 97, 75, 85, 83, 100, 81, 46, 49]","[4, 98, 100, 100, 100, 100, 98, 69, 98]","[11, 77, 100, 81, 78, 87, 100, 92, 16]","[61, 78, 53, 16, 1, 14, 19, 65, 34]","[85, 68, 97, 79, 78, 50, 71, 79, 67]","[78, 80, 95, 68, 85, 77, 90, 81, 53]","[14, 21, 10, 13, 1, 31, 0, 44, 38]","[76, 69, 94, 85, 5, 82, 86, 89, 17]","[1, 81, 100, 1, 1, 0, 0, 5, 0]","[58, 67, 95, 82, 59, 100, 81, 86, 56]","[1, 20, 0, 4, 1, 0, 0, 2, 7]","[37, 86, 90, 90, 100, 91, 90, 68, 80]","[8, 87, 100, 8, 0, 100, 100, 100, 100]","[75, 15, 25, 15, 0, 8, 0, 2, 0]","[4, 12, 49, 5, 1, 2, 56, 2, 13]","[33, 33, 51, 3, 59, 81, 85, 3, 0]","[2, 5, 50, 2, 0, 2, 0, 1, 0]","[82, 91, 53, 77, 50, 100, 100, 65, 77]","[14, 6, 0, 3, 0, 2, 50, 3, 0]"
施恩者-受恩者,"[100, 90, 90, 83, 100, 100, 100, 100, 100]","[3, 0, 4, 16, 51, 55, 2, 100, 14]","[4, 10, 2, 11, 14, 19, 30, 100, 14]","[83, 73, 18, 16, 51, 53, 44, 100, 24]","[55, 74, 59, 85, 79, 24, 26, 0, 24]","[4, 16, 3, 9, 0, 15, 1, 0, 1]","[56, 77, 75, 58, 0, 100, 92, 100, 100]","[71, 22, 9, 23, 49, 35, 7, 0, 5]","[79, 27, 2, 87, 95, 52, 40, 0, 94]","[59, 92, 83, 85, 63, 0, 2, 38, 90]","[20, 97, 11, 76, 58, 100, 15, 10, 64]","[80, 4, 48, 48, 77, 100, 86, 16, 21]","[17, 4, 64, 74, 70, 0, 2, 77, 69]","[83, 96, 86, 100, 69, 100, 75, 51, 83]","[68, 66, 100, 75, 80, 0, 53, 54, 88]","[2, 58, 44, 96, 14, 100, 2, 53, 100]","[58, 93, 79, 83, 72, 100, 19, 39, 56]","[37, 2, 54, 0, 52, 0, 1, 48, 0]","[75, 75, 83, 7, 1, 59, 91, 86, 58]","[69, 73, 100, 70, 98, 0, 100, 57, 97]","[60, 78, 73, 44, 6, 0, 89, 47, 73]","[51, 71, 79, 59, 1, 0, 58, 87, 0]","[62, 17, 0, 8, 1, 32, 100, 31, 81]","[59, 59, 5, 90, 2, 69, 100, 81, 85]","[56, 7, 0, 2, 1, 0, 0, 6, 0]","[86, 69, 76, 3, 2, 48, 100, 93, 96]","[12, 30, 45, 7, 6, 70, 0, 2, 49]","[65, 73, 49, 77, 49, 45, 87, 5, 51]","[9, 81, 100, 7, 9, 100, 100, 100, 82]","[66, 87, 52, 3, 91, 58, 52, 14, 71]","[1, 100, 50, 3, 0, 3, 0, 1, 68]","[65, 31, 87, 2, 0, 81, 100, 5, 0]","[7, 8, 10, 1, 0, 4, 0, 1, 0]","[92, 100, 100, 84, 100, 96, 100, 100, 100]","[0, 7, 0, 4, 0, 3, 53, 51, 0]"
夫妻之间,"[87, 94, 97, 59, 100, 100, 99, 79, 94]","[3, 72, 3, 34, 16, 0, 0, 34, 2]","[50, 41, 97, 19, 57, 2, 1, 0, 100]","[53, 37, 39, 96, 49, 100, 100, 0, 86]","[46, 12, 2, 53, 51, 6, 2, 100, 3]","[85, 13, 49, 56, 0, 27, 0, 78, 0]","[4, 41, 30, 91, 100, 51, 78, 100, 3]","[83, 99, 95, 90, 84, 100, 99, 100, 100]","[89, 95, 97, 88, 95, 89, 100, 100, 94]","[83, 100, 100, 100, 96, 100, 48, 97, 100]","[73, 67, 9, 0, 8, 0, 2, 23, 52]","[63, 50, 100, 0, 14, 100, 2, 100, 100]","[70, 96, 77, 100, 97, 100, 99, 100, 91]","[66, 99, 92, 87, 100, 100, 99, 84, 87]","[90, 98, 72, 90, 100, 100, 98, 95, 82]","[70, 61, 76, 75, 17, 100, 1, 0, 100]","[92, 97, 78, 68, 98, 100, 26, 92, 66]","[8, 1, 2, 0, 0, 0, 95, 0, 0]","[61, 85, 100, 92, 85, 97, 100, 97, 75]","[90, 85, 84, 85, 1, 94, 71, 88, 96]","[91, 91, 97, 97, 99, 62, 100, 92, 95]","[94, 98, 98, 97, 100, 95, 100, 100, 100]","[67, 78, 1, 6, 1, 41, 0, 7, 10]","[93, 79, 93, 98, 97, 96, 100, 100, 95]","[93, 100, 100, 98, 98, 100, 100, 100, 100]","[69, 74, 100, 95, 93, 100, 100, 100, 98]","[4, 10, 0, 3, 1, 0, 0, 2, 0]","[76, 100, 0, 98, 99, 100, 91, 99, 100]","[5, 68, 51, 5, 0, 100, 100, 100, 100]","[40, 10, 11, 3, 0, 14, 0, 2, 0]","[66, 38, 22, 2, 1, 2, 46, 2, 2]","[66, 74, 100, 3, 74, 99, 100, 4, 0]","[2, 8, 47, 2, 0, 2, 0, 2, 0]","[67, 92, 96, 95, 50, 93, 61, 53, 50]","[26, 8, 0, 4, 0, 4, 0, 3, 0]"
公公-儿媳,"[46, 82, 85, 56, 100, 25, 46, 46, 55]","[3, 0, 2, 28, 0, 15, 0, 35, 2]","[89, 16, 2, 64, 100, 89, 33, 0, 93]","[28, 25, 58, 36, 29, 90, 43, 0, 87]","[34, 12, 2, 14, 23, 18, 2, 100, 2]","[80, 14, 2, 62, 0, 19, 1, 77, 2]","[3, 24, 27, 73, 56, 0, 4, 0, 6]","[8, 41, 12, 60, 43, 4, 39, 100, 96]","[46, 65, 25, 62, 54, 33, 100, 73, 89]","[73, 99, 77, 100, 73, 100, 82, 95, 13]","[68, 87, 20, 0, 10, 0, 1, 23, 0]","[19, 55, 84, 0, 9, 54, 2, 72, 0]","[73, 81, 81, 88, 71, 100, 98, 100, 90]","[12, 72, 87, 78, 79, 59, 96, 61, 4]","[73, 94, 75, 0, 72, 56, 70, 75, 8]","[5, 64, 54, 2, 10, 0, 1, 0, 0]","[5, 75, 25, 0, 12, 0, 65, 58, 0]","[73, 99, 100, 100, 100, 100, 99, 52, 98]","[2, 20, 0, 80, 27, 60, 71, 80, 0]","[5, 72, 0, 16, 1, 31, 0, 53, 4]","[12, 17, 2, 70, 31, 20, 31, 58, 0]","[1, 11, 0, 88, 8, 20, 59, 58, 0]","[34, 19, 94, 62, 1, 31, 0, 66, 10]","[51, 30, 31, 64, 67, 69, 71, 76, 6]","[64, 68, 52, 1, 1, 1, 0, 52, 23]","[55, 68, 49, 80, 53, 83, 59, 90, 7]","[34, 19, 0, 2, 1, 0, 0, 3, 0]","[18, 84, 55, 95, 63, 89, 94, 29, 78]","[22, 83, 37, 7, 100, 100, 100, 100, 100]","[19, 15, 12, 15, 0, 8, 0, 3, 0]","[61, 10, 71, 3, 0, 3, 55, 2, 14]","[30, 31, 51, 4, 0, 69, 100, 3, 16]","[1, 11, 13, 1, 0, 1, 0, 2, 0]","[4, 70, 3, 76, 50, 97, 59, 54, 50]","[39, 10, 0, 4, 0, 3, 52, 7, 0]"
养父母-子女,"[77, 83, 85, 73, 100, 49, 78, 64, 54]","[3, 0, 3, 12, 0, 36, 0, 35, 3]","[79, 12, 2, 70, 100, 8, 51, 0, 98]","[50, 33, 72, 2, 51, 53, 100, 0, 78]","[47, 19, 1, 70, 51, 51, 2, 100, 1]","[14, 13, 2, 5, 0, 18, 1, 84, 1]","[40, 66, 1, 9, 100, 51, 3, 100, 7]","[70, 78, 89, 93, 98, 52, 87, 100, 77]","[83, 77, 63, 97, 80, 34, 47, 100, 91]","[84, 98, 87, 96, 78, 100, 78, 93, 8]","[1, 52, 2, 52, 20, 100, 2, 15, 49]","[68, 54, 78, 0, 7, 54, 2, 72, 5]","[82, 98, 84, 100, 88, 100, 89, 87, 48]","[86, 71, 90, 99, 87, 100, 94, 63, 46]","[87, 92, 92, 92, 84, 72, 89, 66, 58]","[11, 94, 82, 63, 20, 100, 1, 6, 47]","[95, 74, 72, 84, 82, 100, 71, 66, 47]","[80, 98, 87, 100, 100, 100, 97, 26, 95]","[84, 70, 100, 81, 75, 87, 100, 97, 18]","[80, 76, 61, 14, 1, 9, 11, 89, 51]","[96, 73, 99, 78, 41, 62, 82, 81, 66]","[79, 71, 99, 90, 24, 80, 96, 73, 46]","[17, 22, 3, 5, 1, 30, 0, 22, 10]","[88, 71, 100, 71, 28, 83, 100, 94, 57]","[51, 83, 77, 2, 1, 100, 0, 55, 0]","[89, 68, 100, 84, 77, 68, 55, 82, 49]","[3, 25, 0, 4, 1, 0, 0, 1, 17]","[58, 79, 55, 96, 100, 100, 100, 82, 60]","[6, 87, 51, 7, 0, 100, 100, 100, 100]","[91, 72, 81, 15, 53, 2, 0, 2, 1]","[38, 9, 68, 5, 1, 4, 58, 2, 14]","[36, 77, 56, 3, 59, 94, 100, 3, 0]","[8, 8, 50, 2, 0, 4, 0, 3, 0]","[77, 88, 62, 89, 100, 100, 94, 84, 76]","[38, 3, 0, 3, 0, 4, 51, 5, 0]"
小偷-失主,"[3, 24, 2, 10, 0, 0, 0, 0, 2]","[59, 85, 7, 70, 52, 100, 20, 100, 100]","[1, 14, 1, 5, 0, 100, 24, 100, 4]","[100, 93, 96, 77, 0, 0, 100, 100, 33]","[100, 90, 95, 96, 100, 100, 35, 0, 2]","[46, 91, 95, 83, 94, 0, 43, 100, 91]","[3, 22, 1, 10, 0, 0, 3, 0, 100]","[2, 17, 4, 1, 2, 2, 5, 0, 2]","[2, 16, 20, 29, 0, 0, 4, 0, 3]","[4, 7, 3, 0, 19, 0, 1, 0, 0]","[6, 1, 2, 0, 14, 0, 2, 0, 0]","[89, 2, 10, 100, 78, 100, 2, 26, 0]","[3, 3, 3, 0, 10, 0, 1, 0, 6]","[3, 2, 2, 0, 0, 0, 1, 0, 0]","[4, 2, 3, 0, 0, 0, 2, 1, 8]","[5, 2, 4, 0, 14, 0, 3, 0, 0]","[3, 2, 4, 0, 0, 0, 2, 1, 0]","[42, 2, 2, 0, 50, 0, 1, 0, 0]","[57, 12, 0, 3, 2, 0, 100, 5, 0]","[6, 69, 100, 89, 99, 100, 100, 71, 97]","[16, 10, 0, 3, 0, 0, 0, 2, 0]","[2, 16, 0, 1, 1, 0, 0, 2, 0]","[88, 80, 100, 98, 98, 79, 100, 96, 92]","[10, 11, 0, 1, 1, 0, 0, 2, 0]","[1, 8, 0, 2, 1, 0, 0, 6, 0]","[4, 16, 0, 3, 2, 0, 0, 2, 0]","[3, 13, 0, 4, 1, 0, 0, 2, 51]","[86, 87, 100, 87, 100, 50, 88, 2, 53]","[28, 16, 0, 4, 100, 47, 0, 43, 0]","[81, 83, 100, 75, 100, 100, 100, 78, 100]","[77, 100, 0, 94, 100, 100, 100, 100, 100]","[1, 14, 0, 3, 0, 3, 0, 2, 0]","[6, 9, 100, 2, 32, 65, 100, 1, 0]","[2, 11, 0, 0, 0, 51, 0, 2, 0]","[6, 7, 0, 4, 0, 4, 53, 2, 0]"
