"","暗恋对象-暗恋者","表兄弟姐妹之间","敌人之间","情敌之间","人 - 上帝","认识但不熟的人之间","商家-客户","上级-下级","生意伙伴之间","生意竞争对手之间","叔叔婶婶-侄子侄女","双胞胎之间","谈判中对立的双方","同父异母(或同母异父)的子女之间","继子女之间","同事之间","同学之间","房东-租户","夫妻之间","服务员-顾客","公公婆婆-媳妇","雇主-雇员","继父继母-儿女","继祖父母 - 继孙","寄养父母 - 寄养子女","老师-学生","假朋友之间（表面朋友，实则讨厌对方）","教徒之间","童年玩伴之间","未婚夫-未婚妻","校友之间","校长-老师","亲兄弟姐妹之间","演奏家 - 听众","爷爷奶奶-孙子女","主治医生-病人","姨父姨妈-侄子侄女","金主 - 援交男/女","经理-老板","经理-员工","军官-部下","邻居之间","卖家-买家","陌生人之间","玩伴之间","朋友之间","挚友之间","知己之间","前任官员-现任官员","狱警-囚犯","原告-被告","出轨者-小三","远房亲戚之间","战友之间","政治对手之间","政治盟友之间","主人-客人","主人-仆人","保姆-小孩","主职-副职","宗教领袖 - 信徒","祖先-后代","远房表兄弟姐妹之间","君臣之间","律师-法官","律师-委托人","警察-老百姓","罪犯 - 人质","罪犯-受害人","犯罪同伙之间","作家-读者","作家-评论家"
"暗恋对象-暗恋者",1,-0.0757688503349949,0.292944616563607,0.137558260228988,0.0987339071124115,0.063908659244151,-0.126662516558458,-0.264378796900917,-0.0483590093404143,-0.111725015693124,-0.224826510658904,0.168245003745702,-0.120529246125185,0.204628420223999,0.212767997085633,-0.254555327559418,-0.119916115845927,-0.0621228583310339,-0.039176938121233,-0.120797130089131,-0.0360167514642897,-0.185790892542535,-0.0576179412872779,0.232007670168525,-0.0374736671500666,-0.283268740560412,-0.0748751314288065,-0.0643888604209155,0.0845429916270836,0.0492286015441803,-0.19193379264101,0.000184338875092975,-0.0143675358591232,0.0566410042494698,-0.139996332045508,-0.184076789410817,0.00207231744573549,0.346712292117183,-0.16136596947704,-0.182897612278574,-0.156618750198323,-0.136496597906086,0.00343303210147071,-0.0045415112185409,0.0490242126961897,0.0777958675476507,-0.151908916170875,0.28493661016529,0.181511509087897,-0.0409885159219332,-0.0648578686728236,0.279578661709014,-0.020060825004866,0.0682012637708579,-0.183313413358734,-0.242580902067123,-0.0768553957147545,-0.105439903532337,0.286609374594444,-0.16275574949582,-0.186715720744611,-0.0711253549203625,-0.101021225143682,0.0332991907827142,0.117136979186656,-0.160832533961071,-0.163516526730449,0.098318338953224,0.0363625622087856,0.0151867705131768,0.191186941912878,0.167336042352868
"表兄弟姐妹之间",-0.0757688503349949,1,-0.187890586555683,-0.0823335890706731,-0.216113144108926,0.086413157944222,-0.117712092532267,0.0740048276393362,-0.209385023035412,-0.31563801534501,0.52260428692017,0.211926658850496,-0.121375067420686,0.0648726154852941,0.149699133980809,0.0220356205038767,0.34111155308876,-0.227693923649774,0.334835911815531,-0.0685151868928103,0.329301860425186,-0.297526486746912,0.525152735025885,0.217770009021617,0.433076216129729,0.145282782200113,-0.264331871924018,-0.135669372564821,0.137684075331471,0.381155515499932,0.331356769222741,-0.142850730383873,0.616873915684983,-0.160552978362032,0.510918194206644,-0.0956323572758887,0.653678986553038,-0.135925639560484,-0.185523317925899,-0.149855275151685,-0.127962143878265,0.169135508799166,-0.218132208234915,0.232995367508835,-0.146380988903879,-0.000331933934735709,0.223742266467366,0.104362275036818,-0.262185343856564,-0.00736939006235064,-0.253624686011095,0.233934234680781,0.326868619363742,0.203326013339219,-0.171050808004667,0.0241304491964309,0.145019436055335,0.0676768827902422,0.126113381778941,-0.144407056246476,-0.0448142610327865,0.0647511699722638,0.620542677267745,-0.175156397603368,-0.283656114814844,-0.224512676432638,-0.391283657941796,-0.317419702826934,-0.257779075744252,-0.176836926126968,-0.101571912297908,-0.190837142844868
"敌人之间",0.292944616563607,-0.187890586555683,1,0.370849137636454,0.204893876110505,0.132751286941137,-0.204779539315369,-0.196076424587284,-0.0558039376129137,0.00417703115744355,-0.156771323300609,0.00858570943144876,0.0853295770950071,0.11384048394679,0.0492235185022467,-0.0614744423056756,-0.0826069117426488,-0.0523203084606978,-0.15416591526975,-0.288939902704022,-0.252445680101473,-0.213012487536505,-0.250738776659231,-0.00390157825635013,-0.26816079955743,-0.140204941490902,0.0776943499544617,-0.0104970043157139,-0.0457700799742559,-0.0894006136589351,-0.178629324379839,0.0313295880775353,-0.0983117319384864,0.15794862402525,-0.259582018068071,0.00394935285768508,-0.221894280472554,0.123571254709908,-0.315960600990581,-0.227076698677285,0.0101387551225982,-0.108317573458394,-0.083698727655448,-0.090485918921813,0.163224769428612,0.15226929842928,-0.0487653949163909,0.188075773624018,0.128253091428591,0.0681785854396275,-0.0201744578843984,-0.030190215806012,-0.109837090823527,0.106355652732411,0.218538060729983,0.0185168942699857,-0.0950782179624256,-0.0513642409156541,0.0668134813086984,-0.018783950128576,-0.100536085283617,-0.0429603520873276,-0.212485197946774,0.221439917093,0.124959142830469,-0.130808738234756,-0.122359167229364,0.0767254157210145,0.117521776867619,0.0861341029136433,0.266642643003854,0.322279993434933
"情敌之间",0.137558260228988,-0.0823335890706731,0.370849137636454,1,-0.0589049083669673,0.158750207282529,-0.00793095650630243,-0.0551089520485321,0.00563432004674739,0.168344127716392,-0.0975571462138446,0.0108752295622682,0.205560711657169,-0.197770854158284,-0.220669557953581,-0.153788027768089,0.00781285454091106,-0.19519889156306,0.0718948259628517,-0.136941795148008,-0.21466280071342,-0.167624298277917,-0.155418733709407,-0.156843064447752,-0.22279329046773,-0.054688282704812,0.143377428751751,0.138736259402751,0.142651866188028,0.156995586716711,-0.0138677375996002,-0.135481651261279,-0.0939441497005486,0.195947411910197,-0.167938122598799,0.0462662992110294,-0.212980329435429,0.132083050561428,-0.214654731413802,-0.274219510885116,-0.0141355096781091,-0.0966563964527109,-0.119717407664544,0.0959297337978831,0.304729153240866,0.150257677415211,0.0696914258603667,0.143682334438256,-0.0883786620895031,0.0645880039031112,0.0919338649359973,0.0888773904873235,-0.0576661413874761,0.0827448179256445,0.253811682912584,0.0934671638111843,-0.0100126638871318,-0.0348851587784708,-0.19704798908995,-0.00144495359740537,-0.0270535460680915,-0.111229062323767,-0.146098416962538,-0.0191731979092219,-0.0560092524537226,-0.0537639853035978,-0.103585222269537,-0.00144004444980339,-0.0162140160963049,-0.0865316057529723,0.287493896614592,0.322945954341598
"人 - 上帝",0.0987339071124115,-0.216113144108926,0.204893876110505,-0.0589049083669673,1,-0.0582112149614505,-0.145370820380236,-0.0354648433242535,-0.0390197687848478,0.0666086293954108,-0.244083693374447,0.000166315882645283,-0.0920696849389038,0.00909953176089519,-0.00393498166607999,-0.130713409553094,-0.0402082314562655,-0.138576725325088,-0.121424467660185,-0.136981120207532,-0.0901366076815032,-0.14906761943913,-0.0287297421579667,-0.0377067962385835,0.00415824730020566,0.122018045488095,-0.038206883472784,0.311852703530049,0.0376403721068165,-0.121809068962711,0.0714925113298328,0.0973536830286752,-0.138306600210672,0.159902482053127,-0.0746693221624165,0.15954348604436,-0.177535680520699,-0.010810596352011,-0.190608147710957,-0.102304742189802,0.0373370648255737,-0.0753595312990459,-0.0980124450130514,-0.0920318255544991,-0.0655503220792294,-0.0126049852256315,-0.18599811477633,0.0612593368043738,0.0466509745805496,-0.238932239129475,-0.0293132441630022,-0.0910279615564332,-0.197959730397632,-0.211712184191126,-0.0972686254512187,0.075009814575883,-0.0993355939492915,-0.0564049730133972,0.0291367322116208,-0.0334234712473356,0.440788159807998,0.217047278373219,-0.223173179859976,0.335045427733255,0.0892857028305809,-0.0664595165565069,-0.0787794279539479,0.0874420005685663,0.0118270467853051,-0.0806696384520303,0.184633229529574,0.182608073976367
"认识但不熟的人之间",0.063908659244151,0.086413157944222,0.132751286941137,0.158750207282529,-0.0582112149614505,1,0.0869899945186665,-0.171870774825848,0.197086098221483,-0.0190772304201624,0.00935204069830137,0.0109326963482988,0.149969844584252,-0.157179331244106,-0.201742206555641,0.0793868539194191,0.374278173889323,-0.000810264312055445,0.0306490242822739,0.131602024343623,-0.108160943718601,-0.0245310684422729,-0.240622817610312,-0.115723432332727,-0.244431683314408,-0.0387975969955143,0.382042657894273,-0.0482605835129832,0.303812031629779,0.261358140176315,0.190981301135258,-0.0748270751666744,0.0748992258128857,-0.0904032177356708,-0.151895723422331,-0.0401085947130232,-0.0291499914088321,0.0284682814003449,-0.00590070572989128,-0.0909211891629407,-0.240406573814738,0.0573868889535588,-0.00853307320344436,0.554062356193285,0.316031283843996,0.705682822781579,0.537110328804006,0.222299084384737,-0.0817024811681077,0.172497927558749,-0.183961278754304,0.198164227730376,0.121603161601033,0.109829567412357,0.168937349281048,0.266263160386838,0.370411923456902,-0.0882025546544844,-0.118154937157291,-0.133749734922503,-0.114686973696763,-0.241587853673729,0.0450936518043735,-0.0704391247474422,-0.209109501470359,-0.0549442284202789,-0.240653558834916,-0.194895093836611,-0.16289323881674,-0.058660198142393,0.0341710509806992,-0.0602212078137199
"商家-客户",-0.126662516558458,-0.117712092532267,-0.204779539315369,-0.00793095650630243,-0.145370820380236,0.0869899945186665,1,-0.00320299047719582,0.358721364824396,0.404590070735622,-0.106427569235557,-0.170724361628178,0.156478824698045,-0.28418140434631,-0.234704662431145,-0.106821732470283,0.048074200387248,0.33314537120657,-0.0342589406430512,0.636347076248302,-0.107627977156257,0.586815471165494,-0.0704009811365959,-0.268229470420781,-0.0358621015414932,0.0263723316808587,0.256146268526191,-0.0252244865821439,-0.0100744562377963,0.0817609136609806,0.0792069060178676,-0.0706609935269357,-0.334930254099974,-0.0542936597209266,-0.172858043412486,0.100077618669565,-0.0978468604766192,-0.0319672051737249,0.646736297306503,0.338910957255824,-0.0902990260078607,0.0859684126993769,0.258286461694164,0.291827683113714,0.0339410962408252,0.0109994963960629,0.13072150212604,-0.0260622167972115,-0.155106162046434,-0.0181192416690384,-0.0528086174496569,-0.121892378873887,-0.0782653216845826,-0.112632368594106,0.00584473940649924,-0.129320248330513,0.354693833634578,0.134332408631954,-0.160189082563701,-0.0533745310866515,-0.0282255786608055,-0.130246262677891,-0.146667316049306,-0.0604999383428031,-0.225646803416325,0.0209190473540436,0.0745066904377278,-0.142102127515317,-0.242511525638895,-0.365149179148522,-0.00371430903883677,-0.161962850185969
"上级-下级",-0.264378796900917,0.0740048276393362,-0.196076424587284,-0.0551089520485321,-0.0354648433242535,-0.171870774825848,-0.00320299047719582,1,-0.0505116934353783,-0.0487586414366125,0.0563849890011629,-0.163410790028395,-0.0967015018576399,-0.0692874747254595,-0.154717412179783,0.396660050874072,0.108693430165077,-0.16162361769361,0.0997179015412575,0.121710286045635,0.0344059037595673,-0.0498659745912666,0.0795521752928109,-0.237428408525754,0.0286354687456702,0.131999354440752,-0.114932024079477,-0.0792892002880068,0.0958140632966266,-0.0447021030541149,0.109479267703437,0.0757072215185813,-0.114003918531698,0.02032192577807,0.176501851046942,0.0742737424987126,0.0250548051108359,-0.209031639892573,0.00250857097749512,0.167347759748868,0.413919493377615,0.112278085279406,-0.137953487455669,-0.00980482758184569,-0.144793567123023,-0.0665688977683205,-0.113776527449805,-0.0380487642169849,0.0618032932370306,0.0992459590451677,0.0430485031879031,-0.212189217470613,-0.0865279334872381,-0.0574449897070472,-0.0905577066314507,0.0505734188115853,0.112129975754965,0.170752626208136,-0.175794808157328,0.410344839541723,0.168196156023313,0.0209306481264103,0.0686626793171092,0.0442736933043889,0.106876289349771,0.0391507803032647,0.0823961293263066,-0.0945392355063253,-0.0506268583448113,-0.158461406902774,-0.207415747721423,-0.0898282403499108
"生意伙伴之间",-0.0483590093404143,-0.209385023035412,-0.0558039376129137,0.00563432004674739,-0.0390197687848478,0.197086098221483,0.358721364824396,-0.0505116934353783,1,0.375960784830584,-0.133094235795485,-0.163025820554749,0.298900411506833,-0.139116050266957,-0.15534539670482,-0.0238669040877683,0.0942774684080458,0.316421746616076,-0.0033420587171847,0.271437480080936,-0.177775358138353,0.2317452921304,-0.25516956753332,-0.266695261133185,-0.109720342272146,-0.125118415989241,0.487039486925359,-0.0749555886735895,0.108832971141912,-0.0291805982058634,0.0111463860630887,-0.0146870983763891,-0.189035550443051,-0.0108084673716235,-0.213587143407542,-0.143113605520174,-0.229747643861345,-0.0809505242863528,0.27096089566515,0.0416168297444777,-0.0884491587944757,0.107358002239263,0.488318453173484,0.225963644934445,0.0149435917710561,0.160972059206776,0.0904170271665758,0.0858667437895175,-0.147578007192981,0.0519121760186824,0.0277807607722155,-0.0972179150230756,0.0466830631646351,-0.0731129572857677,0.184394947760975,0.013005332508214,0.197405007429158,0.00769787490951099,-0.128348426553561,-0.0606765250733586,-0.108656345740419,-0.196802522495579,-0.155885798178025,-0.105971533984384,-0.113269398751434,0.0731211185446076,-0.022745269622755,-0.00847720610820063,-0.016095650559712,-0.0786284018217669,-0.00594652881661127,-0.0487302638922808
"生意竞争对手之间",-0.111725015693124,-0.31563801534501,0.00417703115744355,0.168344127716392,0.0666086293954108,-0.0190772304201624,0.404590070735622,-0.0487586414366125,0.375960784830584,1,-0.245463151768617,-0.0959843634432465,0.284026313482701,-0.117514869544975,-0.0991195791182149,-0.179217397399213,-0.125504873369214,0.232501202572459,-0.166273849472199,0.106027452114347,-0.256530840092585,0.184506649428144,-0.178500325543299,-0.188606244725081,-0.128311743526211,-0.151474468340694,0.346465935007633,0.17005735532252,-0.108950011080416,0.0568507753165924,-0.105558124721122,-0.027038862520584,-0.272090877608983,0.133981879659201,-0.313982156048489,0.0493387913191648,-0.366421395070037,0.0548709770150392,0.193592945516549,0.0788911133776313,-0.00251624420204424,-0.087436749521771,0.270988752535023,-0.0533883734216873,0.0870507371566308,-0.00821538545008828,-0.118439862682317,-0.148191584372154,-0.0761493048106601,-0.0225224844041053,0.0935411505256972,-0.14182767807046,-0.0532330170649632,-0.213150670386538,0.230797432719082,-0.0188116704360243,-0.113238760662284,-0.0305774977515316,-0.159962572441942,0.0309162390793473,0.0773423216669812,-0.0605619918540897,-0.258429541659952,-0.012972319261983,-0.0191395908756121,0.0891349407251025,0.0833569884693278,0.0611280396943405,0.0316460747685119,-0.0907454437139411,0.12466262647377,0.0599668353381855
