Country,Australia,Brazil,Chile,China,Egypt,France,Germany,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South Africa,Spain,United Kingdom,United States
Australia,0.0,0.074798236823984,0.016446550894450854,0.005033529220338639,0.07174347232981426,0.05737988695285685,0.07367104607430038,0.07531427017138069,0.009196145688777989,0.02139838095516719,0.01651399193510416,0.034047050541994396,0.032083771286189146,0.0393677724541447,0.09650232317040922,0.009018275589300974,0.05424944811668826,0.023561671002292065
Brazil,0.074798236823984,0.0,0.058351685929533104,0.06976470760364625,0.14654170915379963,0.017418349871123128,0.0011271907496660976,0.15011250699536605,0.08399438251276134,0.05339985586881846,0.09131222875909274,0.040751186281991036,0.10688200811017498,0.03543046436984009,0.17130055999439428,0.08381651241328673,0.020548788707295873,0.05123656582169117
Chile,0.016446550894450854,0.058351685929533104,0.0,0.011413021674110126,0.08819002322426672,0.040933336058405885,0.05722449517984724,0.0917608210658334,0.02564269658322805,0.004951830060710131,0.032960542829559236,0.017600499647541786,0.048530322180642085,0.02292122155969559,0.11294887406486127,0.025464826483755993,0.03780289722223634,0.007115120107839326
China,0.005033529220338639,0.06976470760364625,0.011413021674110126,0.0,0.07677700155015467,0.052346357732518604,0.06863751685396105,0.08034779939172111,0.014229674909115595,0.01636485173482425,0.021547521155446756,0.029013521321656886,0.03711730050652966,0.03433424323380631,0.10153585239074939,0.014051804809641003,0.04921591889635134,0.018528141781959852
Egypt,0.07174347232981387,0.14654170915379944,0.08819002322426642,0.07677700155015503,0.0,0.12912335928267288,0.1454145184041153,0.003570797841573515,0.06254732664103854,0.09314185328498163,0.055229480394706654,0.10579052287180983,0.03965970104362569,0.11111124478396067,0.024758850840594298,0.06272519674051281,0.12599292044650387,0.09530514333210983
France,0.05737988695285685,0.017418349871123128,0.040933336058405885,0.052346357732518604,0.1291233592826731,0.0,0.016291159121442342,0.13269415712423877,0.06657603264163439,0.03598150599769239,0.07389387888796567,0.0233328364108634,0.08946365823904713,0.018012114498711713,0.1538822101232675,0.06639816254216066,0.003130438836163839,0.033818215950564424
Germany,0.07367104607430038,0.0011271907496660976,0.05722449517984724,0.06863751685396105,0.14541451840411548,0.016291159121442342,0.0,0.14898531624568154,0.08286719176307708,0.05227266511913264,0.09018503800940827,0.039623995532306375,0.10575481736048968,0.03430327362015584,0.1701733692447097,0.08268932166360253,0.019421597957613293,0.05010937507200617
India,0.07531427017138105,0.15011250699536585,0.0917608210658337,0.08034779939172076,0.003570797841573515,0.13269415712423854,0.14898531624568137,0.0,0.0661181244826038,0.09671265112654745,0.058800278236272846,0.10936132071337613,0.04323049888519086,0.11468204262552728,0.02118805299902937,0.06629599458207851,0.1295637182880704,0.09887594117367551
Israel,0.009196145688777989,0.08399438251276134,0.02564269658322805,0.014229674909115595,0.0625473266410381,0.06657603264163439,0.08286719176307708,0.0661181244826038,0.0,0.030594526643944058,0.007317846246329278,0.04324319623077159,0.022887625597411337,0.04856391814292259,0.08730617748163223,0.00017787009917310124,0.0634455938054658,0.03275781669107228
Japan,0.02139838095516719,0.05339985586881846,0.004951830060710131,0.01636485173482425,0.09314185328498134,0.03598150599769239,0.05227266511913264,0.09671265112654773,0.030594526643944058,0.0,0.03791237289027485,0.012648669586826757,0.0534821522413551,0.01796939149898249,0.11790070412557609,0.03041665654446778,0.03285106716152245,0.002163290047130352
Mexico,0.01651399193510584,0.09131222875909305,0.032960542829560076,0.021547521155448043,0.055229480394706654,0.07389387888796604,0.0901850380094086,0.058800278236272846,0.007317846246333071,0.03791237289027558,0.0,0.05056104247710487,0.015569779351082738,0.05588176438925375,0.07998833123530126,0.007495716345809201,0.07076344005179719,0.040075662937402515
