,Afghanistan,Albania,Algeria,Argentina,Armenia,Australia,Austria,Benin,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo (Brazzaville),Costa Rica,Croatia,Cyprus,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guinea,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kyrgyzstan,Laos,Latvia,Lebanon,Lithuania,Malawi,Mali,Malta,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,North Macedonia,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan Province of China,Tajikistan,Tanzania,Thailand,Togo,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe
Afghanistan,0.0,0.3749442845582962,0.31913648545742035,0.5059742480516434,0.3868957906961441,0.5609143525362015,0.542979434132576,0.41791506111621857,0.5421160012483597,0.425206795334816,0.4826646000146866,0.46787406504154205,0.44083012640476227,0.5802611857652664,0.4331427961587906,0.5839408785104752,0.556194081902504,0.5189240127801895,0.5727725774049759,0.3886708766222,0.5951721221208572,0.46126289665699005,0.4622351676225662,0.5372807532548904,0.6130049973726273,0.5547731071710587,0.5628444701433182,0.20846857130527496,0.6469546109437943,0.5817226320505142,0.5727259069681168,0.5057155042886734,0.44112230837345123,0.3307470232248306,0.5244472175836563,0.40870852768421173,0.4446706920862198,0.4928310066461563,0.6288370043039322,0.35526175796985626,0.4892628341913223,0.626922681927681,0.36842264235019684,0.6196609288454056,0.3390440493822098,0.3985147625207901,0.553847923874855,0.37940891087055206,0.4554010182619095,0.4469096213579178,0.5097101479768753,0.4954884797334671,0.3006183058023453,0.4839511662721634,0.5659521371126175,0.3993985205888748,0.4810219556093216,0.5232672840356827,0.5375282317399979,0.084601029753685,0.48810751736164093,0.37200893461704254,0.46068717539310455,0.45636774599552155,0.4866805821657181,0.571362093091011,0.45139743387699127,0.3811177760362625,0.3756101280450821,0.3969091325998306,0.45716334879398346,0.46465106308460236,0.23549528419971466,0.5354675203561783,0.5682578235864639,0.6200429350137711,0.4874115139245987,0.3844670206308365,0.5905477553606033,0.3387801796197891,0.655496671795845,0.6271925717592239,0.6048836261034012,0.6108453422784805,0.5206896811723709,0.4498623162508011,0.49509651958942413,0.4112005978822708,0.5495874434709549,0.6335258036851883,0.3887467533349991,0.359096422791481,0.5181043893098831,0.5126817375421524,0.4639374762773514,0.6054352074861526,0.3873852640390396,0.4601888805627823,0.5542867928743362,0.5840086489915848,0.5678954869508743,0.48853082954883575,0.4761275202035904,0.46935923397541046,0.5400436073541641,0.4490673691034317,0.27247650921344757,0.1182062178850174,0.5204231888055801,0.3960241824388504,0.5177841931581497,0.5049966722726822,0.5607962161302567,0.5673223286867142,0.519573524594307,0.51870097219944,0.4717123657464981,0.47680409252643585,0.4310314208269119
Albania,0.3749442845582962,0.0,0.055807799100875854,0.13102996349334717,0.0119515061378479,0.18597006797790527,0.16803514957427979,0.04297077655792236,0.16717171669006348,0.050262510776519775,0.10772031545639038,0.09292978048324585,0.06588584184646606,0.20531690120697021,0.058198511600494385,0.20899659395217896,0.18124979734420776,0.1439797282218933,0.1978282928466797,0.013726592063903809,0.22022783756256104,0.08631861209869385,0.08729088306427002,0.16233646869659424,0.23806071281433105,0.17982882261276245,0.18790018558502197,0.16647571325302124,0.27201032638549805,0.20677834749221802,0.19778162240982056,0.1307712197303772,0.06617802381515503,0.044197261333465576,0.1495029330253601,0.03376424312591553,0.06972640752792358,0.11788672208786011,0.253892719745636,0.01968252658843994,0.11431854963302612,0.25197839736938477,0.006521642208099365,0.24471664428710938,0.035900235176086426,0.023570477962493896,0.17890363931655884,0.004464626312255859,0.08045673370361328,0.07196533679962158,0.1347658634185791,0.1205441951751709,0.07432597875595093,0.10900688171386719,0.1910078525543213,0.024454236030578613,0.10607767105102539,0.14832299947738647,0.16258394718170166,0.2903432548046112,0.11316323280334473,0.002935349941253662,0.08574289083480835,0.08142346143722534,0.11173629760742188,0.19641780853271484,0.07645314931869507,0.006173491477966309,0.0006658434867858887,0.021964848041534424,0.08221906423568726,0.08970677852630615,0.13944900035858154,0.16052323579788208,0.19331353902816772,0.24509865045547485,0.11246722936630249,0.009522736072540283,0.21560347080230713,0.03616410493850708,0.28055238723754883,0.25224828720092773,0.22993934154510498,0.23590105772018433,0.1457453966140747,0.07491803169250488,0.12015223503112793,0.03625631332397461,0.1746431589126587,0.2585815191268921,0.01380246877670288,0.015847861766815186,0.14316010475158691,0.1377374529838562,0.08899319171905518,0.23049092292785645,0.012440979480743408,0.08524459600448608,0.17934250831604004,0.20906436443328857,0.19295120239257812,0.11358654499053955,0.10118323564529419,0.09441494941711426,0.16509932279586792,0.0741230845451355,0.10246777534484863,0.2567380666732788,0.14547890424728394,0.0210798978805542,0.14283990859985352,0.130052387714386,0.18585193157196045,0.19237804412841797,0.14462924003601074,0.1437566876411438,0.0967680811882019,0.10185980796813965,0.05608713626861572
Algeria,0.31913648545742035,0.055807799100875854,0.0,0.18683776259422302,0.06775930523872375,0.24177786707878113,0.22384294867515564,0.09877857565879822,0.22297951579093933,0.10607030987739563,0.16352811455726624,0.1487375795841217,0.12169364094734192,0.26112470030784607,0.11400631070137024,0.2648043930530548,0.23705759644508362,0.19978752732276917,0.25363609194755554,0.06953439116477966,0.2760356366634369,0.1421264111995697,0.14309868216514587,0.2181442677974701,0.2938685119152069,0.2356366217136383,0.24370798468589783,0.11066791415214539,0.3278181254863739,0.26258614659309387,0.2535894215106964,0.18657901883125305,0.12198582291603088,0.011610537767410278,0.20531073212623596,0.08957204222679138,0.12553420662879944,0.17369452118873596,0.30970051884651184,0.03612527251243591,0.17012634873390198,0.3077861964702606,0.04928615689277649,0.30052444338798523,0.01990756392478943,0.07937827706336975,0.2347114384174347,0.060272425413131714,0.13626453280448914,0.12777313590049744,0.19057366251945496,0.17635199427604675,0.018518179655075073,0.16481468081474304,0.24681565165519714,0.08026203513145447,0.16188547015190125,0.20413079857826233,0.21839174628257751,0.23453545570373535,0.16897103190422058,0.05287244915962219,0.1415506899356842,0.1372312605381012,0.16754409670829773,0.2522256076335907,0.13226094841957092,0.06198129057884216,0.05647364258766174,0.07777264714241028,0.1380268633365631,0.145514577627182,0.08364120125770569,0.21633103489875793,0.24912133812904358,0.3009064495563507,0.16827502846717834,0.06533053517341614,0.271411269903183,0.019643694162368774,0.3363601863384247,0.3080560863018036,0.28574714064598083,0.2917088568210602,0.20155319571495056,0.13072583079338074,0.17596003413200378,0.09206411242485046,0.23045095801353455,0.31438931822776794,0.06961026787757874,0.03995993733406067,0.19896790385246277,0.19354525208473206,0.14480099081993103,0.2862987220287323,0.06824877858161926,0.14105239510536194,0.2351503074169159,0.26487216353416443,0.24875900149345398,0.1693943440914154,0.15699103474617004,0.1502227485179901,0.22090712189674377,0.12993088364601135,0.04665997624397278,0.20093026757240295,0.2012867033481598,0.07688769698143005,0.19864770770072937,0.18586018681526184,0.2416597306728363,0.24818584322929382,0.2004370391368866,0.19956448674201965,0.15257588028907776,0.1576676070690155,0.11189493536949158
Argentina,0.5059742480516434,0.13102996349334717,0.18683776259422302,0.0,0.11907845735549927,0.054940104484558105,0.03700518608093262,0.0880591869354248,0.03614175319671631,0.08076745271682739,0.023309648036956787,0.03810018301010132,0.0651441216468811,0.07428693771362305,0.07283145189285278,0.07796663045883179,0.050219833850860596,0.012949764728546143,0.06679832935333252,0.11730337142944336,0.08919787406921387,0.04471135139465332,0.04373908042907715,0.03130650520324707,0.10703074932098389,0.04879885911941528,0.056870222091674805,0.2975056767463684,0.14098036289215088,0.07574838399887085,0.06675165891647339,0.0002587437629699707,0.06485193967819214,0.17522722482681274,0.01847296953201294,0.09726572036743164,0.061303555965423584,0.01314324140548706,0.12286275625228882,0.1507124900817871,0.016711413860321045,0.1209484338760376,0.13755160570144653,0.11368668079376221,0.1669301986694336,0.10745948553085327,0.04787367582321167,0.1265653371810913,0.05057322978973389,0.059064626693725586,0.0037358999252319336,0.01048576831817627,0.2053559422492981,0.02202308177947998,0.05997788906097412,0.10657572746276855,0.024952292442321777,0.017293035984039307,0.03155398368835449,0.4213732182979584,0.01786673069000244,0.13396531343460083,0.04528707265853882,0.049606502056121826,0.019293665885925293,0.06538784503936768,0.0545768141746521,0.12485647201538086,0.13036412000656128,0.10906511545181274,0.04881089925765991,0.041323184967041016,0.2704789638519287,0.029493272304534912,0.06228357553482056,0.11406868696212769,0.018562734127044678,0.12150722742080688,0.08457350730895996,0.16719406843185425,0.14952242374420166,0.12121832370758057,0.09890937805175781,0.10487109422683716,0.014715433120727539,0.056111931800842285,0.010877728462219238,0.09477365016937256,0.04361319541931152,0.12755155563354492,0.11722749471664429,0.14687782526016235,0.012130141258239746,0.006707489490509033,0.04203677177429199,0.09946095943450928,0.11858898401260376,0.045785367488861084,0.04831254482269287,0.0780344009399414,0.06192123889923096,0.017443418502807617,0.02984672784805298,0.03661501407623291,0.03406935930252075,0.05690687894821167,0.2334977388381958,0.387768030166626,0.014448940753936768,0.10995006561279297,0.011809945106506348,0.0009775757789611816,0.05482196807861328,0.0613480806350708,0.013599276542663574,0.01272672414779663,0.034261882305145264,0.02917015552520752,0.07494282722473145
Armenia,0.3868957906961441,0.0119515061378479,0.06775930523872375,0.11907845735549927,0.0,0.17401856184005737,0.15608364343643188,0.031019270420074463,0.15522021055221558,0.038311004638671875,0.09576880931854248,0.08097827434539795,0.053934335708618164,0.19336539506912231,0.046247005462646484,0.19704508781433105,0.16929829120635986,0.1320282220840454,0.1858767867088318,0.0017750859260559082,0.20827633142471313,0.07436710596084595,0.07533937692642212,0.15038496255874634,0.22610920667648315,0.16787731647491455,0.17594867944717407,0.17842721939086914,0.26005882024765015,0.19482684135437012,0.18583011627197266,0.1188197135925293,0.05422651767730713,0.05614876747131348,0.1375514268875122,0.021812736988067627,0.057774901390075684,0.10593521595001221,0.24194121360778809,0.03163403272628784,0.10236704349517822,0.24002689123153687,0.018473148345947266,0.23276513814926147,0.047851741313934326,0.011618971824645996,0.16695213317871094,0.007486879825592041,0.06850522756576538,0.06001383066177368,0.1228143572807312,0.108592689037323,0.08627748489379883,0.09705537557601929,0.1790563464164734,0.012502729892730713,0.09412616491317749,0.13637149333953857,0.15063244104385376,0.3022947609424591,0.10121172666549683,0.014886856079101562,0.07379138469696045,0.06947195529937744,0.09978479146957397,0.18446630239486694,0.06450164318084717,0.005778014659881592,0.011285662651062012,0.010013341903686523,0.07026755809783936,0.07775527238845825,0.15140050649642944,0.14857172966003418,0.18136203289031982,0.23314714431762695,0.10051572322845459,0.002428770065307617,0.20365196466445923,0.04811561107635498,0.2686008810997009,0.24029678106307983,0.21798783540725708,0.22394955158233643,0.1337938904762268,0.06296652555465698,0.10820072889328003,0.02430480718612671,0.1626916527748108,0.2466300129890442,0.0018509626388549805,0.027799367904663086,0.131208598613739,0.1257859468460083,0.07704168558120728,0.21853941679000854,0.0004894733428955078,0.07329308986663818,0.16739100217819214,0.19711285829544067,0.18099969625473022,0.10163503885269165,0.08923172950744629,0.08246344327926636,0.15314781665802002,0.0621715784072876,0.11441928148269653,0.2686895728111267,0.13352739810943604,0.009128391742706299,0.13088840246200562,0.11810088157653809,0.17390042543411255,0.18042653799057007,0.13267773389816284,0.1318051815032959,0.084816575050354,0.08990830183029175,0.04413563013076782
Australia,0.5609143525362015,0.18597006797790527,0.24177786707878113,0.054940104484558105,0.17401856184005737,0.0,0.01793491840362549,0.1429992914199829,0.018798351287841797,0.1357075572013855,0.07824975252151489,0.09304028749465942,0.12008422613143921,0.01934683322906494,0.1277715563774109,0.02302652597427368,0.00472027063369751,0.04199033975601196,0.011858224868774414,0.17224347591400146,0.03425776958465576,0.09965145587921143,0.09867918491363525,0.023633599281311035,0.05209064483642578,0.006141245365142822,0.0019301176071166992,0.3524457812309265,0.08604025840759277,0.020808279514312744,0.011811554431915283,0.055198848247528076,0.11979204416275024,0.23016732931137085,0.036467134952545166,0.15220582485198975,0.11624366044998169,0.06808334589004517,0.06792265176773071,0.20565259456634521,0.07165151834487915,0.06600832939147949,0.19249171018600464,0.0587465763092041,0.2218703031539917,0.16239959001541138,0.0070664286613464355,0.18150544166564941,0.10551333427429199,0.11400473117828369,0.05120420455932617,0.06542587280273438,0.2602960467338562,0.07696318626403809,0.005037784576416016,0.16151583194732666,0.07989239692687988,0.0376470685005188,0.023386120796203613,0.4763133227825165,0.07280683517456055,0.18890541791915894,0.10022717714309692,0.10454660654067993,0.0742337703704834,0.01044774055480957,0.1095169186592102,0.17979657649993896,0.18530422449111938,0.16400521993637085,0.10375100374221802,0.09626328945159912,0.3254190683364868,0.025446832180023193,0.007343471050262451,0.05912858247756958,0.07350283861160278,0.176447331905365,0.029633402824401855,0.22213417291641235,0.09458231925964355,0.06627821922302246,0.04396927356719971,0.04993098974227905,0.040224671363830566,0.11105203628540039,0.06581783294677734,0.14971375465393066,0.011326909065246582,0.07261145114898682,0.1721675992012024,0.20181792974472046,0.04280996322631836,0.04823261499404907,0.0969768762588501,0.04452085494995117,0.17352908849716187,0.10072547197341919,0.006627559661865234,0.0230942964553833,0.0069811344146728516,0.07238352298736572,0.08478683233261108,0.09155511856079102,0.020870745182037354,0.11184698343276978,0.2884378433227539,0.4427081346511841,0.04049116373062134,0.16489017009735107,0.04313015937805176,0.05591768026351929,0.00011813640594482422,0.006407976150512695,0.04134082794189453,0.042213380336761475,0.08920198678970337,0.08411026000976562,0.12988293170928955
Austria,0.542979434132576,0.16803514957427979,0.22384294867515564,0.03700518608093262,0.15608364343643188,0.01793491840362549,0.0,0.12506437301635742,0.0008634328842163086,0.11777263879776001,0.060314834117889404,0.07510536909103394,0.10214930772781372,0.03728175163269043,0.1098366379737854,0.04096144437789917,0.013214647769927979,0.024055421352386475,0.029793143272399902,0.15430855751037598,0.05219268798828125,0.08171653747558594,0.08074426651000977,0.005698680877685547,0.07002556324005127,0.011793673038482666,0.019865036010742188,0.334510862827301,0.10397517681121826,0.03874319791793823,0.02974647283554077,0.03726392984390259,0.10185712575912476,0.21223241090774536,0.018532216548919678,0.13427090644836426,0.0983087420463562,0.05014842748641968,0.0858575701713562,0.18771767616271973,0.05371659994125366,0.08394324779510498,0.17455679178237915,0.07668149471282959,0.2039353847503662,0.1444646716117859,0.010868489742279053,0.16357052326202393,0.0875784158706665,0.0960698127746582,0.033269286155700684,0.04749095439910889,0.2423611283302307,0.0590282678604126,0.022972702980041504,0.14358091354370117,0.061957478523254395,0.01971215009689331,0.005451202392578125,0.458378404378891,0.05487191677093506,0.17097049951553345,0.08229225873947144,0.08661168813705444,0.05629885196685791,0.02838265895843506,0.09158200025558472,0.16186165809631348,0.1673693060874939,0.14607030153274536,0.08581608533859253,0.07832837104797363,0.30748414993286133,0.007511913776397705,0.02527838945388794,0.07706350088119507,0.055567920207977295,0.1585124135017395,0.047568321228027344,0.20419925451278687,0.11251723766326904,0.08421313762664795,0.061904191970825195,0.06786590814590454,0.022289752960205078,0.0931171178817749,0.047882914543151855,0.13177883625030518,0.006608009338378906,0.0905463695526123,0.1542326807975769,0.18388301134109497,0.02487504482269287,0.030297696590423584,0.07904195785522461,0.06245577335357666,0.15559417009353638,0.0827905535697937,0.011307358741760254,0.04102921485900879,0.02491605281829834,0.054448604583740234,0.0668519139289856,0.07362020015716553,0.0029358267784118652,0.09391206502914429,0.2705029249191284,0.4247732162475586,0.02255624532699585,0.14695525169372559,0.02519524097442627,0.0379827618598938,0.017816781997680664,0.024342894554138184,0.023405909538269043,0.024278461933135986,0.07126706838607788,0.06617534160614014,0.11194801330566406
Benin,0.41791506111621857,0.04297077655792236,0.09877857565879822,0.0880591869354248,0.031019270420074463,0.1429992914199829,0.12506437301635742,0.0,0.12420094013214111,0.007291734218597412,0.06474953889846802,0.049959003925323486,0.0229150652885437,0.16234612464904785,0.015227735042572021,0.1660258173942566,0.1382790207862854,0.10100895166397095,0.15485751628875732,0.029244184494018555,0.17725706100463867,0.043347835540771484,0.044320106506347656,0.11936569213867188,0.1950899362564087,0.1368580460548401,0.1449294090270996,0.2094464898109436,0.22903954982757568,0.16380757093429565,0.1548108458518982,0.08780044317245483,0.023207247257232666,0.08716803789138794,0.10653215646743774,0.009206533432006836,0.02675563097000122,0.07491594552993774,0.21092194318771362,0.0626533031463623,0.07134777307510376,0.2090076208114624,0.04949241876602173,0.201745867729187,0.07887101173400879,0.019400298595428467,0.13593286275863647,0.038506150245666504,0.03748595714569092,0.02899456024169922,0.09179508686065674,0.07757341861724854,0.11729675531387329,0.06603610515594482,0.14803707599639893,0.01851654052734375,0.06310689449310303,0.10535222291946411,0.1196131706237793,0.33331403136253357,0.07019245624542236,0.045906126499176025,0.042772114276885986,0.03845268487930298,0.06876552104949951,0.15344703197479248,0.033482372760772705,0.036797285079956055,0.042304933071136475,0.02100592851638794,0.03924828767776489,0.04673600196838379,0.1824197769165039,0.11755245923995972,0.15034276247024536,0.2021278738975525,0.06949645280838013,0.03344804048538208,0.17263269424438477,0.07913488149642944,0.23758161067962646,0.20927751064300537,0.18696856498718262,0.19293028116226196,0.10277462005615234,0.03194725513458252,0.07718145847320557,0.006714463233947754,0.13167238235473633,0.21561074256896973,0.029168307781219482,0.05881863832473755,0.10018932819366455,0.09476667642593384,0.04602241516113281,0.18752014636993408,0.030529797077178955,0.04227381944656372,0.13637173175811768,0.1660935878753662,0.14998042583465576,0.07061576843261719,0.058212459087371826,0.051444172859191895,0.12212854623794556,0.031152307987213135,0.145438551902771,0.29970884323120117,0.10250812768936157,0.021890878677368164,0.09986913204193115,0.08708161115646362,0.14288115501403809,0.1494072675704956,0.10165846347808838,0.10078591108322144,0.05379730463027954,0.058889031410217285,0.01311635971069336
Bolivia,0.5421160012483597,0.16717171669006348,0.22297951579093933,0.03614175319671631,0.15522021055221558,0.018798351287841797,0.0008634328842163086,0.12420094013214111,0.0,0.1169092059135437,0.059451401233673096,0.07424193620681763,0.10128587484359741,0.03814518451690674,0.10897320508956909,0.04182487726211548,0.014078080654144287,0.023191988468170166,0.03065657615661621,0.15344512462615967,0.05305612087249756,0.08085310459136963,0.07988083362579346,0.004835247993469238,0.07088899612426758,0.012657105922698975,0.020728468894958496,0.3336474299430847,0.10483860969543457,0.03960663080215454,0.03060990571975708,0.03640049695968628,0.10099369287490845,0.21136897802352905,0.01766878366470337,0.13340747356414795,0.09744530916213989,0.04928499460220337,0.08672100305557251,0.18685424327850342,0.052853167057037354,0.08480668067932129,0.17369335889816284,0.0775449275970459,0.2030719518661499,0.14360123872756958,0.011731922626495361,0.16270709037780762,0.0867149829864502,0.0952063798904419,0.032405853271484375,0.04662752151489258,0.2414976954460144,0.05816483497619629,0.023836135864257812,0.14271748065948486,0.061094045639038086,0.018848717212677002,0.004587769508361816,0.4575149714946747,0.05400848388671875,0.17010706663131714,0.08142882585525513,0.08574825525283813,0.0554354190826416,0.029246091842651367,0.09071856737136841,0.16099822521209717,0.1665058732032776,0.14520686864852905,0.08495265245437622,0.07746493816375732,0.306620717048645,0.0066484808921813965,0.026141822338104248,0.07792693376541138,0.054704487323760986,0.1576489806175232,0.04843175411224365,0.20333582162857056,0.11338067054748535,0.08507657051086426,0.0627676248550415,0.06872934103012085,0.02142632007598877,0.0922536849975586,0.04701948165893555,0.13091540336608887,0.007471442222595215,0.09140980243682861,0.1533692479133606,0.18301957845687866,0.024011611938476562,0.029434263706207275,0.0781785249710083,0.06331920623779297,0.15473073720932007,0.08192712068557739,0.012170791625976562,0.0418926477432251,0.02577948570251465,0.053585171699523926,0.06598848104476929,0.07275676727294922,0.0020723938941955566,0.09304863214492798,0.2696394920349121,0.4239097833633423,0.02169281244277954,0.14609181880950928,0.02433180809020996,0.03711932897567749,0.018680214881896973,0.025206327438354492,0.022542476654052734,0.023415029048919678,0.07040363550186157,0.06531190872192383,0.11108458042144775
Bosnia and Herzegovina,0.425206795334816,0.050262510776519775,0.10607030987739563,0.08076745271682739,0.038311004638671875,0.1357075572013855,0.11777263879776001,0.007291734218597412,0.1169092059135437,0.0,0.057457804679870605,0.042667269706726074,0.015623331069946289,0.15505439043045044,0.00793600082397461,0.15873408317565918,0.130987286567688,0.09371721744537354,0.1475657820701599,0.03653591871261597,0.16996532678604126,0.03605610132217407,0.037028372287750244,0.11207395792007446,0.18779820203781128,0.12956631183624268,0.1376376748085022,0.21673822402954102,0.22174781560897827,0.15651583671569824,0.14751911163330078,0.08050870895385742,0.015915513038635254,0.09445977210998535,0.09924042224884033,0.016498267650604248,0.01946389675140381,0.06762421131134033,0.2036302089691162,0.06994503736495972,0.06405603885650635,0.201715886592865,0.05678415298461914,0.1944541335105896,0.0861627459526062,0.02669203281402588,0.12864112854003906,0.045797884464263916,0.030194222927093506,0.021702826023101807,0.08450335264205933,0.07028168439865112,0.1245884895324707,0.05874437093734741,0.1407453417778015,0.025808274745941162,0.055815160274505615,0.0980604887008667,0.11232143640518188,0.340605765581131,0.06290072202682495,0.05319786071777344,0.035480380058288574,0.031160950660705566,0.0614737868309021,0.14615529775619507,0.026190638542175293,0.04408901929855347,0.04959666728973389,0.02829766273498535,0.03195655345916748,0.03944426774978638,0.18971151113510132,0.1102607250213623,0.14305102825164795,0.19483613967895508,0.062204718589782715,0.04073977470397949,0.16534096002578735,0.08642661571502686,0.23028987646102905,0.20198577642440796,0.1796768307685852,0.18563854694366455,0.09548288583755493,0.024655520915985107,0.06988972425460815,0.014006197452545166,0.12438064813613892,0.20831900835037231,0.036460041999816895,0.06611037254333496,0.09289759397506714,0.08747494220733643,0.0387306809425354,0.18022841215133667,0.03782153129577637,0.03498208522796631,0.12907999753952026,0.1588018536567688,0.14268869161605835,0.06332403421401978,0.050920724868774414,0.04415243864059448,0.11483681201934814,0.023860573768615723,0.1527302861213684,0.3070005774497986,0.09521639347076416,0.029182612895965576,0.09257739782333374,0.07978987693786621,0.13558942079544067,0.1421155333518982,0.09436672925949097,0.09349417686462402,0.04650557041168213,0.05159729719161987,0.005824625492095947
