Country,Australia,Brazil,Chile,China,Germany,Egypt,Spain,France,United Kingdom,Hong Kong,Israel,India,Japan,Mexico,Portugal,Qatar,Russia,United States,South Africa
Australia,0.0,0.81131,0.003359999999994649,0.5848500000000001,0.24536000000000005,0.8981399999999999,0.27746,0.0011600000000392657,0.3933399999999997,0.58109,0.51417,1.00244,0.2932200000000002,0.6168100000000001,0.44031000000000003,0.73142,0.4983799999999998,0.013349999999999682,0.41676
Brazil,0.8113100000000001,0.0,0.80795,0.22645999999999997,1.05667,0.08683,0.53385,0.81015,1.20465,0.23022,0.29713999999999996,0.19113,0.51809,0.1945,0.37099999999999994,0.07988999999999999,1.30969,0.8246600000000001,0.39455
Chile,0.003359999999994649,0.80795,0.0,0.58149,0.24871999999999983,0.8947799999999999,0.2741000000000002,0.0022000000000265848,0.3966999999999996,0.57773,0.51081,0.99908,0.28985999999999995,0.61345,0.43694999999999995,0.7280599999999999,0.5017399999999996,0.016710000000000915,0.41340000000000005
China,0.5848500000000001,0.22645999999999997,0.58149,0.0,0.83021,0.31328999999999996,0.30738999999999994,0.5836899999999999,0.9781899999999999,0.00376000000000072,0.07067999999999973,0.41759,0.29163,0.03196000000000009,0.14453999999999984,0.14656999999999995,1.08323,0.5982,0.16808999999999988
Germany,0.24536000000000005,1.05667,0.24871999999999983,0.83021,0.0,1.1435,0.52282,0.24652000000000016,0.14798000000000064,0.8264499999999999,0.7595299999999999,1.2478,0.53858,0.8621699999999999,0.68567,0.97678,0.25302,0.23200999999999974,0.66212
Egypt,0.89814,0.08683,0.89478,0.31328999999999996,1.1435,0.0,0.62068,0.89698,1.29148,0.31705,0.38397,0.10429999999999999,0.60492,0.28132999999999997,0.45782999999999996,0.16672,1.39652,0.91149,0.48138
Spain,0.27746,0.53385,0.2741000000000002,0.30739,0.52282,0.62068,0.0,0.27630000000000005,0.6708,0.30363,0.23670999999999998,0.72498,0.015760000000000506,0.33935000000000004,0.16285000000000016,0.45396,0.7758399999999999,0.29081000000000007,0.1392999999999999
France,0.0011600000000392657,0.81015,0.0022000000000265848,0.5836899999999999,0.24652000000000016,0.89698,0.27630000000000005,0.0,0.39449999999999996,0.57993,0.51301,1.00128,0.29206000000000004,0.61565,0.43915,0.73026,0.4995399999999998,0.014510000000003466,0.41559999999999997
United Kingdom,0.3933399999999997,1.20465,0.3966999999999996,0.9781899999999999,0.14798000000000064,1.29148,0.6708,0.39449999999999996,0.0,0.9744299999999998,0.9075099999999999,1.3957799999999998,0.68656,1.0101499999999999,0.8336499999999999,1.12476,0.10503999999999997,0.3799900000000001,0.8100999999999999
Hong Kong,0.58109,0.23022,0.57773,0.00376000000000072,0.8264499999999999,0.31705,0.30363,0.57993,0.9744299999999998,0.0,0.06691999999999981,0.42135,0.28786999999999996,0.035720000000000085,0.1407799999999999,0.15033,1.07947,0.59444,0.16433
Israel,0.51417,0.29713999999999996,0.51081,0.07067999999999983,0.7595299999999999,0.38397,0.2367099999999999,0.51301,0.9075099999999999,0.06691999999999981,0.0,0.48827,0.2209500000000001,0.10263999999999993,0.07385999999999975,0.21724999999999997,1.0125499999999998,0.52752,0.09740999999999982
India,1.00244,0.19113,0.99908,0.41758999999999996,1.2478,0.10429999999999999,0.72498,1.00128,1.3957799999999998,0.42135,0.48827,0.0,0.7092200000000001,0.38563,0.5621299999999999,0.27102,1.50082,1.01579,0.58568
Japan,0.29322000000000026,0.51809,0.28986,0.29163,0.5385800000000001,0.60492,0.015760000000000506,0.2920600000000001,0.68656,0.28786999999999996,0.22095000000000004,0.7092200000000001,0.0,0.32359000000000004,0.14709000000000008,0.43820000000000003,0.7916,0.3065700000000001,0.12354000000000014
Mexico,0.6168100000000001,0.1945,0.61345,0.03196000000000009,0.8621699999999999,0.28132999999999997,0.33935000000000004,0.61565,1.0101499999999999,0.035720000000000085,0.10263999999999986,0.38563000000000003,0.3235900000000001,0.0,0.17650000000000005,0.11460999999999999,1.11519,0.63016,0.20005000000000003
Portugal,0.44031000000000003,0.37099999999999994,0.43694999999999995,0.14453999999999986,0.68567,0.45782999999999996,0.16285000000000005,0.43915,0.8336499999999999,0.1407799999999999,0.07385999999999975,0.5621299999999999,0.14709,0.17650000000000002,0.0,0.29111,0.9386899999999999,0.45365999999999995,0.023550000000000022
Qatar,0.73142,0.07988999999999999,0.7280599999999999,0.14656999999999998,0.97678,0.16672,0.45396,0.73026,1.12476,0.15033,0.21724999999999997,0.27102,0.43820000000000003,0.11461,0.29111,0.0,1.2297999999999998,0.74477,0.31466
Russia,0.4983799999999998,1.30969,0.5017399999999996,1.08323,0.25302,1.39652,0.7758399999999999,0.4995399999999998,0.10503999999999997,1.07947,1.0125499999999998,1.50082,0.7916,1.11519,0.9386899999999999,1.2297999999999998,0.0,0.48502999999999996,0.91514
United States,0.013349999999999682,0.8246600000000001,0.016710000000000915,0.5982,0.23200999999999974,0.9114899999999999,0.29081000000000007,0.014510000000003466,0.3799900000000001,0.59444,0.52752,1.01579,0.30657000000000006,0.63016,0.45365999999999995,0.74477,0.48502999999999996,0.0,0.43011
South Africa,0.4167600000000001,0.39455,0.4134000000000001,0.16808999999999993,0.66212,0.48138000000000003,0.13929999999999998,0.41559999999999997,0.8100999999999999,0.16433,0.09740999999999982,0.58568,0.12354000000000025,0.20005,0.023550000000000022,0.31466,0.91514,0.43011,0.0
