,Afghanistan,Albania,Algeria,Argentina,Armenia,Australia,Austria,Benin,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo (Brazzaville),Costa Rica,Croatia,Cyprus,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guinea,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kyrgyzstan,Laos,Latvia,Lebanon,Lithuania,Malawi,Mali,Malta,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,North Macedonia,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan Province of China,Tajikistan,Tanzania,Thailand,Togo,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe
Afghanistan,0.0,0.24770808219909668,0.3865355849266052,0.4281298518180847,0.30786943435668945,0.4655805826187134,0.40880125761032104,0.01865050196647644,0.34363579750061035,0.4057788848876953,0.3601539731025696,0.42944633960723877,0.2033689022064209,0.2585828900337219,0.24076169729232788,0.47190171480178833,0.437285840511322,0.4018322825431824,0.338655948638916,0.11347639560699463,0.4218776226043701,0.4635668396949768,0.40118253231048584,0.496052086353302,0.49075204133987427,0.4029322862625122,0.3313571810722351,0.2628476619720459,0.3419315218925476,0.49169033765792847,0.5161145925521851,0.4604228138923645,0.2996969223022461,0.21651476621627808,0.4134078621864319,0.1785549521446228,0.39615148305892944,0.17306452989578247,0.3518061637878418,0.3669138550758362,0.4937174320220947,0.5256835222244263,0.1155582070350647,0.36274999380111694,0.3172948360443115,0.27603816986083984,0.39566344022750854,0.46240854263305664,0.4313589334487915,0.10005015134811401,0.4031928777694702,0.4415630102157593,0.24874347448349,0.4518786668777466,0.2480260133743286,0.39466392993927,0.45009857416152954,0.19571858644485474,0.49991172552108765,0.05260056257247925,0.4740005135536194,0.10373961925506592,0.11921882629394531,0.4429383873939514,0.4323351979255676,0.3244304060935974,0.42537933588027954,0.4729422926902771,0.050389230251312256,0.20984798669815063,0.3254017233848572,0.3536260724067688,0.2444717288017273,0.46458470821380615,0.4956575036048889,0.3940883278846741,0.28738540410995483,0.3546822667121887,0.4937027096748352,0.15422093868255615,0.4444465637207031,0.4533671736717224,0.36436474323272705,0.32401740550994873,0.48136013746261597,0.44076699018478394,0.38033443689346313,0.4075418710708618,0.40518641471862793,0.19100457429885864,0.43593138456344604,0.15515941381454468,0.42223429679870605,0.4969891905784607,0.5010778903961182,0.4680640697479248,0.35656607151031494,0.4722420573234558,0.35819923877716064,0.4776448607444763,0.4802183508872986,0.41212284564971924,0.42871421575546265,0.1648097038269043,0.4286472201347351,0.14922499656677246,0.25714683532714844,0.2820202112197876,0.33917486667633057,0.4251338243484497,0.37188589572906494,0.3998548984527588,0.46583402156829834,0.4596984386444092,0.44132906198501587,0.35824334621429443,0.3453192114830017,0.16489630937576294,0.23097580671310425
Albania,0.24770808219909668,0.0,0.13882750272750854,0.18042176961898804,0.06016135215759277,0.2178725004196167,0.16109317541122437,0.2663585841655731,0.09592771530151367,0.15807080268859863,0.1124458909034729,0.1817382574081421,0.04433917999267578,0.010874807834625244,0.006946384906768799,0.22419363260269165,0.18957775831222534,0.1541242003440857,0.09094786643981934,0.13423168659210205,0.17416954040527344,0.21585875749588013,0.15347445011138916,0.24834400415420532,0.2430439591407776,0.15522420406341553,0.08364909887313843,0.015139579772949219,0.09422343969345093,0.2439822554588318,0.2684065103530884,0.21271473169326782,0.051988840103149414,0.031193315982818604,0.1656997799873352,0.06915313005447388,0.14844340085983276,0.07464355230331421,0.10409808158874512,0.1192057728767395,0.24600934982299805,0.2779754400253296,0.13214987516403198,0.11504191160202026,0.06958675384521484,0.028330087661743164,0.14795535802841187,0.21470046043395996,0.18365085124969482,0.14765793085098267,0.15548479557037354,0.1938549280166626,0.0010353922843933105,0.2041705846786499,0.0003179311752319336,0.14695584774017334,0.20239049196243286,0.05198949575424194,0.25220364332199097,0.19510751962661743,0.2262924313545227,0.14396846294403076,0.12848925590515137,0.19523030519485474,0.18462711572647095,0.07672232389450073,0.17767125368118286,0.22523421049118042,0.19731885194778442,0.037860095500946045,0.0776936411857605,0.10591799020767212,0.0032363533973693848,0.21687662601470947,0.24794942140579224,0.1463802456855774,0.039677321910858154,0.10697418451309204,0.24599462747573853,0.09348714351654053,0.19673848152160645,0.20565909147262573,0.11665666103363037,0.07630932331085205,0.2336520552635193,0.19305890798568726,0.13262635469436646,0.15983378887176514,0.15747833251953125,0.05670350790023804,0.18822330236434937,0.092548668384552,0.17452621459960938,0.249281108379364,0.2533698081970215,0.22035598754882812,0.10885798931121826,0.22453397512435913,0.11049115657806396,0.22993677854537964,0.2325102686882019,0.16441476345062256,0.18100613355636597,0.08289837837219238,0.18093913793563843,0.09848308563232422,0.009438753128051758,0.03431212902069092,0.09146678447723389,0.17742574214935303,0.12417781352996826,0.1521468162536621,0.21812593936920166,0.2119903564453125,0.1936209797859192,0.11053526401519775,0.09761112928390503,0.08281177282333374,0.01673227548599243
Algeria,0.3865355849266052,0.13882750272750854,0.0,0.04159426689147949,0.07866615056991577,0.07904499769210815,0.02226567268371582,0.40518608689308167,0.04289978742599487,0.019243299961090088,0.026381611824035645,0.042910754680633545,0.18316668272018433,0.1279526948928833,0.14577388763427734,0.0853661298751831,0.0507502555847168,0.015296697616577148,0.04787963628768921,0.2730591893196106,0.03534203767776489,0.07703125476837158,0.014646947383880615,0.10951650142669678,0.10421645641326904,0.016396701335906982,0.05517840385437012,0.12368792295455933,0.04460406303405762,0.10515475273132324,0.12957900762557983,0.07388722896575928,0.08683866262435913,0.17002081871032715,0.02687227725982666,0.20798063278198242,0.009615898132324219,0.21347105503082275,0.03472942113876343,0.019621729850769043,0.1071818470954895,0.13914793729782104,0.2709773778915405,0.02378559112548828,0.0692407488822937,0.11049741506576538,0.00912785530090332,0.07587295770645142,0.04482334852218628,0.2864854335784912,0.01665729284286499,0.05502742528915405,0.13779211044311523,0.06534308195114136,0.1385095715522766,0.008128345012664795,0.06356298923492432,0.1908169984817505,0.11337614059448242,0.333935022354126,0.08746492862701416,0.2827959656715393,0.2673167586326599,0.05640280246734619,0.0457996129989624,0.06210517883300781,0.038843750953674316,0.08640670776367188,0.33614635467529297,0.1766875982284546,0.06113386154174805,0.032909512519836426,0.14206385612487793,0.07804912328720093,0.10912191867828369,0.007552742958068848,0.09915018081665039,0.031853318214416504,0.10716712474822998,0.23231464624404907,0.0579109787940979,0.06683158874511719,0.022170841693878174,0.0625181794166565,0.09482455253601074,0.05423140525817871,0.00620114803314209,0.021006286144256592,0.018650829792022705,0.19553101062774658,0.04939579963684082,0.23137617111206055,0.03569871187210083,0.11045360565185547,0.11454230546951294,0.08152848482131958,0.029969513416290283,0.08570647239685059,0.02833634614944458,0.0911092758178711,0.09368276596069336,0.025587260723114014,0.04217863082885742,0.22172588109970093,0.04211163520812988,0.23731058835983276,0.1293887495994568,0.10451537370681763,0.04736071825027466,0.03859823942184448,0.014649689197540283,0.013319313526153564,0.07929843664169312,0.07316285371780396,0.054793477058410645,0.02829223871231079,0.041216373443603516,0.22163927555084229,0.15555977821350098
Argentina,0.4281298518180847,0.18042176961898804,0.04159426689147949,0.0,0.12026041746139526,0.03745073080062866,0.019328594207763672,0.44678035378456116,0.08449405431747437,0.022350966930389404,0.06797587871551514,0.0013164877891540527,0.22476094961166382,0.1695469617843628,0.18736815452575684,0.04377186298370361,0.009155988693237305,0.026297569274902344,0.0894739031791687,0.3146534562110901,0.0062522292137146,0.03543698787689209,0.026947319507598877,0.06792223453521729,0.06262218952178955,0.02519756555557251,0.09677267074584961,0.16528218984603882,0.08619832992553711,0.06356048583984375,0.08798474073410034,0.032292962074279785,0.12843292951583862,0.21161508560180664,0.014721989631652832,0.24957489967346191,0.03197836875915527,0.25506532192230225,0.07632368803024292,0.061215996742248535,0.06558758020401001,0.09755367040634155,0.31257164478302,0.06537985801696777,0.1108350157737732,0.15209168195724487,0.03246641159057617,0.034278690814971924,0.003229081630706787,0.3280797004699707,0.024936974048614502,0.01343315839767456,0.17938637733459473,0.023748815059661865,0.1801038384437561,0.0334659218788147,0.021968722343444824,0.23241126537322998,0.07178187370300293,0.37552928924560547,0.04587066173553467,0.3243902325630188,0.3089110255241394,0.0148085355758667,0.00420534610748291,0.1036994457244873,0.0027505159378051758,0.04481244087219238,0.37774062156677246,0.21828186511993408,0.10272812843322754,0.07450377941131592,0.18365812301635742,0.036454856395721436,0.0675276517868042,0.034041523933410645,0.14074444770812988,0.073447585105896,0.06557285785675049,0.27390891313552856,0.016316711902618408,0.025237321853637695,0.06376510858535767,0.10411244630813599,0.05323028564453125,0.012637138366699219,0.04779541492462158,0.0205879807472229,0.022943437099456787,0.23712527751922607,0.007801532745361328,0.27297043800354004,0.005895555019378662,0.06885933876037598,0.07294803857803345,0.03993421792984009,0.07156378030776978,0.044112205505371094,0.06993061304092407,0.0495150089263916,0.05208849906921387,0.01600700616836548,0.0005843639373779297,0.2633201479911804,0.0005173683166503906,0.27890485525131226,0.17098301649093628,0.14610964059829712,0.08895498514175415,0.0029960274696350098,0.056243956089019775,0.028274953365325928,0.03770416975021362,0.03156858682632446,0.013199210166931152,0.06988650560379028,0.08281064033508301,0.2632335424423218,0.19715404510498047
Armenia,0.30786943435668945,0.06016135215759277,0.07866615056991577,0.12026041746139526,0.0,0.15771114826202393,0.10093182325363159,0.3265199363231659,0.0357663631439209,0.09790945053100586,0.05228453874588013,0.12157690525054932,0.10450053215026855,0.04928654432296753,0.06710773706436157,0.16403228044509888,0.12941640615463257,0.09396284818649292,0.030786514282226562,0.19439303874969482,0.11400818824768066,0.15569740533828735,0.09331309795379639,0.18818265199661255,0.18288260698318481,0.09506285190582275,0.023487746715545654,0.045021772384643555,0.034062087535858154,0.183820903301239,0.2082451581954956,0.15255337953567505,0.00817251205444336,0.09135466814041138,0.10553842782974243,0.12931448221206665,0.08828204870223999,0.13480490446090698,0.043936729431152344,0.05904442071914673,0.18584799766540527,0.21781408786773682,0.19231122732162476,0.05488055944442749,0.00942540168762207,0.03183126449584961,0.08779400587081909,0.1545391082763672,0.12348949909210205,0.20781928300857544,0.09532344341278076,0.13369357585906982,0.05912595987319946,0.14400923252105713,0.05984342098236084,0.08679449558258057,0.1422291398048401,0.11215084791183472,0.1920422911643982,0.2552688717842102,0.16613107919692993,0.20412981510162354,0.18865060806274414,0.13506895303726196,0.12446576356887817,0.01656097173690796,0.11750990152359009,0.16507285833358765,0.2574802041053772,0.09802144765853882,0.017532289028167725,0.045756638050079346,0.06339770555496216,0.1567152738571167,0.18778806924819946,0.08621889352798462,0.02048403024673462,0.04681283235549927,0.18583327531814575,0.1536484956741333,0.13657712936401367,0.14549773931503296,0.0564953088760376,0.016147971153259277,0.1734907031059265,0.13289755582809448,0.07246500253677368,0.09967243671417236,0.09731698036193848,0.11686486005783081,0.1280619502067566,0.15271002054214478,0.1143648624420166,0.18911975622177124,0.1932084560394287,0.16019463539123535,0.04869663715362549,0.16437262296676636,0.05032980442047119,0.16977542638778687,0.17234891653060913,0.10425341129302979,0.1208447813987732,0.14305973052978516,0.12077778577804565,0.158644437789917,0.050722599029541016,0.025849223136901855,0.03130543231964111,0.11726438999176025,0.06401646137237549,0.09198546409606934,0.1579645872116089,0.15182900428771973,0.13345962762832642,0.05037391185760498,0.037449777126312256,0.1429731249809265,0.0768936276435852
Australia,0.4655805826187134,0.2178725004196167,0.07904499769210815,0.03745073080062866,0.15771114826202393,0.0,0.056779325008392334,0.4842310845851898,0.12194478511810303,0.059801697731018066,0.1054266095161438,0.03613424301147461,0.2622116804122925,0.20699769258499146,0.2248188853263855,0.006321132183074951,0.028294742107391357,0.063748300075531,0.12692463397979736,0.35210418701171875,0.04370296001434326,0.0020137429237365723,0.06439805030822754,0.030471503734588623,0.02517145872116089,0.06264829635620117,0.13422340154647827,0.20273292064666748,0.12364906072616577,0.026109755039215088,0.05053400993347168,0.005157768726348877,0.16588366031646729,0.2490658164024353,0.052172720432281494,0.2870256304740906,0.06942909955978394,0.2925160527229309,0.11377441883087158,0.0986667275428772,0.028136849403381348,0.06010293960571289,0.3500223755836487,0.10283058881759644,0.14828574657440186,0.18954241275787354,0.06991714239120483,0.0031720399856567383,0.034221649169921875,0.36553043127059937,0.062387704849243164,0.0240175724029541,0.2168371081352234,0.013701915740966797,0.21755456924438477,0.07091665267944336,0.015482008457183838,0.26986199617385864,0.03433114290237427,0.41298002004623413,0.008419930934906006,0.36184096336364746,0.34636175632476807,0.022642195224761963,0.03324538469314575,0.14115017652511597,0.04020124673843384,0.007361710071563721,0.4151913523674011,0.25573259592056274,0.1401788592338562,0.11195451021194458,0.22110885381698608,0.0009958744049072266,0.030076920986175537,0.0714922547340393,0.17819517850875854,0.11089831590652466,0.028122127056121826,0.3113596439361572,0.021134018898010254,0.012213408946990967,0.10121583938598633,0.14156317710876465,0.015779554843902588,0.024813592433929443,0.08524614572525024,0.05803871154785156,0.06039416790008545,0.27457600831985474,0.029649198055267334,0.3104211688041687,0.043346285820007324,0.031408607959747314,0.035497307777404785,0.0024834871292114258,0.10901451110839844,0.006661474704742432,0.10738134384155273,0.01206427812576294,0.014637768268585205,0.05345773696899414,0.03686636686325073,0.3007708787918091,0.03693336248397827,0.3163555860519409,0.20843374729156494,0.18356037139892578,0.1264057159423828,0.04044675827026367,0.09369468688964844,0.06572568416595459,0.00025343894958496094,0.005882143974304199,0.02425152063369751,0.10733723640441895,0.12026137113571167,0.30068427324295044,0.23460477590560913
Austria,0.40880125761032104,0.16109317541122437,0.02226567268371582,0.019328594207763672,0.10093182325363159,0.056779325008392334,0.0,0.4274517595767975,0.0651654601097107,0.0030223727226257324,0.048647284507751465,0.020645081996917725,0.20543235540390015,0.15021836757659912,0.16803956031799316,0.06310045719146729,0.028484582901000977,0.006968975067138672,0.07014530897140503,0.2953248620033264,0.013076364994049072,0.05476558208465576,0.007618725299835205,0.08725082874298096,0.08195078372955322,0.005868971347808838,0.07744407653808594,0.14595359563827515,0.06686973571777344,0.08288908004760742,0.10731333494186401,0.05162155628204346,0.10910433530807495,0.19228649139404297,0.00460660457611084,0.23024630546569824,0.012649774551391602,0.23573672771453857,0.05699509382247925,0.04188740253448486,0.08491617441177368,0.11688226461410522,0.29324305057525635,0.0460512638092041,0.09150642156600952,0.1327630877494812,0.0131378173828125,0.053607285022735596,0.02255767583847046,0.30875110626220703,0.00560837984085083,0.03276175260543823,0.16005778312683105,0.04307740926742554,0.16077524423599243,0.014137327671051025,0.041297316551208496,0.2130826711654663,0.0911104679107666,0.3562006950378418,0.06519925594329834,0.3050616383552551,0.28958243131637573,0.03413712978363037,0.023533940315246582,0.08437085151672363,0.016578078269958496,0.06414103507995605,0.3584120273590088,0.1989532709121704,0.08339953422546387,0.055175185203552246,0.16432952880859375,0.05578345060348511,0.08685624599456787,0.014712929725646973,0.12141585350036621,0.054118990898132324,0.08490145206451416,0.2545803189277649,0.03564530611038208,0.04456591606140137,0.044436514377593994,0.08478385210037231,0.07255887985229492,0.03196573257446289,0.02846682071685791,0.0012593865394592285,0.0036148428916931152,0.2177966833114624,0.027130126953125,0.25364184379577637,0.01343303918838501,0.08818793296813965,0.09227663278579712,0.05926281213760376,0.052235186100006104,0.06344079971313477,0.0506020188331604,0.06884360313415527,0.07141709327697754,0.0033215880393981934,0.0199129581451416,0.24399155378341675,0.019845962524414062,0.2595762610435486,0.1516544222831726,0.12678104639053345,0.06962639093399048,0.016332566738128662,0.036915361881256104,0.008946359157562256,0.057032763957977295,0.050897181034088135,0.032527804374694824,0.05055791139602661,0.06348204612731934,0.2439049482345581,0.1778254508972168
Benin,0.01865050196647644,0.2663585841655731,0.40518608689308167,0.44678035378456116,0.3265199363231659,0.4842310845851898,0.4274517595767975,0.0,0.3622862994670868,0.42442938685417175,0.378804475069046,0.4480968415737152,0.22201940417289734,0.27723339200019836,0.2594121992588043,0.49055221676826477,0.45593634247779846,0.4204827845096588,0.35730645060539246,0.13212689757347107,0.44052812457084656,0.48221734166145325,0.4198330342769623,0.5147025883197784,0.5094025433063507,0.42158278822898865,0.35000768303871155,0.28149816393852234,0.36058202385902405,0.5103408396244049,0.5347650945186615,0.47907331585884094,0.31834742426872253,0.23516526818275452,0.4320583641529083,0.19720545411109924,0.4148019850254059,0.1917150318622589,0.37045666575431824,0.3855643570423126,0.5123679339885712,0.5443340241909027,0.13420870900154114,0.3814004957675934,0.33594533801078796,0.2946886718273163,0.414313942193985,0.4810590445995331,0.45000943541526794,0.11870065331459045,0.42184337973594666,0.4602135121822357,0.26739397644996643,0.470529168844223,0.26667651534080505,0.41331443190574646,0.468749076128006,0.21436908841133118,0.5185622274875641,0.07125106453895569,0.4926510155200958,0.12239012122154236,0.13786932826042175,0.46158888936042786,0.45098569989204407,0.34308090806007385,0.444029837846756,0.49159279465675354,0.0690397322177887,0.22849848866462708,0.3440522253513336,0.37227657437324524,0.26312223076820374,0.4832352101802826,0.5143080055713654,0.4127388298511505,0.3060359060764313,0.37333276867866516,0.5123532116413116,0.1728714406490326,0.46309706568717957,0.47201767563819885,0.3830152451992035,0.34266790747642517,0.5000106394290924,0.4594174921512604,0.3989849388599396,0.42619237303733826,0.42383691668510437,0.20965507626533508,0.4545818865299225,0.17380991578102112,0.4408847987651825,0.5156396925449371,0.5197283923625946,0.48671457171440125,0.3752165734767914,0.49089255928993225,0.3768497407436371,0.49629536271095276,0.498868852853775,0.4307733476161957,0.4473647177219391,0.18346020579338074,0.44729772210121155,0.1678754985332489,0.2757973372936249,0.30067071318626404,0.357825368642807,0.44378432631492615,0.3905363976955414,0.41850540041923523,0.4844845235347748,0.4783489406108856,0.4599795639514923,0.3768938481807709,0.36396971344947815,0.18354681134223938,0.2496263086795807
Bolivia,0.34363579750061035,0.09592771530151367,0.04289978742599487,0.08449405431747437,0.0357663631439209,0.12194478511810303,0.0651654601097107,0.3622862994670868,0.0,0.06214308738708496,0.01651817560195923,0.08581054210662842,0.14026689529418945,0.08505290746688843,0.10287410020828247,0.12826591730117798,0.09365004301071167,0.05819648504257202,0.004979848861694336,0.23015940189361572,0.07824182510375977,0.11993104219436646,0.05754673480987549,0.15241628885269165,0.14711624383926392,0.059296488761901855,0.012278616428375244,0.08078813552856445,0.0017042756080627441,0.14805454015731812,0.1724787950515747,0.11678701639175415,0.04393887519836426,0.12712103128433228,0.06977206468582153,0.16508084535598755,0.05251568555831909,0.17057126760482788,0.008170366287231445,0.02327805757522583,0.15008163452148438,0.18204772472381592,0.22807759046554565,0.019114196300506592,0.026340961456298828,0.06759762763977051,0.05202764272689819,0.11877274513244629,0.08772313594818115,0.24358564615249634,0.05955708026885986,0.09792721271514893,0.09489232301712036,0.10824286937713623,0.09560978412628174,0.05102813243865967,0.10646277666091919,0.14791721105575562,0.1562759280204773,0.2910352349281311,0.13036471605300903,0.23989617824554443,0.22441697120666504,0.09930258989334106,0.08869940042495728,0.01920539140701294,0.08174353837966919,0.12930649518966675,0.2932465672492981,0.13378781080245972,0.018234074115753174,0.009990274906158447,0.09916406869888306,0.1209489107131958,0.15202170610427856,0.05045253038406372,0.05625039339065552,0.01104646921157837,0.15006691217422485,0.1894148588180542,0.10081076622009277,0.10973137617111206,0.0207289457321167,0.01961839199066162,0.13772433996200562,0.09713119268417358,0.03669863939285278,0.06390607357025146,0.06155061721801758,0.1526312232017517,0.0922955870628357,0.18847638368606567,0.0785984992980957,0.15335339307785034,0.1574420928955078,0.12442827224731445,0.01293027400970459,0.12860625982284546,0.014563441276550293,0.13400906324386597,0.13658255338668823,0.06848704814910889,0.0850784182548523,0.17882609367370605,0.08501142263412476,0.1944108009338379,0.08648896217346191,0.061615586280822754,0.004460930824279785,0.08149802684783936,0.02825009822845459,0.05621910095214844,0.12219822406768799,0.11606264114379883,0.09769326448440552,0.014607548713684082,0.0016834139823913574,0.1787394881248474,0.1126599907875061
Bosnia and Herzegovina,0.4057788848876953,0.15807080268859863,0.019243299961090088,0.022350966930389404,0.09790945053100586,0.059801697731018066,0.0030223727226257324,0.42442938685417175,0.06214308738708496,0.0,0.04562491178512573,0.023667454719543457,0.20240998268127441,0.1471959948539734,0.16501718759536743,0.06612282991409302,0.03150695562362671,0.0039466023445129395,0.0671229362487793,0.2923024892807007,0.016098737716674805,0.057787954807281494,0.004596352577209473,0.09027320146560669,0.08497315645217896,0.0028465986251831055,0.0744217038154602,0.14293122291564941,0.0638473629951477,0.08591145277023315,0.11033570766448975,0.05464392900466919,0.10608196258544922,0.18926411867141724,0.007628977298736572,0.2272239327430725,0.00962740182876587,0.23271435499191284,0.053972721099853516,0.03886502981185913,0.08793854713439941,0.11990463733673096,0.2902206778526306,0.04302889108657837,0.08848404884338379,0.12974071502685547,0.010115444660186768,0.05662965774536133,0.02558004856109619,0.3057287335395813,0.0025860071182250977,0.035784125328063965,0.15703541040420532,0.04609978199005127,0.1577528715133667,0.011114954948425293,0.04431968927383423,0.21006029844284058,0.09413284063339233,0.35317832231521606,0.06822162866592407,0.3020392656326294,0.28656005859375,0.037159502506256104,0.026556313037872314,0.0813484787940979,0.01960045099258423,0.06716340780258179,0.35538965463638306,0.19593089818954468,0.08037716150283813,0.052152812480926514,0.16130715608596802,0.05880582332611084,0.0898786187171936,0.01169055700302124,0.11839348077774048,0.05109661817550659,0.08792382478713989,0.25155794620513916,0.03866767883300781,0.0475882887840271,0.04141414165496826,0.08176147937774658,0.07558125257492065,0.03498810529708862,0.025444447994232178,0.001762986183166504,0.0005924701690673828,0.21477431058883667,0.030152499675750732,0.25061947107315063,0.016455411911010742,0.09121030569076538,0.09529900550842285,0.06228518486022949,0.04921281337738037,0.0664631724357605,0.04757964611053467,0.071865975856781,0.07443946599960327,0.006343960762023926,0.022935330867767334,0.24096918106079102,0.022868335247039795,0.25655388832092285,0.14863204956054688,0.12375867366790771,0.06660401821136475,0.019354939460754395,0.03389298915863037,0.0059239864349365234,0.06005513668060303,0.05391955375671387,0.03555017709732056,0.04753553867340088,0.060459673404693604,0.24088257551193237,0.17480307817459106
