"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-2.04676538585137e-17,0.0628618843751237,-3.25597205078589e-16,1
"scale(x)Lexical",-0.0200215717705133,0.0819348577675953,-0.244359632957484,0.807269341021618
"scale(x)personality_all",0.0858125621263516,0.0713746293791287,1.20228382091529,0.23105233456706
"scale(x)Coordinate",-0.215297480428293,0.0734023451155642,-2.93311446779159,0.00385526728890715
"scale(x)Climatic_demands",0.11227767400902,0.0702447336112843,1.5983785294188,0.111956663510792
"scale(x)subsistence",-0.020612761172547,0.0732021408680026,-0.281586862462338,0.778628773418537
"scale(x)disease",0.00298921099240472,0.0725401742622419,0.04120766213765,0.967182371576178
"scale(x)modern",0.300246249506428,0.0685006579352618,4.38311482774637,2.12509393466177e-05
"scale(x)Hofstede_6D",-0.10078619653812,0.0761957351534262,-1.32272752976501,0.187837298998858
"scale(x)new_gendist_weighted",-0.0217901770313489,0.0814799598177086,-0.267429894173967,0.789486953657606
"scale(x)religion_per",0.474734511630386,0.0861715953567362,5.50917630879484,1.43422439136191e-07
"scale(x)idealogy",-0.0953547617749749,0.0687127479659217,-1.38773029165223,0.167173154570559
"scale(x)demographics",-0.306633152966727,0.0725314209662971,-4.22759059289916,3.98408597282838e-05
