"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-2.62961710308992e-17,0.0725287235037686,-3.62562165174916e-16,1
"scale(x)Lexical",0.228276966251264,0.0953877657181632,2.39314721896035,0.0178931066762423
"scale(x)personality_all",0.00142781436585835,0.0845399259980392,0.0168892313188382,0.986546564941034
"scale(x)Coordinate",-0.0679856234388497,0.0888644498452037,-0.765048605570354,0.445398428477123
"scale(x)Climatic_demands",0.0467204891167897,0.0831505445080952,0.561878330360678,0.575005304490562
"scale(x)subsistence",0.240058407952524,0.0850501664065241,2.82255071442293,0.00538532810132378
"scale(x)disease",0.107820685638464,0.0843130571738883,1.27881361739847,0.202861801630084
"scale(x)urban",0.121320458897666,0.089930614667729,1.34904514270156,0.17927734042818
"scale(x)wealth",0.0607177931667511,0.0891379673582569,0.681166454275523,0.496776059626006
"scale(x)edu",0.0350629202436141,0.0814127100982438,0.43068115778608,0.667294679491617
"scale(x)Hofstede_6D",-0.0091407264773383,0.0938288799353125,-0.0974191153474292,0.922518616287542
"scale(x)new_gendist_weighted",-0.1976722187911,0.0959271547554749,-2.06064924259435,0.04099708029687
"scale(x)religion_per",0.0854157657636698,0.113990824387706,0.749321414442564,0.45479194388767
"scale(x)idealogy",0.0544305940626407,0.0808814906993803,0.672967246176853,0.501963816429593
"scale(x)demographics",-0.176435062123344,0.0869961057462096,-2.02807999978816,0.0442536715647429
