"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.93571386524521e-16,0.0649782648503904,4.51799362756847e-15,0.999999999999996
"scale(x)Lexical",0.0726067026797892,0.0854576118935795,0.849622415966953,0.39683705026428
"scale(x)personality_all",0.0484094178089495,0.0757390649739971,0.639160489049733,0.523655928706219
"scale(x)Coordinate",-0.146325172342391,0.0796133928584287,-1.83794669575999,0.06797238207436
"scale(x)Climatic_demands",0.167842351759024,0.0744943222835081,2.25308918336427,0.0256475991152716
"scale(x)subsistence",0.0252377941556066,0.0761961878185509,0.331221218254468,0.740921899886208
"scale(x)disease",-0.0152312606379547,0.0755358138780198,-0.201642900976101,0.84045860198454
"scale(x)urban",0.296390932007068,0.0805685667104629,3.67874152549096,0.000322189541889047
"scale(x)wealth",0.120601703525193,0.0798584363742362,1.51019365017396,0.133016879988048
"scale(x)edu",0.0258734636090203,0.0729374016719992,0.354735197798432,0.723267075725451
"scale(x)Hofstede_6D",-0.0848707802208124,0.0840610108178096,-1.00963311522339,0.314234533267579
"scale(x)new_gendist_weighted",-0.0559596823487749,0.0859408489068715,-0.651141838375541,0.5159129325852
"scale(x)religion_per",0.311749496992558,0.10212403610266,3.05265546574337,0.00266725294262256
"scale(x)idealogy",-0.0395332058712086,0.0724614838131771,-0.545575439403568,0.586137070813067
"scale(x)demographics",-0.287316864739393,0.0779395490096562,-3.68640655983006,0.000313401514119753
