"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.58985487113887e-16,0.0610173922020799,2.60557656393037e-15,0.999999999999998
"scale(x)Lexical",0.0179653003775242,0.0802483820331244,0.223871184968048,0.823150455071193
"scale(x)personality_all",0.0728400970133037,0.0711222474650217,1.02415347671805,0.307348293923382
"scale(x)Coordinate",-0.153148793542951,0.0747604083883416,-2.04852804906339,0.0421843016151737
"scale(x)Climatic_demands",0.153515501937565,0.0699533804121524,2.19454014992671,0.0296749775243413
"scale(x)subsistence",0.0128127664521186,0.0715515055246959,0.179070536086711,0.858114678897167
"scale(x)disease",-0.0200349563618971,0.0709313859228229,-0.282455447630703,0.777968711262388
"scale(x)urban",0.364280335803343,0.0756573578172766,4.81486991236374,3.45502899970169e-06
"scale(x)wealth",0.0843037970948577,0.0749905148146216,1.12419280362668,0.262658121864877
"scale(x)edu",0.04648333619464,0.06849136483204,0.678674403826383,0.498349757538673
"scale(x)Hofstede_6D",-0.0955069481009882,0.0789369134091729,-1.2099149051588,0.228141760295864
"scale(x)new_gendist_weighted",-0.0579978986917362,0.0807021624231438,-0.718665980567375,0.473421794547455
"scale(x)religion_per",0.346670435840123,0.0958988729305524,3.61495839571726,0.000404896383514819
"scale(x)idealogy",-0.0632442639231349,0.0680444574436297,-0.92945504011886,0.354089303690697
"scale(x)demographics",-0.260918437927407,0.0731885968473479,-3.5650148953069,0.000483233029764156
