,equality
USA,0.5870623773961866
UK,0.4063944748950153
Australia,0.7659877379304848
South Africa,0.614504440875144
Germany,0.7213731332822013
Japan,0.63012691354209
Israel,0.7314718882985712
CHN,0.6511457402260555
HK(region),0.6088991777359047
France,0.5484356547346865
Spain,0.5549009072012913
Mexico,0.7377159095786029
Chile,0.7910971538468026
Portugal,0.6066641081829025
Brazil,0.24531020817127178
Russia,0.16052213104406673
Egypt,0.1369630368288306
Qatar,0.1899948671548498
India,0.07318757144946517
