"","USA","UK","Australia","South Africa","Germany","Japan","Israel","CHN","HK(region)","France","Spain","Mexico","Chile","Portugal","Brazil","Russia","Egypt","Qatar","India"
"USA",0,0.454353754016062,0.527190722820925,0.483514763325258,0.511717272984677,0.653203903460236,0.649147970498215,0.693398947043229,0.680559229160571,0.754049513775189,0.621275086912185,0.520194520911168,0.688358829037669,0.681652149498679,0.684782624136495,0.702764221864827,0.775095739414199,0.764017375943382,0.707116274865404
"UK",0.454353754016062,0,0.392842393057699,0.623622699325227,0.464307261070621,0.626875034901028,0.567807648209905,0.583027903540332,0.604204467790171,0.664038393839442,0.481569903298033,0.42405965406804,0.733792557928388,0.56208981017403,0.79692601754863,0.764989233309654,0.885678999116989,0.850688188107616,0.774949820112837
"Australia",0.527190722820925,0.392842393057699,0,0.607449719584772,0.568794821836127,0.688786246429566,0.660746527520187,0.570411666441782,0.760417887006564,0.591587175675838,0.668209287773591,0.557213575172067,0.843806253518045,0.616671573269227,0.839530693518281,0.856584239163067,0.940881832107341,0.846478529638095,0.840415464209177
"South Africa",0.483514763325258,0.623622699325227,0.607449719584772,0,0.559788849499197,0.701282449184711,0.786738549583364,0.754419000246241,0.764110678989901,0.749256505168975,0.745618696606449,0.653522708993218,0.700784806103207,0.739955797451374,0.736154271608485,0.82483893104594,0.730888678963051,0.787265991682277,0.755188285893286
"Germany",0.511717272984677,0.464307261070621,0.568794821836127,0.559788849499197,0,0.46540447609273,0.615849473068622,0.619929082316289,0.626525876706672,0.678204998965288,0.531466322304839,0.491359397131828,0.655415194587102,0.616106154979821,0.750146262960609,0.817601737703375,0.836068200803816,0.732231244399192,0.821832777987975
"Japan",0.653203903460236,0.626875034901028,0.688786246429566,0.701282449184711,0.46540447609273,0,0.657123611009728,0.632275279000005,0.571305653602966,0.777095517753652,0.562106530824857,0.496010001004441,0.635090904324716,0.650234906610915,0.832777884126978,0.805042082700818,0.851397695222599,0.810771778430861,0.896266398164737
"Israel",0.649147970498215,0.567807648209905,0.660746527520187,0.786738549583364,0.615849473068622,0.657123611009728,0,0.573978351805622,0.529783718078165,0.748144452855521,0.431999381283054,0.62320017414132,0.843048383125913,0.750736847664243,0.889912054019683,0.869970335788179,0.907167991800745,0.876309271281217,0.888526150801397
"CHN",0.693398947043229,0.583027903540332,0.570411666441782,0.754419000246241,0.619929082316289,0.632275279000005,0.573978351805622,0,0.646190444475887,0.679400858396071,0.618363946411281,0.634849410296996,0.891885985686455,0.722565170319009,0.938201587684819,0.902201794888875,0.924587408697842,0.909948285840235,0.90674945468561
"HK(region)",0.680559229160571,0.604204467790171,0.760417887006564,0.764110678989901,0.626525876706672,0.571305653602966,0.529783718078165,0.646190444475887,0,0.841669309133823,0.468743794623083,0.59445639478633,0.66579140644485,0.72281386283844,0.81279462841138,0.772752121252005,0.909141368545963,0.878290248898033,0.821737694461165
"France",0.754049513775189,0.664038393839442,0.591587175675838,0.749256505168975,0.678204998965288,0.777095517753652,0.748144452855521,0.679400858396071,0.841669309133823,0,0.746512413942114,0.742477444884407,0.914187925483459,0.653803105511669,0.857893235357037,0.931025220624193,0.941157877013408,0.890016493909716,0.87626347374728
