"","USA","UK","Australia","South Africa","Germany","Japan","Israel","CHN","HK(region)","France","Spain","Mexico","Chile","Portugal","Brazil","Russia","Egypt","Qatar","India"
"USA",0,0.635874927823112,0.467338269592259,0.485251706934837,0.473240837131096,0.619639700825408,0.477850436037955,0.613830430223674,0.611265628399994,0.636338322336448,0.621448807342612,0.474756390975676,0.417739478826536,0.647401683822023,0.844391010976197,0.896655074617296,0.961531571248835,0.911632567722502,0.917636971425628
"UK",0.635874927823112,0,0.58389544016534,0.670840646373082,0.685707143069721,0.667604970571914,0.650465578638993,0.664227286228903,0.735645620526168,0.730287034313423,0.747679061931241,0.701377160569918,0.663685960840152,0.712862139194753,0.846881749633481,0.951943685650751,0.961448939385944,0.956940510953065,0.992741249122446
"Australia",0.467338269592259,0.58389544016534,0,0.435773586170413,0.393208971821671,0.375381646687323,0.324096237511273,0.400542425604532,0.460059705021668,0.537226168915957,0.513132027213238,0.379291420252132,0.283817549870019,0.460120795504103,0.731159887330086,0.889625902466759,0.956429322288981,0.887770528680771,0.940157290873641
"South Africa",0.485251706934837,0.670840646373082,0.435773586170413,0,0.494101871343148,0.525813162565561,0.425466628689739,0.535357165099382,0.534713744686288,0.616167150236487,0.561730898861587,0.472689160004328,0.428206426861375,0.559247605173752,0.784678313252645,0.931659310377211,0.988264743882841,0.967105149026108,0.980153107058908
"Germany",0.473240837131096,0.685707143069721,0.393208971821671,0.494101871343148,0,0.480025841351615,0.352571312373241,0.427859491435191,0.463160600780899,0.511841299229619,0.507933295984939,0.322195646374039,0.296541091678665,0.472668562325956,0.820442828507055,0.910820500183653,0.934230914906527,0.8921540501136,0.972211708624684
"Japan",0.619639700825408,0.667604970571914,0.375381646687323,0.525813162565561,0.480025841351615,0,0.49021107431171,0.444777419690673,0.518901430181675,0.540248202534501,0.593598751166287,0.450912178558786,0.459533869293744,0.504536502463364,0.807180547724378,0.928617552393904,0.936275938334826,0.899194698570834,0.989315276462227
"Israel",0.477850436037955,0.650465578638993,0.324096237511273,0.425466628689739,0.352571312373241,0.49021107431171,0,0.487974260977305,0.509882056678126,0.458650851624064,0.448263563714228,0.382504837443032,0.277839723583973,0.578063897814156,0.76964894836956,0.921114705555144,0.920091993958915,0.886030453404631,0.973096030439941
"CHN",0.613830430223674,0.664227286228903,0.400542425604532,0.535357165099382,0.427859491435191,0.444777419690673,0.487974260977305,0,0.356197595505482,0.570946034143095,0.604858866886143,0.449531092085989,0.423493592473374,0.444275966869981,0.809759144769045,0.950458712362724,0.967279136418076,0.945880960889947,0.94608897775876
"HK(region)",0.611265628399994,0.735645620526168,0.460059705021668,0.534713744686288,0.463160600780899,0.518901430181675,0.509882056678126,0.356197595505482,0,0.595217374859599,0.613721907232859,0.426617154387609,0.456989430332478,0.507751990171405,0.82042719503576,0.946828047525134,0.953963599508436,0.940690491428058,0.980998356155338
"France",0.636338322336448,0.730287034313423,0.537226168915957,0.616167150236487,0.511841299229619,0.540248202534501,0.458650851624064,0.570946034143095,0.595217374859599,0,0.53080482424192,0.502612558712433,0.474039309945611,0.635970422479171,0.861813633276704,0.931998566381284,0.957378117792887,0.920932130678255,0.985501194380849
"Spain",0.621448807342612,0.747679061931241,0.513132027213238,0.561730898861587,0.507933295984939,0.593598751166287,0.448263563714228,0.604858866886143,0.613721907232859,0.53080482424192,0,0.514856784594599,0.444364087193319,0.613902437568226,0.898962149335077,0.934729328876567,0.962191318615629,0.936715239148257,0.971950774964941
