"","USA","UK","Australia","South Africa","Germany","Japan","Israel","CHN","HK(region)","France","Spain","Mexico","Chile","Portugal","Brazil","Russia","Egypt","Qatar","India"
"USA",0,0.312549026427419,0.248159148382962,0.293099902180326,0.295512303477073,0.326159912880649,0.312908767827378,0.341323136452304,0.389116688512775,0.486980610333683,0.384213052981487,0.320794748079176,0.31060146961029,0.396839041744942,0.447167029713493,0.592584973899114,0.582902341712502,0.622583523019751,0.602651535472845
"UK",0.312549026427419,0,0.242227875376028,0.331635921385537,0.307284490935157,0.345335255781861,0.336980983171602,0.337409461313294,0.422647898679202,0.430350089418456,0.38975505958658,0.361400388091335,0.371836202095192,0.435878912355808,0.505005913117606,0.621497140944586,0.615840820166316,0.561688925441225,0.654641800299611
"Australia",0.248159148382962,0.242227875376028,0,0.239390214637609,0.239440349603301,0.261506698141117,0.256585922661661,0.257746056952667,0.311269266560838,0.392435823588073,0.333601940352192,0.296013081755158,0.279514414426324,0.347524490193802,0.437812255363034,0.598669895195118,0.54594286286523,0.584983498073567,0.677891183294089
"South Africa",0.293099902180326,0.331635921385537,0.239390214637609,0,0.326800489133075,0.307216621742745,0.31646243603385,0.339877682748508,0.353814099380292,0.470068207443402,0.347865862744539,0.312712333311179,0.283260765730822,0.399011465130279,0.468849409743334,0.597933023644205,0.569313823748223,0.626443724454207,0.631769555176115
"Germany",0.295512303477073,0.307284490935157,0.239440349603301,0.326800489133075,0,0.269669701374863,0.248336191627805,0.312104602459136,0.374070490968848,0.382383029655157,0.323819978618184,0.310434809322646,0.277405781334732,0.346179355411769,0.492719987509692,0.601498811190164,0.597564156173953,0.555396923530937,0.687631992201132
"Japan",0.326159912880649,0.345335255781861,0.261506698141117,0.307216621742745,0.269669701374863,0,0.27516991142994,0.25201852534887,0.305575153256045,0.440034942520434,0.376603997912525,0.275059055834655,0.272270395054561,0.363059640309803,0.485665037833691,0.591740614749165,0.559246797434956,0.539433529398939,0.672849017174601
"Israel",0.312908767827378,0.336980983171602,0.256585922661661,0.31646243603385,0.248336191627805,0.27516991142994,0,0.264197957921183,0.306196829660696,0.396909050965008,0.317136023530993,0.336101768792618,0.274857740330237,0.38400910252609,0.48640471963165,0.559727468477353,0.522968136092411,0.5535174582672,0.626433315642488
"CHN",0.341323136452304,0.337409461313294,0.257746056952667,0.339877682748508,0.312104602459136,0.25201852534887,0.264197957921183,0,0.235545015491143,0.414091040980446,0.357916887483541,0.316351922257116,0.295602256056345,0.396986716217018,0.514550407716829,0.57252457572564,0.545633532311405,0.551158550650198,0.689076178343193
"HK(region)",0.389116688512775,0.422647898679202,0.311269266560838,0.353814099380292,0.374070490968848,0.305575153256045,0.306196829660696,0.235545015491143,0,0.439548288336462,0.386435267037503,0.314058633411521,0.27480704231123,0.418317287388999,0.497351707410536,0.579567611802371,0.564208108641823,0.598319784773346,0.708386316920153
"France",0.486980610333683,0.430350089418456,0.392435823588073,0.470068207443402,0.382383029655157,0.440034942520434,0.396909050965008,0.414091040980446,0.439548288336462,0,0.396110030724932,0.398822124004444,0.36595045801977,0.439809379866204,0.548890111376837,0.684699070750701,0.645447580349829,0.602507626187836,0.695140208000385
