"","Formality","Activeness","Valence","Exchange","Equality"
"Parent-Child",-0.0568805567202962,1.71569568036281,-1.26650094745859,-0.667863367806926,1.53880525781235
"Parent-Teenager",0.0243759954394794,1.40413973573377,-1.80424464165197,-0.480726798294975,1.19919455341485
"Wife-Husband",-0.348573456548747,0.720681107255458,-0.376680436263223,0.348137884880127,2.75813732406667
"Fiance-Fiancee",-1.00417398914617,0.187998713945525,-0.139759705978083,-0.0702215504372768,2.45238403489515
"Siblings",-0.234040620983307,0.894657547876867,-0.698387549939175,-0.897994223500807,1.2266226615085
"Divorced spouses",-0.407944013285964,-1.74138795966771,-0.170597724035323,-0.179227170518013,-0.442704467502045
"A person and their in laws",-0.0340597299393002,-0.182762513344679,-0.424345745753097,-0.525592145887079,-0.102984218924988
"Cousins",0.0118576585157289,0.628510505170464,-0.522303644501296,-1.20907169164402,0.086891693776318
"Employer-Employee",-0.00294653627443009,1.45678886292234,-0.894345692083162,1.98378900889422,-0.591420812845268
"Interviewer-Job applicant",0.0884174643662735,0.175299436494329,0.0175401949422064,0.815865185869974,-0.705575333612826
"Guard-Prisoner",-0.395713489539329,-0.563779557663917,-1.0380663112665,-1.03790453151893,-1.3357098952863
"Nurse-Patient",0.506232964548051,0.180565172846553,0.896509357683751,0.827287727513067,0.281276280522741
"Therapist-Patient",-0.141002662129097,0.774991560646673,0.66963147237208,1.20903588094355,0.460040130773905
"Salesperson-Customer",-0.410039244894009,-0.218015492463726,0.505796294676858,2.17758964650691,0.227228639141693
"Business partners",-0.841343490189459,0.647529703050762,-0.0958430382901339,1.92114183443272,0.0585642042858698
"Opposing negotiators",-0.102405653718094,-0.248255039529953,0.482937647074805,1.03101450415213,-0.0497537000686434
"Political opponents",1.18028838179114,-0.353105316984585,0.145445590961934,-0.625140404179275,-1.0598236749431
"Business rivals",0.264118574591257,-0.681676229684307,-0.778926538525828,0.687255883680737,-0.669720872826214
"Enemies",-0.319279050204541,-1.35576183500005,-0.921813299591204,-0.766511451433164,-0.461127027689698
"Teacher-Student",1.13523181723928,1.91753582649814,0.517174445572764,0.0315331558175144,-0.735588584614002
"Professor-Graduate student",1.29358710550906,1.84609035764028,0.85191068515087,0.00434842487712594,-1.23671823904428
"Master-Servant",-1.45253421899843,-0.52614470854986,-0.799723443389098,0.0189127416743169,-0.634780203142589
"Close friends",0.453368523883964,1.5172283539464,0.326716715060539,0.049702602442877,1.72048136676736
"Casual acquaintances",-0.340251998322697,-1.91554995027784,2.18554028821591,-0.84798283393502,-0.708635966351347
"Teammates in sports",0.41012994767378,0.987779777622423,0.193227788806305,0.18953140854287,-0.562633879757593
"Second cousins",0.489516767248237,-0.249258054955676,0.312034442889537,-0.731956885572775,0.750401881358404
"Parent-Infant",0.0745711275172171,1.26895439084596,-0.281828692851557,-1.10692943038226,1.17482188432022
"Grandparent-Grandchild",0.192088703301846,1.15830005671767,-0.478338874022014,-1.05345838315631,1.10774031832558
"Step-parent-Step-child",-0.0848689856547605,0.753802021008706,-0.407976956547267,-1.36050588788724,-0.318303526530995
"Foster-parent-Foster-child",-0.224657290144793,0.970196088177455,-0.339551927420006,-1.33736019401073,-0.39555844117234
"Godparent-Godchild",0.021480265529247,0.159280177515479,-0.302508790555114,-0.936044547404538,0.422347967600622
"Step-grandparent-Step-grandchild",-0.359958334171238,0.6440049722547,-0.390254282793034,-1.36406498078303,-0.355952534981172
"Ancestor-Descendant",0.677749631216053,2.08564090793326,-0.796414684377502,-0.370552257127753,0.589435165472404
"Bride-Groom",0.126829079634378,1.24457571958015,0.192436128680738,0.200345901564653,1.86235080286416
"Man-His Mistress",-2.988087388791,-1.08003355873528,-0.684458893240221,0.632307206351566,1.40024158532765
"Man Wife-Man Mistress",-2.51099125844685,-1.02723932658179,-0.713833025128076,-0.116878981947072,0.437141365920478
"Brother-Sister",1.10746475601613,1.49229715582034,-0.300190075540157,-0.452188889910019,0.289820573703699
"Step siblings",0.699798552151501,0.448269334154194,-0.962783279883865,-0.888781311857807,-0.513889700251282
"Distant relatives",0.108318543776947,0.698980452177117,-0.589776491601257,-0.684292439425673,-0.804455148735119
"Close relatives",0.706714630164775,1.97190879076766,-0.551487296575434,-0.408585192160052,0.435142781771882
"Twins",0.201520131359302,-0.0586567240690666,-0.336780885668156,-0.509892013696705,2.08169121336963
"A person and their family friends",0.579664095785551,0.137125918846652,-0.205257307716958,0.351321628021592,2.4383209811454
"A person and their deceased spouse",0.584628753835616,-3.06210785725375,0.406811450076195,-1.50664708712624,1.10804279013985
"Manager-Staff",0.529451779365371,-0.157238838264856,-0.919103909194281,2.0554755689509,0.0264090906341883
"Foreman-Laborer",0.199687664619347,-1.02130594771102,-0.934814239544904,2.19519022081011,0.326967956731404
"Owner-Manager",0.755499352464967,-0.501435818881367,-0.805816215257681,1.88278826756372,-9.06115353954684e-05
"Union leader-union member",0.198416857801034,-1.32441411074878,-0.330757291076291,0.490740844517969,0.480832753450022
"Manager-Assistant",0.43639215166467,-0.504357734607881,-0.514888253890439,1.04994681577685,-0.309629729587624
"Chief-Deputy",1.1991611304442,0.440275860938428,-0.169598815449785,1.44015346813059,-0.563871533156406
"Supervisor-Subordinate",0.659213178221225,0.26234821657435,-0.870899469119211,1.46858060484688,-1.05218829574615
"Boss-Secretary",0.173063087328248,-0.0329778240140531,-0.164550005032591,1.17225017697321,-0.479009332608133
"Entrepreneur-Investor",0.0464688561537265,-0.882753816286371,0.176051847052328,2.75409582903256,0.103538609090259
"Intern-Employee",1.13097661698631,-0.231755066541113,0.470376092130042,0.431120710829403,-0.825350314572036
"Lawyer-Client",0.0859642044864246,-0.663685672618313,1.15044178747081,1.6686026237293,0.12107122777192
"Judge-Lawyer",0.970874157300128,-0.584653783810541,0.585549092419516,0.685859626957579,-0.753249399415729
"Victim-Criminal",-1.05962902901681,-2.06153901773507,-1.74085669141082,-2.35199174684962,-0.762128319267883
"Drug dealer-Addict",-2.6673246355881,-0.587436420054184,-1.68042646140543,1.60538007142889,-0.16280339727618
