"","Formality","Activeness","Valence","Exchange","Equality"
"Parent-Child",-1.70069823724354,1.43899635426851,-0.365326145361486,0.508554142366946,-2.45106640413824
"Parent-Teenager",-1.31346396057197,1.49348475390971,-1.38717817006767,0.735171579934997,-1.69226863042094
"Wife-Husband",-1.95832659141694,1.34939884554878,-0.971919606632165,1.07535050817697,0.117275351211927
"Fiance-Fiancee",-1.982289924821,0.810860274911175,-0.450481832127354,0.95651282144029,0.242701109952196
"Siblings",-1.07996957524225,1.12339906708787,-1.10147922947986,-0.383486318232467,0.110533087868585
"Divorced spouses",-0.094923996546834,-1.11223548849722,-1.29726681869463,0.213798178123935,-0.0883239856915639
"A person and their in laws",-0.713086934986941,-0.877391680887245,-0.0647466446076371,-1.01422925294242,-1.5725219023638
"Cousins",-0.797183434333416,-0.539359720720015,0.28552481116268,-1.09777230479745,-0.22507745983598
"Employer-Employee",1.22712652617151,1.17930125356004,-0.346233636294119,0.848996154433053,-0.232573307541915
"Interviewer-Job applicant",1.16604698455512,-0.2048599619165,0.306647260307824,0.178261991796565,0.0250945340910909
"Guard-Prisoner",0.665653065161959,-0.296246337363351,-1.55820639611727,-1.00969401257715,-0.868146718477769
"Nurse-Patient",0.43550991412099,0.669030672821115,0.445427625749159,0.136356061998179,-0.367013576544055
"Therapist-Patient",0.161965847013818,0.662430809838299,0.534747328890614,0.0439795256809846,-0.670785621211764
"Salesperson-Customer",0.773502941413134,-0.90465149487195,-0.0352697540953421,2.51004346709681,0.592731207222322
"Business partners",0.404679578722779,1.05616111472823,-0.592685910875027,1.63716139774369,1.03732341269067
"Opposing negotiators",0.674752241560582,-0.534252662674262,-1.59780433612387,0.809266469082183,0.327751451242782
"Political opponents",1.5562774881647,0.479555328417646,-2.36129634831728,-0.848763429190269,0.874584423787775
"Business rivals",1.19290139571144,-0.314759791771967,-2.24510363888926,-0.094865728609495,0.951890058653456
"Enemies",-0.0774697328990434,-1.02720544352706,-2.77411530648137,-0.742839981668721,0.268437681944458
"Teacher-Student",0.894926013693848,1.59650765936019,0.621767502796197,-0.280243091766198,-1.07851588549657
"Professor-Graduate student",0.977398046931418,1.06675416506137,0.721837249254675,-0.0994125475954233,-0.532091048990796
"Master-Servant",-0.210693876737068,-1.53392750765464,-0.557906018745401,1.49035727996635,-1.65874832479997
"Close friends",-1.79112485894503,0.931804628082457,0.224577059795464,0.504815860388624,1.29678278183011
"Casual acquaintances",-0.665603362293191,-1.11847057271896,0.608147475661533,-0.405779871502003,0.827576091782222
"Teammates in sports",1.33498545077911,1.14221656470816,-0.149559615604358,-0.471882865811064,2.70715334504265
"Second cousins",-0.594347708431893,-0.99998917186869,1.10416712297786,-1.70481037359267,1.26834198717533
"Parent-Infant",-1.59428470425533,1.56255812647778,0.660830440719429,-0.0100797491287623,-1.68378090659505
"Grandparent-Grandchild",-1.62320316540715,0.609767909379276,1.01607086372918,-0.211450232834113,-1.99900117348582
"Step-parent-Step-child",-1.19017963730885,0.937865679094626,-0.0867613607465885,-0.278171241448964,-1.69728902211531
"Foster-parent-Foster-child",-0.941482012116457,0.889436993423778,-0.0910088704829148,0.0939955886761672,-1.58408786485555
"Godparent-Godchild",-1.15358962692753,-0.557182261384926,1.58743860465279,-0.840092205922182,-1.55396952787802
"Step-grandparent-Step-grandchild",-1.03491020144871,-0.125927388766817,1.19470795979745,-0.637389459419873,-1.74400136453361
"Ancestor-Descendant",-1.28217352269497,-1.51777092723257,1.9921509148991,-2.11957757381749,-1.86239362924896
"Bride-Groom",-2.37257690878604,0.641020541252826,0.18234805175491,1.30876900852273,1.04579108012623
"Man-His Mistress",-2.13844799935504,-0.984768891863065,-0.390551724584549,2.42096454447871,-0.987167469375341
"Man Wife-Man Mistress",-0.5029690737955,-1.64235717495993,-1.41700612983207,-0.326900586149987,-1.45176925068514
"Brother-Sister",-1.08524872505921,0.787469535026347,0.379512703896009,-0.378189176789137,1.39884633072989
"Step siblings",-0.772303572501277,0.119781971932574,0.0846644591536808,-0.875751052764307,1.26684584990916
"Distant relatives",-0.300210950418963,-1.11660985600802,1.13084027177815,-1.53644350080453,0.140154586870256
"Close relatives",-1.20032710504254,0.574550451086554,0.462146530334771,-0.262502797601884,0.89970101735099
"Twins",-0.386661810282405,1.16128259117397,0.832165644773198,-1.77344455433502,2.3183460939976
"A person and their family friends",-0.443683514722361,0.562644828775897,1.10389472075336,-1.25348656377852,1.8970846386358
"A person and their deceased spouse",-1.1707820972776,-1.01503224527979,1.68761574153023,-2.19291192672021,-0.0157391343844208
"Manager-Staff",1.32812465095698,0.0864713169509404,0.606532017060432,0.055660410839927,-0.379304717623066
"Foreman-Laborer",1.30071254030966,0.194230473720997,0.447707957747962,0.0379147899661621,-0.693540860812576
"Owner-Manager",1.22973974354204,0.19268163450308,0.412228099393227,-0.212505885663067,-0.70198128595101
"Union leader-union member",1.27443750346377,-0.232783986351757,0.815614698241525,-0.500173554904222,-0.221552076834334
"Manager-Assistant",1.06958541648029,0.142103514392926,0.596334899706663,-0.0209847637020428,-0.465571274584677
"Chief-Deputy",1.20556265190719,0.648585544927791,1.20646188612428,-0.293090152425008,-0.305985393518074
"Supervisor-Subordinate",1.33787684379223,0.355616586899804,0.90742458089632,0.359232105226646,-0.362711560940713
"Boss-Secretary",1.22460941519425,0.258293817394369,1.06245912469944,0.0592634395443785,-0.866566158374795
"Entrepreneur-Investor",0.667257250486648,-0.70131907883473,0.675507544117844,1.75141277866395,0.804650288124495
"Intern-Employee",1.03244077048102,-0.337071350871041,0.898414070694587,-0.419378251456227,-0.405575811981839
"Lawyer-Client",1.00247852798807,0.109063002689731,0.714614236349145,1.46153938280817,-0.272501619360066
"Judge-Lawyer",1.40556581274381,0.497487976458849,0.0890187232021407,0.103548796984416,0.086978039028393
"Victim-Criminal",-0.634841979764465,-2.51196756628339,-2.1047602559548,-1.3383861938534,-0.857825863535535
"Drug dealer-Addict",0.0107664943002897,-0.849491504485421,-0.211837451466544,2.69801243101978,0.884875535336756
"Victim-Witness",0.326745848257494,-0.423473772287089,0.229711639214209,-1.59347298754862,-0.172496923190956
"Criminal-Police officer",1.06216406900224,0.391897069751559,-2.27728957103758,-1.56637555125465,-0.729860319380091
"Criminal-Prosecutor",1.21995194788222,0.325787674939136,-1.71751082973844,-1.05284568344687,-0.43609614155289
"Criminal-Hostage",-0.424996149693225,-0.915505594279453,-2.84873469509505,0.0542012605603265,-0.529413141458211
"Defendant-Plaintiff",1.11706686103063,0.564088109017798,-1.58351201514791,-0.995429707139547,-0.0504473255170658
"Police officer-Offender",1.02733272844025,0.536698076825798,-2.48564059254862,-0.868661312036458,-0.47081764037082
"Police officer-Civilian",0.454252948741756,-0.382026926354922,0.657027165372657,-0.767904354244844,0.400530286247109
"Parole officer-Parolee",1.21303637661983,0.687506712184246,-1.62207910414578,-1.07552753334058,-0.759365829131914
"Consultant-Client",0.97427606491688,-0.60969952534728,1.09935022056566,1.466122535426,0.212763919003387
"Chef-Customer",0.874487480190102,-2.15464762613419,2.60777708483965,0.654383577656007,0.329597608499934
"Customer-Server",1.24830190637499,-1.14000653767135,2.27446309241615,1.27408113890753,0.545083035418921
"Customer-Businessman",1.25870343759571,-0.911528727032085,1.31482850184973,1.65198270607149,0.736135469644678
"Doctor-Patient",1.07249574699317,0.957236262882729,1.13669720798342,0.472188688577824,-1.18568264738384
"Doctor-Nurse",0.869126107432136,1.01094747119632,0.883079557435687,-1.30591008549578,-0.769672521428561
"Patient-Caretaker",0.184821090573862,1.43705442265927,0.339873320503432,0.072388004616137,-1.46917490627109
"Driver-Passenger",0.491912708871301,-0.5118394053392,1.2864983867008,-0.335643687945413,-0.305871519401043
