"","Formality","Activeness","Valence","Exchange","Equality"
"Parent-Child",-0.944801977728744,1.55678460685587,0.354697996226173,-0.966661655136691,-1.7794227403727
"Parent-Teenager",-1.19280205146531,1.32920800910375,0.220907115878828,-0.889485810485366,-1.69140387899941
"Wife-Husband",-1.09259765988507,1.96815171599911,0.434775559490808,-0.316753513228666,0.70876041346657
"Fiance-Fiancee",-1.26200292383826,1.24564328014159,0.492802885305281,-0.479597602880845,1.09600334038954
"Siblings",-0.375409417801314,1.19350545494784,0.648252385813491,-1.14104723796306,0.850820157659038
"Divorced spouses",-0.890748343372458,-0.338701665231982,-1.34658727036024,-0.396520842835508,0.985697609287752
"A person and their in laws",-0.835694605608567,0.636028238350482,0.0292663382688095,-0.814389183369547,-1.37288027363608
"Cousins",9.7487919570597e-05,-0.139603529617679,0.975746959012895,-1.3528655557901,0.760109635953545
"Employer-Employee",0.35661970982755,0.718656026889586,-0.155311736732793,1.71765625069363,-0.709444765721262
"Interviewer-Job applicant",1.09100947671834,-0.684177223595567,-0.0171934709013444,0.57166698751821,-0.245118870667386
"Guard-Prisoner",0.912086673812437,0.120618191445817,-2.34390663739379,-1.15762076367906,-1.66237553035577
"Nurse-Patient",0.853797036911745,0.120578559118342,0.499211291788816,0.813053940006277,-0.273312674294289
"Therapist-Patient",0.628812115740937,0.372950842833871,0.451305759190868,1.34870171871672,-0.314453024613763
"Salesperson-Customer",0.487211660936133,-0.196015464019327,0.309151807981823,1.87207112978136,0.822750322059674
"Business partners",-0.125182172679389,0.847945291460879,-0.0111820097555203,1.73652153293408,0.511297969801087
"Opposing negotiators",1.23192669907522,0.598898969153838,-1.78773074358977,0.0297737331150104,1.44907352736816
"Political opponents",0.557908710740042,0.633937279583319,-2.62427615560878,-0.411804749116696,0.550998033210113
"Business rivals",0.147048014398443,0.824751156722123,-2.44463890088008,0.274323089994292,0.849501637640356
"Enemies",-0.806715817947055,-1.09120702990539,-2.60280036718986,-0.795766139267853,0.465051134944765
"Teacher-Student",1.19692141224619,0.813688844893549,0.519801816815084,-0.423315194319243,-1.40220392455409
"Professor-Graduate student",0.848467322596243,0.594614607625184,0.443814727041165,0.298352151959496,-0.81690236777616
"Master-Servant",-1.21818250434744,-0.0583444114344481,-0.117211443006497,1.87514400992094,-1.55801168259473
"Close friends",-0.258976872366702,0.765025629067377,0.739939865800395,-1.22184409228821,1.52051554259835
"Casual acquaintances",-0.153155207444743,-2.67044762962024,0.489121522656776,-0.520518566612896,0.722478246368451
"Teammates in sports",0.830753764044652,1.78284262190862,0.403032420943857,-0.144174728471408,1.80267512675313
"Second cousins",-0.483286834139611,-1.00036067055236,0.848085475014255,-0.981857964093675,0.759198366348887
"Parent-Infant",-1.01948382853437,1.18127465916086,0.801759139874055,-1.09428771096302,-2.1928951785275
"Grandparent-Grandchild",-1.0210844661298,0.950845463079824,0.936550890596207,-0.848905999712882,-1.83521922665637
"Step-parent-Step-child",-0.805210116956673,0.614151932354198,-0.0875036259799622,-0.752249215759642,-1.75428618071451
"Foster-parent-Foster-child",-0.642766539433422,0.42025677071782,0.383051156394786,-0.927526948175598,-1.68123123082561
"Godparent-Godchild",-0.473325961803068,0.754537007053634,0.750257503691462,-0.518662948353196,-1.43221541113752
"Step-grandparent-Step-grandchild",-0.94652681773516,0.110557932379967,0.71160043707334,-1.04602481794624,-1.73937404964246
"Ancestor-Descendant",-1.08400320812331,-0.945249601965081,1.07663406004102,-1.16209918581867,-2.68148735650815
"Bride-Groom",-0.840564010214062,2.15840612609204,0.305915440354922,-0.687025515202425,1.12877195199713
"Man-His Mistress",-3.51917972370274,0.239722492140382,-1.01818449531388,1.25944395866053,0.00108040013410843
"Man Wife-Man Mistress",-1.78082700376881,-1.80925523679045,-2.02914796536334,-0.607051059709861,-0.454280842799426
"Brother-Sister",0.0419579357111261,0.799422434331469,0.685852307817006,-1.51262842450617,-0.0515791511420349
"Step siblings",-0.385778962866136,0.730640395719274,-0.305532176946138,-0.861947927518299,0.170357884600894
"Distant relatives",-0.478761515677014,-1.82051935759606,0.960511536350644,-0.480219176741539,-0.240542782448488
"Close relatives",-1.66125420866854,0.498702942501461,0.730945548197947,-0.43753617675102,-0.633649714367539
"Twins",-0.636657546929508,1.03695757983566,0.617161218024623,-1.05923214149465,0.938507301834475
"A person and their family friends",-0.0998576911288527,-1.53068213550559,0.915233921496766,-1.1449075661391,-0.681011515539481
"A person and their deceased spouse",-1.07881327855332,-0.526871936480288,0.827259895303428,-1.24259206988718,0.45538981432982
"Manager-Staff",1.12478690081105,0.709228429737661,0.0783967308543488,1.20551329769587,-0.705387772768511
"Foreman-Laborer",0.47444655843242,0.223088193596472,-0.0123526414798792,1.42761761937561,-0.419254875828673
"Owner-Manager",0.773795061861242,1.37638073938479,-0.359430059359335,1.30418332492648,-0.70344837754765
"Union leader-union member",0.977701044454103,0.256046494583787,0.123005389890121,0.203816406897115,-0.0765648530755137
"Manager-Assistant",0.505153984748833,0.821276192452278,-0.0512831509382,1.53802358869076,-0.146261119435165
"Chief-Deputy",0.964013631500042,-0.120676067343493,-0.0187217765970788,0.642807873124796,-0.427704334652182
"Supervisor-Subordinate",0.65330379309279,0.730141623320491,-0.255908315226019,1.08302563570999,-0.870877112683979
"Boss-Secretary",0.380679242154564,0.324113158943085,0.357495994107329,1.33360476563587,-0.618945293823308
"Entrepreneur-Investor",0.42449950446794,0.872246610157587,0.142823131794796,1.49053035437657,-0.111754275199005
"Intern-Employee",0.882956983494295,0.0698450634074134,-0.258769185521506,0.124967039031258,0.294497162933164
"Lawyer-Client",0.847894231732568,0.30602084472643,0.489444831811947,1.54587868375308,0.340380325775003
"Judge-Lawyer",1.77011799017873,0.268801207688708,-0.386686545652529,-0.232420651046399,-0.211337443334828
"Victim-Criminal",-0.51438108754245,-0.29017885329733,-2.8359173610924,-0.928447714944608,-0.659349081215893
"Drug dealer-Addict",-2.41745066058016,0.379122005561383,-1.58535419991667,2.41528389153102,-0.590050966971238
"Victim-Witness",-0.0900640292904721,-0.949781934253357,-0.928766602832154,-0.678090818434229,-0.432010585545551
"Criminal-Police officer",1.3097092840677,0.335082592489554,-2.40435041870322,-0.971478506477605,-0.825430254694497
"Criminal-Prosecutor",2.00028934562681,0.226329811619349,-2.25735916227826,-1.52322438171181,-0.68290488614811
"Criminal-Hostage",-1.1494272096054,-0.0701088303218733,-3.03425929810868,0.158883009050274,-0.676633771915075
"Defendant-Plaintiff",0.849807351158564,0.234822500227205,-2.46134940990762,-0.841821223172613,1.14086706656531
"Police officer-Offender",1.54438220655014,0.343509016780392,-1.66846669566222,-0.263602518839113,-0.0216967838382575
"Police officer-Civilian",1.48494633575632,-0.656050030770926,1.00405556819517,-0.545775581072644,-0.956561981221329
"Parole officer-Parolee",0.758062217981528,0.0532774451360835,-1.18312089286719,0.284359249781279,-0.551794716410885
"Consultant-Client",0.45369475270255,-0.344419186707441,0.387218080421023,1.5627826067204,0.0473025069582392
"Chef-Customer",0.156778299341791,-1.97317644419316,0.885389890011645,1.74296373218288,-0.240128996495665
"Customer-Server",0.59188770491422,-0.638079083099414,-0.0216661571683967,1.34136704009012,0.252450495791974
"Customer-Businessman",0.673240954936516,-0.912211552464123,0.579676726711373,1.68743710212454,0.349394559356589
"Doctor-Patient",0.845884445836559,0.623779753665632,0.229267741842663,1.14219415793673,0.134206312686762
"Doctor-Nurse",1.57814884673053,0.43747271994028,0.486149904854885,-0.0757787221054139,-0.284317029331831
"Patient-Caretaker",0.437157932676274,-0.218496995699739,0.707684904870076,1.34617452647519,0.197462193088559
"Driver-Passenger",0.278718742742616,-1.62506194455349,0.717631994280492,1.85256382487184,0.566014607101971
"Coach-athlete",0.804771383096673,1.463919098127,0.179029934666363,0.330327530580893,-0.821720955166901
"Team captain-Team members",0.778693445957548,0.5363975540637,0.0627678897693708,0.554029289554576,-0.295016719935959
"Club Member-Club President",0.365172663020429,-0.32297226756893,0.416405597049533,0.629380609966393,-0.434948693014827
"Politician-Supporter",0.538499939639636,-0.825483100534202,0.674607852671582,0.61017726757243,-0.760045972422973
"Leader-Follower",0.696482341687507,-0.55430983048114,0.701221442721514,-0.812733811507109,-0.921016793098613
"Representative-Citizen",1.24406373257521,-0.71918945461326,1.00275799553469,-0.402534119576026,0.170382818495082
"Officer-Soldier",1.14380343947731,0.46400470618068,0.145977176921322,-0.867699535468464,-1.70498234802527
"Babysitter-Infant",-0.0539524685957495,0.486317955414805,0.341190122300781,1.2825180535554,-0.840974437150475
"Religious leader-Congregant",-0.0396378513053173,-0.530760796250075,0.542438983147054,-0.241161288332659,-1.33777514396728
"Religious followers",0.466889493154896,-0.289285939659758,0.257520353480465,-0.93025307567028,0.257161395978539
"Prostitute-Customer",-2.48849012132217,-0.964710237264995,-0.988545949424778,2.57125984837419,-0.0147285210242918
"Guide-Tourist",0.565694908677284,-0.238604195745022,0.375406085652301,1.56198371928189,0.834215212068182
"Athlete-Referee",1.54068904224212,-0.452533153829917,-0.419870439688327,-0.407986616979623,-0.829020453233656
"Slave-Master",-0.919719122178816,-0.459484712295714,-2.15915104836213,0.782865882674586,-2.06661305222747
"Reader-Writer",0.522835906907465,-1.84117007941398,0.9945906651469,0.139223788753698,0.291401768444081
"Reviewer-Writer",1.0698212508563,-0.72853974031861,-0.278235009586706,-0.556268622520721,0.0399291417411157
"Performer-Audience",0.394830513661593,-0.730071665277071,0.595057344042851,0.413607183236587,0.184595662174156
"Dealer-Buyer",0.297218168758559,-0.878159237464425,0.349014624702345,1.78592432617746,1.00491133848639
"Sugar daddy-Sugar baby",-2.45030087714048,-0.864750633752431,-0.47031542947902,2.33066879770659,-0.707691524527013
"Director-Performer",0.535184437788951,0.44753364745045,-0.0167763807058269,1.29383150292047,-0.31065793347075
"Psychologist-Client",-0.106688364753655,0.0145205083107159,0.559118269287706,1.34893605699873,0.0577808085713151
"Judge-Contestant",1.9083707325088,-0.646697467149247,-0.321702816423812,-0.261910438618731,-0.647881687828276
"Man-God",-0.401879738316855,-2.77778485637032,0.960141060103687,-1.55939876233816,-1.70093080995232
"Co-workers",0.970403640390845,1.14691910071044,-0.406781619365367,-0.00846884781731966,1.30144792719506
"Sports rivals",1.15392028469973,1.2267697180158,-2.09077148758657,-0.753352104739407,1.17214146791131
"Romantic rivals",-1.03808153222307,-0.990513411817525,-2.26641255519392,-1.12329598161491,1.37369459439621
"Criminal and their accomplice",-1.3571190559262,1.00573317437752,-1.28306846253458,1.66852871534642,1.20495566324434
"Diplomats",1.59517243571294,0.109923175038777,-0.133780424906345,0.233574371568607,0.890813037997635
"Principal-Teacher",1.23862584764878,0.373073284173811,0.280994116889291,0.00334043991384849,-1.08564902267877
"Professor-Teaching Assistant",0.531139440928088,0.579784167209918,0.442227022637233,0.417392920191204,-0.915374155753803
"University student-Administrator",1.33247159254343,0.151183798459627,0.450711699104134,-0.440911677549793,-0.85569857646827
"Student-Dorm Resident assistant",0.507496251600088,-1.42212770301911,0.446876798225231,-0.183781686464613,-1.00836535553419
"Mentor-Mentee",0.692626572162081,0.639894785716379,0.302673339246203,-0.330777261417993,-1.21368485477108
"Athletic trainer-Trainee",0.699573864939644,0.663670809636901,0.613073201928862,1.01444344560872,-0.464089148261069
"Researcher-Research Subject",0.41032844797118,0.15077194020096,0.199252454191034,1.44792092872349,0.474777135214665
"Peers",0.0665214830508991,-0.23961977967133,0.605551066991719,-0.379483375782582,1.2602585219212
"Classmates",0.354016491980901,0.742644113885146,0.645990634155486,-0.539231058399121,1.69338634161462
"Roommates",0.0774235052801473,0.856400540376916,0.307266256744264,-0.683236073268579,1.45832623132132
"Sorority sisters",-0.0648180139705811,0.617215598443431,0.315945822815599,-0.202324718175466,1.42718948907254
"Fraternity brothers",0.365360059152545,0.0499550250545803,0.592625508013471,-0.568593658894952,1.36332123265287
"Bride-Bridesmaid",-0.241446467741929,0.344690827647412,0.555017001061752,-0.628941420265292,1.23666225415247
