"","Formality","Activeness","Valence","Exchange","Equality"
"Parent-Child",-0.434124978334487,2.41222403263135,-0.0281761025507403,-1.07182890632357,-2.1176498251226
"Parent-Teenager",-0.140184027345769,2.32729803977164,-0.520608879577241,-0.952480991766953,-1.70577120198829
"Wife-Husband",-0.565207955755596,2.14799105248181,-0.0428426178258916,-0.053167539311341,1.37689365916637
"Fiance-Fiancee",-0.845121471136169,1.69487847225238,0.154939192104903,-0.197887306211166,1.27597238324716
"Siblings",-0.196466662660879,1.35246772884549,0.0311629283250604,-0.85225453102904,0.578457691511223
"Divorced spouses",-0.400467786523498,-0.573455148793132,-1.40833705988816,0.684104609318583,1.55893758198203
"A person and their in laws",-0.603399841738506,-0.399197554153835,0.0146646763724763,-0.537512202515482,-0.400699235552939
"Cousins",-0.323630161732983,-0.259155871218895,0.565749990391684,-1.05886873125582,0.547115556685142
"Employer-Employee",1.3784759429468,0.623784541060877,-0.0124375411675505,1.08691168693052,-0.248253238874545
"Interviewer-Job applicant",0.719592853275163,-0.8575260650177,-0.138184501373872,0.404431641473062,0.122297869333272
"Guard-Prisoner",1.31566463103761,0.513290193988627,-2.58702735653546,-1.10339290033169,-1.11686926615002
"Nurse-Patient",0.713044026141975,-0.236973178116581,0.652262692094405,-0.39617742249372,-1.27732405144431
"Therapist-Patient",0.932237678460451,-0.0567523958566994,0.638214158580369,-0.255049341409285,-1.36168209316177
"Salesperson-Customer",-0.31177511324045,-1.06180224747681,-0.0696607293128183,2.212726692029,0.802976649681857
"Business partners",0.22101833140581,1.04109326220026,0.0630284255949373,1.69699118227874,1.82068711803902
"Opposing negotiators",0.537831995208349,0.133794163510295,-1.86403517095357,1.24216468754635,1.34419633108075
"Political opponents",1.48639827746607,-0.214767839614686,-2.3174536224922,-0.255990976211797,1.25716331004553
"Business rivals",1.06926808415805,-0.288937540143677,-2.12146633984489,0.279571889603858,1.17867112648274
"Enemies",0.0941527122602132,-0.539956292135166,-2.45825897605562,-0.849427206759156,0.577404125855086
"Teacher-Student",0.952460333826094,0.232965169872116,1.12862256590768,-0.47283730090829,-1.53338879478806
"Professor-Graduate student",0.8683425625661,0.114572948483167,1.09995869365112,-0.29053195186565,-1.39198524206908
"Master-Servant",-0.605702805768815,0.212839011023352,-0.675264805088648,1.30228354469386,-1.38453225620273
"Close friends",-0.688012888682185,0.966578273468435,0.847470911949871,-0.943085859379349,0.949398178651629
